Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time
Naz Reid,C-F,GSW,Pts+Asts,19.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Blocked Shots,0.5,MIN,goblin,8:40 PM
Naz Reid,C-F,GSW,Blocked Shots,2.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Points,17.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Assists,3.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Rebounds,5.5,MIN,base,8:40 PM
Naz Reid,C-F,GSW,Assists,1.5,MIN,base,8:40 PM
Naz Reid,C-F,GSW,Rebs+Asts,9.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Personal Fouls,2.5,MIN,base,8:40 PM
Naz Reid,C-F,GSW,Rebounds,3.5,MIN,goblin,8:40 PM
Naz Reid,C-F,GSW,Pts+Rebs,14.5,MIN,goblin,8:40 PM
Naz Reid,C-F,GSW,Assists,2.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Pts+Rebs+Asts,24.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Points,14.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,FG Made,4.5,MIN,base,8:40 PM
Naz Reid,C-F,GSW,Pts+Asts,9.5,MIN,goblin,8:40 PM
Naz Reid,C-F,GSW,Pts+Rebs,19.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Rebounds,6.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,3-PT Attempted,5.0,MIN,base,8:40 PM
Naz Reid,C-F,GSW,Rebs+Asts,11.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Pts+Rebs,24.5,MIN,demon,8:40 PM
Naz Reid,C-F,GSW,Points,11.5,MIN,goblin,8:40 PM
Naz Reid,C-F,GSW,Pts+Asts,14.0,MIN,base,8:40 PM
Naz Reid,C-F,GSW,Rebounds,4.5,MIN,goblin,8:40 PM
Naz Reid,C-F,GSW,Two Pointers Made,2.5,MIN,base,8:40 PM
