Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Curveball,Sweeper,Changeup,Cutter,Slider,Split Finger,Knuckle Curve,Slow Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
max fried,P,NYY,Pitcher Strikeouts,5.0,KC,base,Tue 3:30 PM,13,8,1,1.78,77,8.56,2.0,4.28,0.56,6.44,13743.0,24.1%,5.6%,18.5%,0.195,0.94,0.247,80.8%,44.0,66.0,2.79,42.5%,19.1%,15.1%,11.4%,8.6%,2.8%,0.5%,,,,,341.0,0.277,518.0,0.42,287.0,0.233,86.0,0.07,94.18,2316.0,0.367,0.0,0.433,0.2,0.3,94.27,2317.0,0.457,0.0,0.514,0.171,0.286,W,27.0,2.0,7.0,0.0,2.57,0.0,0.0,1.0,0.0,0.0,91.0,21.0,4.0,0.0
cade povich,P,BAL,Pitches Thrown,93.5,DET,base,Tue 6:35 PM,11,1,4,5.11,58,9.27,3.36,2.76,1.44,9.91,30055.0,23.6%,8.5%,15.0%,0.277,1.47,0.338,68.6%,131.0,106.0,4.26,36.5%,12.7%,21.2%,13.2%,12.8%,,3.5%,,,,,282.0,0.283,404.0,0.405,223.0,0.223,89.0,0.089,92.18,2359.0,0.583,0.0,0.417,0.25,0.292,92.05,2383.0,0.565,0.0,0.413,0.283,0.283,L,24.0,5.0,4.2,0.0,9.64,0.0,0.0,1.0,0.0,0.0,98.0,14.0,98.0,1.0
cade povich,P,BAL,Pitching Outs,15.5,DET,base,Tue 6:35 PM,11,1,4,5.11,58,9.27,3.36,2.76,1.44,9.91,30055.0,23.6%,8.5%,15.0%,0.277,1.47,0.338,68.6%,131.0,106.0,4.26,36.5%,12.7%,21.2%,13.2%,12.8%,,3.5%,,,,,282.0,0.283,404.0,0.405,223.0,0.223,89.0,0.089,92.18,2359.0,0.583,0.0,0.417,0.25,0.292,92.05,2383.0,0.565,0.0,0.413,0.283,0.283,L,24.0,5.0,4.2,0.0,9.64,0.0,0.0,1.0,0.0,0.0,98.0,14.0,14.0,0.0
cade povich,P,BAL,Pitcher Strikeouts,5.5,DET,base,Tue 6:35 PM,11,1,4,5.11,58,9.27,3.36,2.76,1.44,9.91,30055.0,23.6%,8.5%,15.0%,0.277,1.47,0.338,68.6%,131.0,106.0,4.26,36.5%,12.7%,21.2%,13.2%,12.8%,,3.5%,,,,,282.0,0.283,404.0,0.405,223.0,0.223,89.0,0.089,92.18,2359.0,0.583,0.0,0.417,0.25,0.292,92.05,2383.0,0.565,0.0,0.413,0.283,0.283,L,24.0,5.0,4.2,0.0,9.64,0.0,0.0,1.0,0.0,0.0,98.0,14.0,6.0,1.0
cade povich,P,BAL,Walks Allowed,1.5,DET,base,Tue 6:35 PM,11,1,4,5.11,58,9.27,3.36,2.76,1.44,9.91,30055.0,23.6%,8.5%,15.0%,0.277,1.47,0.338,68.6%,131.0,106.0,4.26,36.5%,12.7%,21.2%,13.2%,12.8%,,3.5%,,,,,282.0,0.283,404.0,0.405,223.0,0.223,89.0,0.089,92.18,2359.0,0.583,0.0,0.417,0.25,0.292,92.05,2383.0,0.565,0.0,0.413,0.283,0.283,,,,,,,,,,,,,,,
andrew abbott,P,CIN,Pitcher Fantasy Score,27.5,CLE,base,Tue 6:40 PM,10,5,1,2.18,59,9.89,3.19,3.11,1.01,6.37,29911.0,27.6%,8.9%,18.7%,0.196,1.06,0.248,88.7%,51.0,82.0,3.44,46.8%,,13.8%,13.9%,21.4%,4.0%,,,,,,231.0,0.259,391.0,0.439,212.0,0.238,57.0,0.064,92.69,2269.0,0.25,0.0,0.312,0.375,0.156,92.51,2245.0,0.338,0.0,0.26,0.377,0.234,W,31.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,110.0,27.0,52.0,1.0
andrew abbott,P,CIN,Pitches Thrown,93.5,CLE,base,Tue 6:40 PM,10,5,1,2.18,59,9.89,3.19,3.11,1.01,6.37,29911.0,27.6%,8.9%,18.7%,0.196,1.06,0.248,88.7%,51.0,82.0,3.44,46.8%,,13.8%,13.9%,21.4%,4.0%,,,,,,231.0,0.259,391.0,0.439,212.0,0.238,57.0,0.064,92.69,2269.0,0.25,0.0,0.312,0.375,0.156,92.51,2245.0,0.338,0.0,0.26,0.377,0.234,W,31.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,110.0,27.0,110.0,1.0
andrew abbott,P,CIN,Pitcher Strikeouts,5.0,CLE,base,Tue 6:40 PM,10,5,1,2.18,59,9.89,3.19,3.11,1.01,6.37,29911.0,27.6%,8.9%,18.7%,0.196,1.06,0.248,88.7%,51.0,82.0,3.44,46.8%,,13.8%,13.9%,21.4%,4.0%,,,,,,231.0,0.259,391.0,0.439,212.0,0.238,57.0,0.064,92.69,2269.0,0.25,0.0,0.312,0.375,0.156,92.51,2245.0,0.338,0.0,0.26,0.377,0.234,W,31.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,110.0,27.0,5.0,1.0
andrew abbott,P,CIN,Pitching Outs,17.0,CLE,base,Tue 6:40 PM,10,5,1,2.18,59,9.89,3.19,3.11,1.01,6.37,29911.0,27.6%,8.9%,18.7%,0.196,1.06,0.248,88.7%,51.0,82.0,3.44,46.8%,,13.8%,13.9%,21.4%,4.0%,,,,,,231.0,0.259,391.0,0.439,212.0,0.238,57.0,0.064,92.69,2269.0,0.25,0.0,0.312,0.375,0.156,92.51,2245.0,0.338,0.0,0.26,0.377,0.234,W,31.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,110.0,27.0,27.0,1.0
slade cecconi,P,CLE,Pitcher Strikeouts,5.0,CIN,base,Tue 6:40 PM,4,1,2,4.87,20,8.85,3.1,2.86,2.66,9.74,27500.0,22.5%,7.9%,14.6%,0.272,1.43,0.291,88.0%,123.0,153.0,6.12,39.2%,8.5%,15.2%,1.8%,7.9%,3.0%,24.3%,,,,,104.0,0.316,135.0,0.41,63.0,0.191,27.0,0.082,94.35,2368.0,0.531,0.0,0.25,0.438,0.281,94.6,2397.0,0.475,0.0,0.344,0.393,0.246,L,20.0,1.0,5.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,85.0,15.0,8.0,1.0
slade cecconi,P,CLE,Pitcher Fantasy Score,24.5,CIN,base,Tue 6:40 PM,4,1,2,4.87,20,8.85,3.1,2.86,2.66,9.74,27500.0,22.5%,7.9%,14.6%,0.272,1.43,0.291,88.0%,123.0,153.0,6.12,39.2%,8.5%,15.2%,1.8%,7.9%,3.0%,24.3%,,,,,104.0,0.316,135.0,0.41,63.0,0.191,27.0,0.082,94.35,2368.0,0.531,0.0,0.25,0.438,0.281,94.6,2397.0,0.475,0.0,0.344,0.393,0.246,L,20.0,1.0,5.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,85.0,15.0,36.0,1.0
slade cecconi,P,CLE,Pitching Outs,15.5,CIN,base,Tue 6:40 PM,4,1,2,4.87,20,8.85,3.1,2.86,2.66,9.74,27500.0,22.5%,7.9%,14.6%,0.272,1.43,0.291,88.0%,123.0,153.0,6.12,39.2%,8.5%,15.2%,1.8%,7.9%,3.0%,24.3%,,,,,104.0,0.316,135.0,0.41,63.0,0.191,27.0,0.082,94.35,2368.0,0.531,0.0,0.25,0.438,0.281,94.6,2397.0,0.475,0.0,0.344,0.393,0.246,L,20.0,1.0,5.0,0.0,1.8,0.0,0.0,1.0,0.0,0.0,85.0,15.0,15.0,0.0
