Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Sinker,Slider,Curveball,Split Finger,Cutter,Changeup,Knuckle Curve,Sweeper,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
bailey falter,P,PIT,Pitcher Strikeouts,3.5,MIA,base,Wed 12:35 PM,13,4,3,3.49,43,5.56,3.1,1.79,0.78,6.98,20070,15.6%,8.7%,6.9%,0.215,1.12,0.238,66.6%,85.0,101.0,4.04,42.7%,19.2%,18.8%,13.8%,5.4%,,,,,,307,0.293,474,0.453,210,0.201,55,0.053,92.78,2158.0,0.484,0.0,0.516,0.194,0.161,92.41,2124.0,0.455,0.0,0.416,0.247,0.234,W,22.0,1.0,5.1,0.0,1.69,0.0,0.0,1.0,0.0,0.0,71.0,16.0,3.0,0.0
bailey falter,P,PIT,Pitching Outs,16.5,MIA,base,Wed 12:35 PM,13,4,3,3.49,43,5.56,3.1,1.79,0.78,6.98,20070,15.6%,8.7%,6.9%,0.215,1.12,0.238,66.6%,85.0,101.0,4.04,42.7%,19.2%,18.8%,13.8%,5.4%,,,,,,307,0.293,474,0.453,210,0.201,55,0.053,92.78,2158.0,0.484,0.0,0.516,0.194,0.161,92.41,2124.0,0.455,0.0,0.416,0.247,0.234,W,22.0,1.0,5.1,0.0,1.69,0.0,0.0,1.0,0.0,0.0,71.0,16.0,16.0,0.0
bailey falter,P,PIT,Pitcher Fantasy Score,23.5,MIA,base,Wed 12:35 PM,13,4,3,3.49,43,5.56,3.1,1.79,0.78,6.98,20070,15.6%,8.7%,6.9%,0.215,1.12,0.238,66.6%,85.0,101.0,4.04,42.7%,19.2%,18.8%,13.8%,5.4%,,,,,,307,0.293,474,0.453,210,0.201,55,0.053,92.78,2158.0,0.484,0.0,0.516,0.194,0.161,92.41,2124.0,0.455,0.0,0.416,0.247,0.234,W,22.0,1.0,5.1,0.0,1.69,0.0,0.0,1.0,0.0,0.0,71.0,16.0,28.0,1.0
cal quantrill,P,MIA,Earned Runs Allowed,2.5,PIT,base,Wed 12:35 PM,12,3,6,5.63,40,6.63,2.82,2.35,1.16,10.6,19312,17.2%,7.3%,9.9%,0.299,1.49,0.341,66.9%,137.0,109.0,4.33,23.6%,12.5%,8.6%,13.9%,21.8%,19.2%,0.5%,,,,242,0.256,405,0.429,215,0.228,83,0.088,93.68,2124.0,0.387,0.0,0.29,0.29,0.323,93.51,2144.0,0.379,0.0,0.242,0.303,0.333,L,22.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,99.0,15.0,3.0,1.0
cal quantrill,P,MIA,Pitcher Strikeouts,3.0,PIT,base,Wed 12:35 PM,12,3,6,5.63,40,6.63,2.82,2.35,1.16,10.6,19312,17.2%,7.3%,9.9%,0.299,1.49,0.341,66.9%,137.0,109.0,4.33,23.6%,12.5%,8.6%,13.9%,21.8%,19.2%,0.5%,,,,242,0.256,405,0.429,215,0.228,83,0.088,93.68,2124.0,0.387,0.0,0.29,0.29,0.323,93.51,2144.0,0.379,0.0,0.242,0.303,0.333,L,22.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,99.0,15.0,6.0,1.0
cal quantrill,P,MIA,Pitcher Fantasy Score,19.5,PIT,base,Wed 12:35 PM,12,3,6,5.63,40,6.63,2.82,2.35,1.16,10.6,19312,17.2%,7.3%,9.9%,0.299,1.49,0.341,66.9%,137.0,109.0,4.33,23.6%,12.5%,8.6%,13.9%,21.8%,19.2%,0.5%,,,,242,0.256,405,0.429,215,0.228,83,0.088,93.68,2124.0,0.387,0.0,0.29,0.29,0.323,93.51,2144.0,0.379,0.0,0.242,0.303,0.333,L,22.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,99.0,15.0,24.0,1.0
ben brown,P,CHC,Pitcher Fantasy Score,27.5,PHI,base,Wed 1:05 PM,13,3,4,5.37,78,11.03,2.83,3.9,0.99,10.04,23590,27.7%,7.1%,20.6%,0.274,1.43,0.368,65.3%,137.0,81.0,3.14,58.4%,,,,,,3.7%,37.9%,,,326,0.305,434,0.406,221,0.207,88,0.082,96.41,2248.0,0.517,0.0,0.276,0.414,0.241,96.27,2244.0,0.5,0.0,0.375,0.333,0.222,L,28.0,6.0,5.2,0.0,9.53,0.0,0.0,1.0,0.0,0.0,100.0,17.0,14.0,0.0
ben brown,P,CHC,Pitching Outs,15.5,PHI,base,Wed 1:05 PM,13,3,4,5.37,78,11.03,2.83,3.9,0.99,10.04,23590,27.7%,7.1%,20.6%,0.274,1.43,0.368,65.3%,137.0,81.0,3.14,58.4%,,,,,,3.7%,37.9%,,,326,0.305,434,0.406,221,0.207,88,0.082,96.41,2248.0,0.517,0.0,0.276,0.414,0.241,96.27,2244.0,0.5,0.0,0.375,0.333,0.222,L,28.0,6.0,5.2,0.0,9.53,0.0,0.0,1.0,0.0,0.0,100.0,17.0,17.0,1.0
ben brown,P,CHC,Pitcher Strikeouts,5.5,PHI,base,Wed 1:05 PM,13,3,4,5.37,78,11.03,2.83,3.9,0.99,10.04,23590,27.7%,7.1%,20.6%,0.274,1.43,0.368,65.3%,137.0,81.0,3.14,58.4%,,,,,,3.7%,37.9%,,,326,0.305,434,0.406,221,0.207,88,0.082,96.41,2248.0,0.517,0.0,0.276,0.414,0.241,96.27,2244.0,0.5,0.0,0.375,0.333,0.222,L,28.0,6.0,5.2,0.0,9.53,0.0,0.0,1.0,0.0,0.0,100.0,17.0,5.0,0.0
jesus luzardo,P,PHI,Pitching Outs,16.5,CHC,base,Wed 1:05 PM,13,5,2,4.46,83,10.28,2.97,3.46,0.74,10.03,19959,26.4%,7.6%,18.8%,0.28,1.44,0.375,68.6%,110.0,72.0,2.89,34.2%,11.2%,9.1%,,,,18.4%,,27.1%,,331,0.272,525,0.432,265,0.218,94,0.077,96.67,2227.0,0.467,0.0,0.267,0.2,0.5,96.46,2233.0,0.493,0.0,0.387,0.187,0.347,W,23.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,99.0,18.0,18.0,1.0
