Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Slider,Curveball,Changeup,Sinker,Knuckle Curve,Cutter,Slurve,Slow Curve,Sweeper,Split Finger,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
antonio senzatela,P,COL,Pitcher Strikeouts,3.0,SF,base,Thu 3:10 PM,13,1,10,6.68,33,4.79,3.05,1.57,1.6,14.66,15488,11.0%,7.0%,4.0%,0.363,1.97,0.385,66.0%,146.0,129.0,5.39,53.1%,22.5%,11.5%,9.0%,4.0%,,,,,,,287,0.255,510,0.453,246,0.219,82,0.073,94.68,2235.0,0.429,0.0,0.393,0.25,0.286,94.74,2224.0,0.444,0.0,0.407,0.222,0.321,,24.0,7.0,4.0,0.0,15.75,0.0,0.0,1.0,2.0,0.0,92.0,12.0,2.0,0.0
hayden birdsong,P,SF,Pitcher Strikeouts,5.5,COL,base,Thu 3:10 PM,15,3,1,2.55,45,9.57,3.61,2.65,0.85,7.87,31635,24.7%,9.3%,15.4%,0.228,1.28,0.292,77.8%,65.0,94.0,3.6,40.7%,27.1%,14.0%,18.2%,,,,,,,,194,0.264,298,0.405,152,0.207,91,0.124,95.88,2401.0,0.36,0.0,0.56,0.16,0.24,95.76,2436.0,0.45,0.0,0.4,0.267,0.283,,26.0,3.0,6.0,0.0,4.5,0.0,0.0,1.0,0.0,0.0,104.0,18.0,6.0,1.0
tarik skubal,P,DET,Pitches Thrown,94.5,BAL,base,Thu 6:35 PM,13,6,2,2.16,105,11.34,0.76,15.0,0.65,6.59,22267,33.4%,2.2%,31.2%,0.201,0.82,0.285,81.5%,54.0,45.0,1.86,28.0%,12.5%,,30.7%,26.7%,2.1%,,,,,,395,0.338,491,0.42,216,0.185,67,0.057,97.51,2382.0,0.243,0.0,0.405,0.324,0.216,97.99,2352.0,0.338,0.0,0.375,0.338,0.225,W,25.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.0,21.0,98.0,1.0
tarik skubal,P,DET,Pitcher Fantasy Score,44.5,BAL,base,Thu 6:35 PM,13,6,2,2.16,105,11.34,0.76,15.0,0.65,6.59,22267,33.4%,2.2%,31.2%,0.201,0.82,0.285,81.5%,54.0,45.0,1.86,28.0%,12.5%,,30.7%,26.7%,2.1%,,,,,,395,0.338,491,0.42,216,0.185,67,0.057,97.51,2382.0,0.243,0.0,0.405,0.324,0.216,97.99,2352.0,0.338,0.0,0.375,0.338,0.225,W,25.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.0,21.0,49.0,1.0
tarik skubal,P,DET,Pitcher Strikeouts,8.0,BAL,base,Thu 6:35 PM,13,6,2,2.16,105,11.34,0.76,15.0,0.65,6.59,22267,33.4%,2.2%,31.2%,0.201,0.82,0.285,81.5%,54.0,45.0,1.86,28.0%,12.5%,,30.7%,26.7%,2.1%,,,,,,395,0.338,491,0.42,216,0.185,67,0.057,97.51,2382.0,0.243,0.0,0.405,0.324,0.216,97.99,2352.0,0.338,0.0,0.375,0.338,0.225,W,25.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.0,21.0,6.0,0.0
seth lugo,P,KC,Pitcher Strikeouts,4.5,NYY,base,Thu 7:40 PM,11,3,5,3.46,50,6.92,2.63,2.63,1.66,7.89,12447,19.2%,7.3%,11.9%,0.238,1.17,0.253,83.1%,83.0,120.0,4.86,23.3%,4.4%,17.1%,10.6%,16.6%,,10.9%,9.1%,6.0%,1.6%,0.5%,306,0.297,428,0.416,234,0.227,62,0.06,91.9,2328.0,0.583,0.0,0.333,0.375,0.25,91.9,2328.0,0.583,0.0,0.333,0.375,0.25,,21.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,73.0,17.0,2.0,0.0
will warren,P,NYY,Pitcher Fantasy Score,24.5,KC,base,Thu 7:40 PM,13,4,3,5.34,75,11.77,4.4,2.68,0.94,8.32,30182,29.4%,11.0%,18.4%,0.235,1.41,0.324,62.5%,133.0,79.0,3.34,37.1%,,6.4%,14.4%,18.4%,,,,,23.7%,,273,0.26,422,0.402,262,0.25,93,0.089,94.21,2591.0,0.611,0.0,0.278,0.333,0.167,93.72,2584.0,0.489,0.0,0.319,0.277,0.277,,21.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,17.0,29.0,1.0
will warren,P,NYY,Pitcher Strikeouts,5.0,KC,base,Thu 7:40 PM,13,4,3,5.34,75,11.77,4.4,2.68,0.94,8.32,30182,29.4%,11.0%,18.4%,0.235,1.41,0.324,62.5%,133.0,79.0,3.34,37.1%,,6.4%,14.4%,18.4%,,,,,23.7%,,273,0.26,422,0.402,262,0.25,93,0.089,94.21,2591.0,0.611,0.0,0.278,0.333,0.167,93.72,2584.0,0.489,0.0,0.319,0.277,0.277,,21.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,17.0,4.0,0.0
will warren,P,NYY,Pitching Outs,15.5,KC,base,Thu 7:40 PM,13,4,3,5.34,75,11.77,4.4,2.68,0.94,8.32,30182,29.4%,11.0%,18.4%,0.235,1.41,0.324,62.5%,133.0,79.0,3.34,37.1%,,6.4%,14.4%,18.4%,,,,,23.7%,,273,0.26,422,0.402,262,0.25,93,0.089,94.21,2591.0,0.611,0.0,0.278,0.333,0.167,93.72,2584.0,0.489,0.0,0.319,0.277,0.277,,21.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,17.0,17.0,1.0
sonny gray,P,STL,Pitcher Fantasy Score,35.5,MIL,base,Thu 7:40 PM,13,7,1,3.35,81,9.68,1.67,5.79,1.08,8.48,12768,26.5%,4.6%,21.9%,0.245,1.13,0.31,76.6%,84.0,80.0,3.12,19.2%,1.0%,17.0%,7.3%,21.5%,,12.8%,,,21.2%,,317,0.277,509,0.445,234,0.205,83,0.073,91.65,2464.0,0.457,0.0,0.457,0.229,0.257,91.82,2473.0,0.42,0.0,0.432,0.247,0.259,L,20.0,6.0,4.1,0.0,12.46,0.0,0.0,1.0,0.0,0.0,76.0,13.0,7.0,0.0
