Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Split Finger,Sweeper,Sinker,Changeup,Slider,Curveball,Cutter,Knuckle Curve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
paul skenes,P,PIT,Pitcher Strikeouts,7.0,CHC,base,Fri 2:20 PM,14,4,6,1.88,92,9.1,1.98,4.6,0.49,5.54,33677,26.7%,5.8%,20.9%,0.173,0.84,0.226,78.9%,46.0,63.0,2.49,35.0%,21.7%,15.6%,8.4%,8.2%,6.6%,4.5%,,,357,0.259,640,0.464,282,0.204,100,0.073,98.24,2116.0,0.343,0.0,0.486,0.257,0.143,98.25,2201.0,0.341,0.0,0.463,0.293,0.183,,20.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,15.0,5.0,0.0
paul skenes,P,PIT,Pitcher Fantasy Score,39.5,CHC,base,Fri 2:20 PM,14,4,6,1.88,92,9.1,1.98,4.6,0.49,5.54,33677,26.7%,5.8%,20.9%,0.173,0.84,0.226,78.9%,46.0,63.0,2.49,35.0%,21.7%,15.6%,8.4%,8.2%,6.6%,4.5%,,,357,0.259,640,0.464,282,0.204,100,0.073,98.24,2116.0,0.343,0.0,0.486,0.257,0.143,98.25,2201.0,0.341,0.0,0.463,0.293,0.183,,20.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,15.0,30.0,0.0
paul skenes,P,PIT,Pitches Thrown,97.5,CHC,base,Fri 2:20 PM,14,4,6,1.88,92,9.1,1.98,4.6,0.49,5.54,33677,26.7%,5.8%,20.9%,0.173,0.84,0.226,78.9%,46.0,63.0,2.49,35.0%,21.7%,15.6%,8.4%,8.2%,6.6%,4.5%,,,357,0.259,640,0.464,282,0.204,100,0.073,98.24,2116.0,0.343,0.0,0.486,0.257,0.143,98.25,2201.0,0.341,0.0,0.463,0.293,0.183,,20.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,15.0,95.0,0.0
cade horton,P,CHC,Pitcher Fantasy Score,24.5,PIT,base,Fri 2:20 PM,6,3,1,4.11,25,7.34,2.05,3.57,1.17,9.68,31872,18.9%,5.3%,13.6%,0.268,1.3,0.309,71.4%,105.0,103.0,4.02,51.1%,,21.7%,1.8%,12.2%,,13.2%,,,147,0.298,192,0.389,119,0.241,35,0.071,95.75,2466.0,0.375,0.0,0.375,0.125,0.406,95.63,2500.0,0.402,0.0,0.451,0.293,0.22,,21.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,17.0,29.0,1.0
cade horton,P,CHC,Pitcher Strikeouts,4.5,PIT,base,Fri 2:20 PM,6,3,1,4.11,25,7.34,2.05,3.57,1.17,9.68,31872,18.9%,5.3%,13.6%,0.268,1.3,0.309,71.4%,105.0,103.0,4.02,51.1%,,21.7%,1.8%,12.2%,,13.2%,,,147,0.298,192,0.389,119,0.241,35,0.071,95.75,2466.0,0.375,0.0,0.375,0.125,0.406,95.63,2500.0,0.402,0.0,0.451,0.293,0.22,,21.0,0.0,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,76.0,17.0,4.0,0.0
kevin gausman,P,TOR,Pitcher Strikeouts,5.5,PHI,base,Fri 6:45 PM,13,5,4,3.87,73,8.57,2.0,4.29,1.06,7.28,14107,24.2%,5.6%,18.5%,0.218,1.03,0.262,68.2%,98.0,83.0,3.4,54.1%,37.6%,,0.1%,,8.3%,,,,333,0.272,547,0.447,259,0.212,85,0.069,93.87,2233.0,0.321,0.0,0.5,0.143,0.286,94.53,2235.0,0.326,0.0,0.372,0.244,0.326,L,22.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,0.0,0.0,95.0,15.0,7.0,1.0
kevin gausman,P,TOR,Pitches Thrown,95.5,PHI,base,Fri 6:45 PM,13,5,4,3.87,73,8.57,2.0,4.29,1.06,7.28,14107,24.2%,5.6%,18.5%,0.218,1.03,0.262,68.2%,98.0,83.0,3.4,54.1%,37.6%,,0.1%,,8.3%,,,,333,0.272,547,0.447,259,0.212,85,0.069,93.87,2233.0,0.321,0.0,0.5,0.143,0.286,94.53,2235.0,0.326,0.0,0.372,0.244,0.326,L,22.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,0.0,0.0,95.0,15.0,95.0,0.0
kevin gausman,P,TOR,Earned Runs Allowed,2.5,PHI,base,Fri 6:45 PM,13,5,4,3.87,73,8.57,2.0,4.29,1.06,7.28,14107,24.2%,5.6%,18.5%,0.218,1.03,0.262,68.2%,98.0,83.0,3.4,54.1%,37.6%,,0.1%,,8.3%,,,,333,0.272,547,0.447,259,0.212,85,0.069,93.87,2233.0,0.321,0.0,0.5,0.143,0.286,94.53,2235.0,0.326,0.0,0.372,0.244,0.326,L,22.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,0.0,0.0,95.0,15.0,4.0,1.0
kevin gausman,P,TOR,Pitcher Fantasy Score,30.5,PHI,base,Fri 6:45 PM,13,5,4,3.87,73,8.57,2.0,4.29,1.06,7.28,14107,24.2%,5.6%,18.5%,0.218,1.03,0.262,68.2%,98.0,83.0,3.4,54.1%,37.6%,,0.1%,,8.3%,,,,333,0.272,547,0.447,259,0.212,85,0.069,93.87,2233.0,0.321,0.0,0.5,0.143,0.286,94.53,2235.0,0.326,0.0,0.372,0.244,0.326,L,22.0,4.0,5.0,0.0,7.2,0.0,0.0,1.0,0.0,0.0,95.0,15.0,24.0,0.0
kevin gausman,P,TOR,Walks Allowed,1.5,PHI,base,Fri 6:45 PM,13,5,4,3.87,73,8.57,2.0,4.29,1.06,7.28,14107,24.2%,5.6%,18.5%,0.218,1.03,0.262,68.2%,98.0,83.0,3.4,54.1%,37.6%,,0.1%,,8.3%,,,,333,0.272,547,0.447,259,0.212,85,0.069,93.87,2233.0,0.321,0.0,0.5,0.143,0.286,94.53,2235.0,0.326,0.0,0.372,0.244,0.326,,,,,,,,,,,,,,,
