Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Slider,Sinker,Cutter,Changeup,Curveball,Sweeper,Split Finger,Knuckle Curve,Slurve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct,DEC,TBF,ER,IP,SHO,ERA_y,GF,CG,GS,WP,SV,Pitches Thrown,Pitching Outs,Actual Stat,Hit
luis l ortiz,P,CLE,Pitches Thrown,93.5,CIN,base,Mon 6:40 PM,12.0,3.0,6.0,4.02,71.0,9.83,4.57,2.15,0.97,8.03,27646.0,25.4%,11.8%,13.6%,0.236,1.4,0.304,75.1%,102.0,95.0,3.81,29.8%,27.0%,16.7%,14.3%,12.3%,,,,,,296.0,0.265,484.0,0.434,252.0,0.226,83.0,0.074,97.2,2336.0,0.483,0.0,0.655,0.069,0.276,96.61,2310.0,0.537,0.0,0.537,0.149,0.284,L,23.0,4.0,4.2,0.0,7.71,0.0,0.0,1.0,0.0,0.0,88.0,14.0,88.0,0.0
luis l ortiz,P,CLE,Pitcher Strikeouts,6.0,CIN,base,Mon 6:40 PM,12.0,3.0,6.0,4.02,71.0,9.83,4.57,2.15,0.97,8.03,27646.0,25.4%,11.8%,13.6%,0.236,1.4,0.304,75.1%,102.0,95.0,3.81,29.8%,27.0%,16.7%,14.3%,12.3%,,,,,,296.0,0.265,484.0,0.434,252.0,0.226,83.0,0.074,97.2,2336.0,0.483,0.0,0.655,0.069,0.276,96.61,2310.0,0.537,0.0,0.537,0.149,0.284,L,23.0,4.0,4.2,0.0,7.71,0.0,0.0,1.0,0.0,0.0,88.0,14.0,5.0,0.0
luis l ortiz,P,CLE,Pitcher Strikeouts,6.0,CIN,base,Mon 6:40 PM,12.0,3.0,6.0,4.02,71.0,9.83,4.57,2.15,0.97,8.03,27646.0,25.4%,11.8%,13.6%,0.236,1.4,0.304,75.1%,102.0,95.0,3.81,29.8%,27.0%,16.7%,14.3%,12.3%,,,,,,296.0,0.265,484.0,0.434,252.0,0.226,83.0,0.074,97.2,2336.0,0.483,0.0,0.655,0.069,0.276,96.61,2310.0,0.537,0.0,0.537,0.149,0.284,L,23.0,4.0,4.2,0.0,7.71,0.0,0.0,1.0,0.0,0.0,88.0,14.0,5.0,0.0
luis l ortiz,P,CLE,Pitcher Strikeouts,6.0,CIN,base,Mon 6:40 PM,12.0,3.0,6.0,4.02,71.0,9.83,4.57,2.15,0.97,8.03,27646.0,25.4%,11.8%,13.6%,0.236,1.4,0.304,75.1%,102.0,95.0,3.81,29.8%,27.0%,16.7%,14.3%,12.3%,,,,,,296.0,0.265,484.0,0.434,252.0,0.226,83.0,0.074,97.2,2336.0,0.483,0.0,0.655,0.069,0.276,96.61,2310.0,0.537,0.0,0.537,0.149,0.284,L,23.0,4.0,4.2,0.0,7.71,0.0,0.0,1.0,0.0,0.0,88.0,14.0,5.0,0.0
luis l ortiz,P,CLE,Pitcher Strikeouts,6.0,CIN,base,Mon 6:40 PM,12.0,3.0,6.0,4.02,71.0,9.83,4.57,2.15,0.97,8.03,27646.0,25.4%,11.8%,13.6%,0.236,1.4,0.304,75.1%,102.0,95.0,3.81,29.8%,27.0%,16.7%,14.3%,12.3%,,,,,,296.0,0.265,484.0,0.434,252.0,0.226,83.0,0.074,97.2,2336.0,0.483,0.0,0.655,0.069,0.276,96.61,2310.0,0.537,0.0,0.537,0.149,0.284,L,23.0,4.0,4.2,0.0,7.71,0.0,0.0,1.0,0.0,0.0,88.0,14.0,5.0,0.0
luis l ortiz,P,CLE,Pitcher Fantasy Score,31.5,CIN,base,Mon 6:40 PM,12.0,3.0,6.0,4.02,71.0,9.83,4.57,2.15,0.97,8.03,27646.0,25.4%,11.8%,13.6%,0.236,1.4,0.304,75.1%,102.0,95.0,3.81,29.8%,27.0%,16.7%,14.3%,12.3%,,,,,,296.0,0.265,484.0,0.434,252.0,0.226,83.0,0.074,97.2,2336.0,0.483,0.0,0.655,0.069,0.276,96.61,2310.0,0.537,0.0,0.537,0.149,0.284,L,23.0,4.0,4.2,0.0,7.71,0.0,0.0,1.0,0.0,0.0,88.0,14.0,17.0,0.0
luis l ortiz,P,CLE,Pitching Outs,17.5,CIN,base,Mon 6:40 PM,12.0,3.0,6.0,4.02,71.0,9.83,4.57,2.15,0.97,8.03,27646.0,25.4%,11.8%,13.6%,0.236,1.4,0.304,75.1%,102.0,95.0,3.81,29.8%,27.0%,16.7%,14.3%,12.3%,,,,,,296.0,0.265,484.0,0.434,252.0,0.226,83.0,0.074,97.2,2336.0,0.483,0.0,0.655,0.069,0.276,96.61,2310.0,0.537,0.0,0.537,0.149,0.284,L,23.0,4.0,4.2,0.0,7.71,0.0,0.0,1.0,0.0,0.0,88.0,14.0,14.0,0.0
wade miley,P,CIN,Pitcher Strikeouts,2.5,CLE,base,Mon 6:40 PM,1.0,0.0,0.0,18.0,0.0,0.0,0.0,,4.5,27.0,8779.0,0.0%,0.0%,0.0%,0.462,3.0,0.417,43.5%,421.0,225.0,9.57,57.9%,,23.7%,,15.8%,2.6%,,,,,,,,,,,,,89.04,2329.0,0.5,0.0,0.2,0.2,0.5,89.04,2329.0,0.5,0.0,0.2,0.2,0.5,W,21.0,3.0,5.0,0.0,5.4,0.0,0.0,1.0,0.0,0.0,78.0,15.0,2.0,0.0
eury perez,P,MIA,Pitcher Strikeouts,5.0,PIT,base,Mon 6:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,9.0,0.0,0.0
mike burrows,P,PIT,Pitcher Strikeouts,4.0,MIA,base,Mon 6:40 PM,3.0,1.0,1.0,5.27,11.0,7.24,2.63,2.75,1.98,9.22,24728.0,18.6%,6.8%,11.9%,0.259,1.32,0.275,67.6%,128.0,136.0,5.41,35.6%,20.0%,,,29.8%,14.7%,,,,,57.0,0.253,97.0,0.431,59.0,0.262,12.0,0.053,94.91,2284.0,0.577,0.0,0.5,0.154,0.308,94.79,2274.0,0.488,0.0,0.439,0.171,0.341,,20.0,2.0,4.1,0.0,4.15,0.0,0.0,1.0,0.0,0.0,66.0,13.0,6.0,1.0
zack wheeler,P,PHI,Pitcher Fantasy Score,39.5,CHC,base,Mon 6:45 PM,12.0,6.0,2.0,2.96,94.0,11.13,2.13,5.22,1.07,6.16,10310.0,32.1%,6.1%,25.9%,0.19,0.92,0.253,79.1%,73.0,73.0,2.92,41.6%,,15.3%,9.8%,,9.7%,13.3%,10.2%,,,316.0,0.265,549.0,0.46,255.0,0.214,73.0,0.061,96.88,2505.0,0.286,0.0,0.286,0.357,0.286,96.48,2460.0,0.263,0.0,0.456,0.263,0.246,,23.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,1.0,0.0,103.0,18.0,40.0,1.0
zack wheeler,P,PHI,Pitcher Strikeouts,7.0,CHC,base,Mon 6:45 PM,12.0,6.0,2.0,2.96,94.0,11.13,2.13,5.22,1.07,6.16,10310.0,32.1%,6.1%,25.9%,0.19,0.92,0.253,79.1%,73.0,73.0,2.92,41.6%,,15.3%,9.8%,,9.7%,13.3%,10.2%,,,316.0,0.265,549.0,0.46,255.0,0.214,73.0,0.061,96.88,2505.0,0.286,0.0,0.286,0.357,0.286,96.48,2460.0,0.263,0.0,0.456,0.263,0.246,,23.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,1.0,0.0,103.0,18.0,7.0,1.0
zack wheeler,P,PHI,Pitches Thrown,97.5,CHC,base,Mon 6:45 PM,12.0,6.0,2.0,2.96,94.0,11.13,2.13,5.22,1.07,6.16,10310.0,32.1%,6.1%,25.9%,0.19,0.92,0.253,79.1%,73.0,73.0,2.92,41.6%,,15.3%,9.8%,,9.7%,13.3%,10.2%,,,316.0,0.265,549.0,0.46,255.0,0.214,73.0,0.061,96.88,2505.0,0.286,0.0,0.286,0.357,0.286,96.48,2460.0,0.263,0.0,0.456,0.263,0.246,,23.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,1.0,0.0,103.0,18.0,103.0,1.0
matthew boyd,P,CHC,Pitcher Fantasy Score,30.5,PHI,base,Mon 6:45 PM,12.0,5.0,3.0,3.01,70.0,9.17,2.1,4.38,1.05,8.65,15440.0,24.7%,5.7%,19.1%,0.252,1.19,0.315,79.2%,77.0,90.0,3.46,46.9%,17.4%,3.2%,,23.3%,9.2%,,,,,322.0,0.291,483.0,0.436,225.0,0.203,78.0,0.07,93.01,2261.0,0.419,0.0,0.323,0.355,0.097,93.01,2312.0,0.432,0.0,0.324,0.351,0.162,,25.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,73.0,18.0,19.0,0.0
matthew boyd,P,CHC,Pitcher Strikeouts,5.5,PHI,base,Mon 6:45 PM,12.0,5.0,3.0,3.01,70.0,9.17,2.1,4.38,1.05,8.65,15440.0,24.7%,5.7%,19.1%,0.252,1.19,0.315,79.2%,77.0,90.0,3.46,46.9%,17.4%,3.2%,,23.3%,9.2%,,,,,322.0,0.291,483.0,0.436,225.0,0.203,78.0,0.07,93.01,2261.0,0.419,0.0,0.323,0.355,0.097,93.01,2312.0,0.432,0.0,0.324,0.351,0.162,,25.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,73.0,18.0,0.0,0.0
matthew boyd,P,CHC,Pitches Thrown,93.5,PHI,base,Mon 6:45 PM,12.0,5.0,3.0,3.01,70.0,9.17,2.1,4.38,1.05,8.65,15440.0,24.7%,5.7%,19.1%,0.252,1.19,0.315,79.2%,77.0,90.0,3.46,46.9%,17.4%,3.2%,,23.3%,9.2%,,,,,322.0,0.291,483.0,0.436,225.0,0.203,78.0,0.07,93.01,2261.0,0.419,0.0,0.323,0.355,0.097,93.01,2312.0,0.432,0.0,0.324,0.351,0.162,,25.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,73.0,18.0,73.0,0.0
matthew boyd,P,CHC,Pitching Outs,17.5,PHI,base,Mon 6:45 PM,12.0,5.0,3.0,3.01,70.0,9.17,2.1,4.38,1.05,8.65,15440.0,24.7%,5.7%,19.1%,0.252,1.19,0.315,79.2%,77.0,90.0,3.46,46.9%,17.4%,3.2%,,23.3%,9.2%,,,,,322.0,0.291,483.0,0.436,225.0,0.203,78.0,0.07,93.01,2261.0,0.419,0.0,0.323,0.355,0.097,93.01,2312.0,0.432,0.0,0.324,0.351,0.162,,25.0,1.0,6.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,73.0,18.0,18.0,1.0
shane baz,P,TB,Pitcher Strikeouts,5.0,BOS,base,Mon 7:10 PM,12.0,5.0,3.0,4.96,60.0,8.27,3.17,2.61,1.79,9.09,22264.0,21.5%,8.2%,13.3%,0.261,1.36,0.294,75.9%,129.0,127.0,5.01,47.1%,7.7%,,,13.1%,,,,32.1%,,338.0,0.313,458.0,0.424,217.0,0.201,68.0,0.063,97.29,2496.0,0.382,0.0,0.441,0.235,0.294,96.95,2467.0,0.439,0.0,0.524,0.159,0.268,,22.0,3.0,5.1,0.0,5.06,0.0,0.0,1.0,0.0,0.0,76.0,16.0,5.0,1.0
shane baz,P,TB,Pitcher Fantasy Score,28.5,BOS,base,Mon 7:10 PM,12.0,5.0,3.0,4.96,60.0,8.27,3.17,2.61,1.79,9.09,22264.0,21.5%,8.2%,13.3%,0.261,1.36,0.294,75.9%,129.0,127.0,5.01,47.1%,7.7%,,,13.1%,,,,32.1%,,338.0,0.313,458.0,0.424,217.0,0.201,68.0,0.063,97.29,2496.0,0.382,0.0,0.441,0.235,0.294,96.95,2467.0,0.439,0.0,0.524,0.159,0.268,,22.0,3.0,5.1,0.0,5.06,0.0,0.0,1.0,0.0,0.0,76.0,16.0,22.0,0.0
shane baz,P,TB,Earned Runs Allowed,2.5,BOS,base,Mon 7:10 PM,12.0,5.0,3.0,4.96,60.0,8.27,3.17,2.61,1.79,9.09,22264.0,21.5%,8.2%,13.3%,0.261,1.36,0.294,75.9%,129.0,127.0,5.01,47.1%,7.7%,,,13.1%,,,,32.1%,,338.0,0.313,458.0,0.424,217.0,0.201,68.0,0.063,97.29,2496.0,0.382,0.0,0.441,0.235,0.294,96.95,2467.0,0.439,0.0,0.524,0.159,0.268,,22.0,3.0,5.1,0.0,5.06,0.0,0.0,1.0,0.0,0.0,76.0,16.0,3.0,1.0
shane baz,P,TB,Pitching Outs,16.5,BOS,base,Mon 7:10 PM,12.0,5.0,3.0,4.96,60.0,8.27,3.17,2.61,1.79,9.09,22264.0,21.5%,8.2%,13.3%,0.261,1.36,0.294,75.9%,129.0,127.0,5.01,47.1%,7.7%,,,13.1%,,,,32.1%,,338.0,0.313,458.0,0.424,217.0,0.201,68.0,0.063,97.29,2496.0,0.382,0.0,0.441,0.235,0.294,96.95,2467.0,0.439,0.0,0.524,0.159,0.268,,22.0,3.0,5.1,0.0,5.06,0.0,0.0,1.0,0.0,0.0,76.0,16.0,16.0,0.0
brayan bello,P,BOS,Earned Runs Allowed,2.5,TB,base,Mon 7:10 PM,9.0,2.0,1.0,3.91,33.0,6.46,4.7,1.38,0.98,9.59,23920.0,15.9%,11.6%,4.3%,0.272,1.59,0.31,78.3%,93.0,118.0,4.81,13.8%,1.6%,39.1%,2.4%,16.8%,,26.3%,,,,211.0,0.254,349.0,0.419,211.0,0.254,61.0,0.073,94.93,2175.0,0.379,0.0,0.517,0.276,0.172,94.79,2188.0,0.429,0.0,0.486,0.229,0.257,,27.0,3.0,6.1,0.0,4.26,0.0,0.0,1.0,0.0,0.0,82.0,19.0,3.0,1.0
brayan bello,P,BOS,Pitching Outs,16.5,TB,base,Mon 7:10 PM,9.0,2.0,1.0,3.91,33.0,6.46,4.7,1.38,0.98,9.59,23920.0,15.9%,11.6%,4.3%,0.272,1.59,0.31,78.3%,93.0,118.0,4.81,13.8%,1.6%,39.1%,2.4%,16.8%,,26.3%,,,,211.0,0.254,349.0,0.419,211.0,0.254,61.0,0.073,94.93,2175.0,0.379,0.0,0.517,0.276,0.172,94.79,2188.0,0.429,0.0,0.486,0.229,0.257,,27.0,3.0,6.1,0.0,4.26,0.0,0.0,1.0,0.0,0.0,82.0,19.0,19.0,1.0
brayan bello,P,BOS,Pitcher Strikeouts,4.5,TB,base,Mon 7:10 PM,9.0,2.0,1.0,3.91,33.0,6.46,4.7,1.38,0.98,9.59,23920.0,15.9%,11.6%,4.3%,0.272,1.59,0.31,78.3%,93.0,118.0,4.81,13.8%,1.6%,39.1%,2.4%,16.8%,,26.3%,,,,211.0,0.254,349.0,0.419,211.0,0.254,61.0,0.073,94.93,2175.0,0.379,0.0,0.517,0.276,0.172,94.79,2188.0,0.429,0.0,0.486,0.229,0.257,,27.0,3.0,6.1,0.0,4.26,0.0,0.0,1.0,0.0,0.0,82.0,19.0,4.0,0.0
