Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,XBH,GIDP,SO,HBP,AB,R,CS,H,BB,3B,SF,HR,SB,SH,IBB,2B,PA,TB,RBI,CG,SV,SHO,GF,DEC,TBF,ER,GS,WP,IP,ERA,Pitches Thrown,Pitching Outs,Actual Stat,Hit
javier baez,IF,DET,Hitter Strikeouts,0.5,CIN,base,Sun 12:05 PM,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,0,0,0.0,0
javier baez,IF,DET,Hits+Runs+RBIs,1.5,CIN,base,Sun 12:05 PM,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,0,0,0.0,0
riley greene,OF,DET,Hits+Runs+RBIs,1.5,CIN,base,Sun 12:05 PM,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,0,0,1.0,0
spencer torkelson,IF,DET,Runs,0.5,CIN,base,Sun 12:05 PM,0,0,0,1,2,1,0,1,2,0,0,0,0,0,1,0,5,1,0,,,,,,,,,,,,0,0,1.0,1
tj friedl,OF,CIN,Hits+Runs+RBIs,1.5,DET,base,Sun 12:05 PM,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,5,1,0,,,,,,,,,,,,0,0,2.0,1
zach mckinstry,IF,DET,Hitter Strikeouts,0.5,CIN,base,Sun 12:05 PM,0,0,2,0,5,1,0,1,0,0,0,0,1,0,0,0,5,1,0,,,,,,,,,,,,0,0,2.0,1
elly de la cruz,IF,CIN,Hits+Runs+RBIs,1.5,DET,base,Sun 12:05 PM,1,1,1,0,4,2,0,1,1,0,0,1,0,0,0,0,5,4,1,,,,,,,,,,,,0,0,4.0,1
christian encarnacion-strand,IF,CIN,Hits+Runs+RBIs,1.5,DET,base,Sun 12:05 PM,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,0,0,1.0,0
wenceel perez,OF,DET,Hitter Strikeouts,0.5,CIN,base,Sun 12:05 PM,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,4,1,1,,,,,,,,,,,,0,0,0.0,0
wenceel perez,OF,DET,Hits+Runs+RBIs,1.5,CIN,base,Sun 12:05 PM,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,4,1,1,,,,,,,,,,,,0,0,2.0,1
gleyber torres,IF,DET,Walks,0.5,CIN,base,Sun 12:05 PM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,0,0,0.0,0
gleyber torres,IF,DET,Runs,0.5,CIN,base,Sun 12:05 PM,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,0,0,0.0,0
jahmai jones,OF,DET,Runs,0.5,CIN,base,Sun 12:05 PM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,0,0,0.0,0
javier baez,IF,DET,Hitter Fantasy Score,3.5,CIN,base,Sun 12:05 PM,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,0,0,2.0,0
riley greene,OF,DET,Hitter Fantasy Score,6.5,CIN,base,Sun 12:05 PM,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,0,0,4.0,0
spencer torkelson,IF,DET,Hitter Fantasy Score,4.5,CIN,base,Sun 12:05 PM,0,0,0,1,2,1,0,1,2,0,0,0,0,0,1,0,5,1,0,,,,,,,,,,,,0,0,11.0,1
tj friedl,OF,CIN,Hitter Fantasy Score,5.5,DET,base,Sun 12:05 PM,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,5,1,0,,,,,,,,,,,,0,0,9.0,1
will benson,OF,CIN,Hitter Fantasy Score,4.5,DET,base,Sun 12:05 PM,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,0,0,2.0,0
spencer steer,IF,CIN,Hitter Fantasy Score,4.5,DET,base,Sun 12:05 PM,1,0,1,0,4,1,0,1,0,0,0,1,0,0,0,0,4,4,1,,,,,,,,,,,,0,0,14.0,1
zach mckinstry,IF,DET,Hitter Fantasy Score,4.5,CIN,base,Sun 12:05 PM,0,0,2,0,5,1,0,1,0,0,0,0,1,0,0,0,5,1,0,,,,,,,,,,,,0,0,10.0,1
matt mclain,IF,CIN,Hitter Fantasy Score,3.5,DET,base,Sun 12:05 PM,1,0,1,0,4,1,0,1,0,0,0,1,0,0,0,0,4,4,3,,,,,,,,,,,,0,0,18.0,1
elly de la cruz,IF,CIN,Hitter Fantasy Score,7.5,DET,base,Sun 12:05 PM,1,1,1,0,4,2,0,1,1,0,0,1,0,0,0,0,5,4,1,,,,,,,,,,,,0,0,18.0,1
parker meadows,OF,DET,Hitter Fantasy Score,3.5,CIN,base,Sun 12:05 PM,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,0,0,0.0,0
