Player,Position,Team,Prop Type,Prop Value,Opposing Team,Stadium,Game-Time Temp (°F),Game-Time Humidity (%),Game-Time Wind Speed (mph),Game-Time Wind Dir (°),Game-Time Effect on Hitters,Odds Category,Start Time,Full Opposing Team,Opposing Pitcher,Pitcher Handedness,G_vs_rhp,AB_vs_rhp,H_vs_rhp,HR_vs_rhp,RBI_vs_rhp,PA_vs_rhp,AVG_vs_rhp,OBP_vs_rhp,SLG_vs_rhp,OPS_vs_rhp,G_vs_rhp_5,AB_vs_rhp_5,H_vs_rhp_5,HR_vs_rhp_5,RBI_vs_rhp_5,PA_vs_rhp_5,AVG_vs_rhp_5,OBP_vs_rhp_5,SLG_vs_rhp_5,OPS_vs_rhp_5,G_vs_rhp_10,AB_vs_rhp_10,H_vs_rhp_10,HR_vs_rhp_10,RBI_vs_rhp_10,PA_vs_rhp_10,AVG_vs_rhp_10,OBP_vs_rhp_10,SLG_vs_rhp_10,OPS_vs_rhp_10,G_vs_rhp_15,AB_vs_rhp_15,H_vs_rhp_15,HR_vs_rhp_15,RBI_vs_rhp_15,PA_vs_rhp_15,AVG_vs_rhp_15,OBP_vs_rhp_15,SLG_vs_rhp_15,OPS_vs_rhp_15,BB%_vs_rhp,K%_vs_rhp,BB/K_vs_rhp,ISO_vs_rhp,BABIP_vs_rhp,wOBA_vs_rhp,wRC+_vs_rhp,G_vs_lhp,AB_vs_lhp,H_vs_lhp,HR_vs_lhp,RBI_vs_lhp,PA_vs_lhp,AVG_vs_lhp,OBP_vs_lhp,SLG_vs_lhp,OPS_vs_lhp,G_vs_lhp_5,AB_vs_lhp_5,H_vs_lhp_5,HR_vs_lhp_5,RBI_vs_lhp_5,PA_vs_lhp_5,AVG_vs_lhp_5,OBP_vs_lhp_5,SLG_vs_lhp_5,OPS_vs_lhp_5,G_vs_lhp_10,AB_vs_lhp_10,H_vs_lhp_10,HR_vs_lhp_10,RBI_vs_lhp_10,PA_vs_lhp_10,AVG_vs_lhp_10,OBP_vs_lhp_10,SLG_vs_lhp_10,OPS_vs_lhp_10,G_vs_lhp_15,AB_vs_lhp_15,H_vs_lhp_15,HR_vs_lhp_15,RBI_vs_lhp_15,PA_vs_lhp_15,AVG_vs_lhp_15,OBP_vs_lhp_15,SLG_vs_lhp_15,OPS_vs_lhp_15,BB%_vs_lhp,K%_vs_lhp,BB/K_vs_lhp,ISO_vs_lhp,BABIP_vs_lhp,wOBA_vs_lhp,wRC+_vs_lhp,EV,Barrel%,Hard Hit %,xBA,xwOBA,Heart_Swing,Heart_Take,Heart_Run,Shadow_Swing,Shadow_Take,Shadow_Run,Chase_Swing,Chase_Take,Chase_Run,Waste_Swing,Waste_Take,Waste_Run,4seam_fastball_HardHit%,changeup_HardHit%,curveball_HardHit%,cutter_HardHit%,sinker_HardHit%,slider_HardHit%,sweeper_HardHit%,4seam_fastball_RV100,changeup_RV100,curveball_RV100,cutter_RV100,sinker_RV100,slider_RV100,sweeper_RV100,4seam_fastball_wOBA,changeup_wOBA,curveball_wOBA,cutter_wOBA,sinker_wOBA,slider_wOBA,sweeper_wOBA,4seam_fastball_xwOBA,changeup_xwOBA,curveball_xwOBA,cutter_xwOBA,sinker_xwOBA,slider_xwOBA,sweeper_xwOBA,Team Name,Weather Team Name,Park_Factor_Basic,Park_Factor_1B,Park_Factor_2B,Park_Factor_3B,Park_Factor_HR,Park_Factor_SO,Park_Factor_BB,Park_Factor_GB,Park_Factor_FB,Park_Factor_LD,Park_Factor_IFFB,Park_Factor_FIP,TB,AB,IBB,XBH,H,CS,BB,RBI,HBP,SB,2B,R,SH,PA,SO,3B,SF,GIDP,HR,Actual Stat,Hit
bryan reynolds,OF,PIT,Hits+Runs+RBIs,1.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,64,189,42,3,27,214,0.222,0.304,0.323,0.626,5,16,2,0,3,18,0.125,0.222,0.25,0.472,10,25,4,0,4,29,0.16,0.276,0.24,0.516,15,41,12,0,7,48,0.293,0.396,0.415,0.81,9.8%,22.4%,0.44,0.101,0.279,0.281,75.0,45,73,18,5,12,81,0.247,0.309,0.493,0.802,5,9,2,1,1,11,0.222,0.364,0.556,0.919,10,15,5,2,5,17,0.333,0.412,0.8,1.212,15,20,8,3,8,24,0.4,0.5,0.9,1.4,8.6%,35.8%,0.24,0.247,0.325,0.345,118.0,91.4,11.2%,47.3%,0.268,0.362,256.0,65.0,-8.0,239.0,248.0,-8.0,51.0,215.0,7.0,0.0,91.0,5.0,63.5,12.9,36.4,,60.7,58.3,,-1.2,-0.1,-0.6,,1.9,-0.8,,0.293,0.276,0.232,,0.441,0.272,,0.415,0.225,0.238,,0.472,0.405,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,2,4,0,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1.0,0
oneil cruz,OF,PIT,Hits+Runs+RBIs,1.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,54,157,41,12,25,191,0.261,0.382,0.541,0.924,5,17,4,1,1,21,0.235,0.381,0.471,0.852,10,33,7,1,1,40,0.212,0.35,0.394,0.744,15,51,11,3,5,60,0.216,0.333,0.471,0.804,15.7%,31.4%,0.5,0.28,0.333,0.393,152.0,43,60,8,1,4,71,0.133,0.268,0.25,0.518,5,9,1,0,2,11,0.111,0.273,0.111,0.384,10,14,3,0,3,16,0.214,0.313,0.357,0.67,15,19,3,0,3,21,0.158,0.238,0.263,0.501,14.1%,39.4%,0.36,0.117,0.226,0.246,50.0,97.3,24.4%,61.1%,0.242,0.379,142.0,99.0,-4.0,220.0,270.0,-1.0,59.0,191.0,10.0,8.0,91.0,5.0,76.5,64.7,38.5,,52.4,45.0,,2.2,0.6,-2.6,,1.6,0.7,,0.46,0.322,0.115,,0.397,0.355,,0.523,0.383,0.136,,0.357,0.353,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,1,5,0,0,1,0,0,1,0,1,0,0,0,5,0,0,0,1,0,2.0,1
andrew mccutchen,OF,PIT,Hits+Runs+RBIs,1.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,55,146,36,6,19,169,0.247,0.339,0.411,0.75,5,18,7,1,5,18,0.389,0.389,0.667,1.056,10,28,8,2,8,30,0.286,0.3,0.571,0.871,15,46,13,3,10,50,0.283,0.32,0.543,0.863,11.8%,19.5%,0.61,0.166,0.28,0.335,112.0,35,64,19,0,6,73,0.297,0.37,0.375,0.745,5,11,2,0,1,11,0.182,0.182,0.182,0.364,10,19,5,0,1,19,0.263,0.263,0.316,0.579,15,26,7,0,1,29,0.269,0.345,0.308,0.653,11.0%,19.2%,0.57,0.078,0.373,0.333,111.0,89.3,10.3%,43.6%,0.276,0.356,220.0,48.0,-4.0,195.0,231.0,-7.0,44.0,171.0,6.0,2.0,90.0,5.0,49.1,,,,64.9,33.3,,-1.5,,,,0.9,-0.6,,0.287,,,,0.395,0.289,,0.349,,,,0.467,0.34,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0.0,0
henry davis,C,PIT,Total Bases,0.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,26,61,13,2,8,70,0.213,0.284,0.344,0.628,5,13,3,1,2,13,0.231,0.231,0.538,0.769,10,29,7,2,5,31,0.241,0.267,0.517,0.784,15,39,11,2,7,45,0.282,0.349,0.487,0.836,7.1%,18.6%,0.38,0.131,0.239,0.282,75.0,15,25,4,2,2,26,0.16,0.192,0.4,0.592,5,11,2,1,1,11,0.182,0.182,0.455,0.636,10,18,2,1,1,19,0.111,0.158,0.278,0.436,15,25,4,2,2,26,0.16,0.192,0.4,0.592,3.8%,30.8%,0.13,0.24,0.133,0.255,57.0,85.4,8.8%,29.4%,0.257,0.331,77.0,22.0,-5.0,95.0,66.0,1.0,14.0,57.0,2.0,5.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,2,3,0,1,1,0,1,0,0,0,1,1,0,4,1,0,0,0,0,2.0,1
adam frazier,IF,PIT,Hitter Strikeouts,0.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,61,174,48,3,16,192,0.276,0.333,0.374,0.707,5,16,5,0,3,18,0.313,0.333,0.313,0.646,10,33,10,1,4,35,0.303,0.314,0.455,0.769,15,48,17,1,4,55,0.354,0.418,0.479,0.897,6.8%,13.5%,0.5,0.098,0.306,0.311,95.0,16,19,2,0,2,22,0.105,0.227,0.158,0.385,5,6,1,0,2,6,0.167,0.167,0.333,0.5,10,11,2,0,2,12,0.182,0.25,0.273,0.523,15,19,2,0,2,21,0.105,0.19,0.158,0.348,9.1%,36.4%,0.25,0.053,0.182,0.194,15.0,84.6,0.6%,16.8%,0.239,0.272,178.0,66.0,-8.0,216.0,160.0,-7.0,36.0,143.0,7.0,1.0,61.0,4.0,22.9,,,16.7,35.0,18.5,,-0.2,,,-1.1,-0.2,-1.6,,0.363,,,0.3,0.337,0.255,,0.316,,,0.206,0.295,0.283,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,1,4,0,0,1,1,0,0,0,1,0,1,0,4,1,0,0,0,0,1.0,1
reese mcguire,C,CHC,Total Bases,0.5,PIT,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Pirates,paul skenes,right,7,19,5,0,2,19,0.263,0.263,0.316,0.579,5,17,5,0,2,17,0.294,0.294,0.353,0.647,10,26,5,0,2,26,0.192,0.192,0.231,0.423,15,37,10,0,4,37,0.27,0.27,0.324,0.595,0.0%,15.8%,0.0,0.053,0.313,0.254,61.0,3,7,2,2,2,8,0.286,0.286,1.143,1.429,5,11,2,2,2,12,0.182,0.182,0.727,0.909,10,15,2,2,3,18,0.133,0.176,0.533,0.71,15,20,4,2,3,23,0.2,0.227,0.5,0.727,0.0%,25.0%,0.0,0.857,0.0,0.593,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,Cubs,97,100,95,110,98,101,98,100,97,101,99,98,1,4,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1.0,1
reese mcguire,C,CHC,Hits,0.5,PIT,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Pirates,paul skenes,right,7,19,5,0,2,19,0.263,0.263,0.316,0.579,5,17,5,0,2,17,0.294,0.294,0.353,0.647,10,26,5,0,2,26,0.192,0.192,0.231,0.423,15,37,10,0,4,37,0.27,0.27,0.324,0.595,0.0%,15.8%,0.0,0.053,0.313,0.254,61.0,3,7,2,2,2,8,0.286,0.286,1.143,1.429,5,11,2,2,2,12,0.182,0.182,0.727,0.909,10,15,2,2,3,18,0.133,0.176,0.533,0.71,15,20,4,2,3,23,0.2,0.227,0.5,0.727,0.0%,25.0%,0.0,0.857,0.0,0.593,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,Cubs,97,100,95,110,98,101,98,100,97,101,99,98,1,4,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1.0,1
ke'bryan hayes,IF,PIT,Hitter Fantasy Score,3.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,61,181,43,2,15,200,0.238,0.307,0.309,0.616,5,13,5,1,1,13,0.385,0.385,0.615,1.0,10,28,8,1,3,30,0.286,0.333,0.393,0.726,15,46,9,1,4,51,0.196,0.275,0.261,0.535,7.0%,20.0%,0.35,0.072,0.302,0.285,77.0,24,56,11,0,4,57,0.196,0.211,0.214,0.425,5,11,2,0,0,11,0.182,0.182,0.182,0.364,10,24,4,0,0,24,0.167,0.167,0.167,0.333,15,37,9,0,3,37,0.243,0.243,0.27,0.514,1.8%,19.3%,0.09,0.018,0.244,0.19,12.0,90.1,5.9%,43.9%,0.245,0.292,173.0,88.0,-13.0,199.0,215.0,-9.0,48.0,176.0,5.0,4.0,67.0,4.0,45.8,,,,50.0,51.7,,-2.9,,,,-3.2,0.9,,0.186,,,,0.246,0.349,,0.254,,,,0.342,0.347,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,1,4,0,0,1,0,0,0,0,1,0,0,0,4,2,0,0,0,0,8.0,1
bryan reynolds,OF,PIT,Hitter Fantasy Score,5.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,64,189,42,3,27,214,0.222,0.304,0.323,0.626,5,16,2,0,3,18,0.125,0.222,0.25,0.472,10,25,4,0,4,29,0.16,0.276,0.24,0.516,15,41,12,0,7,48,0.293,0.396,0.415,0.81,9.8%,22.4%,0.44,0.101,0.279,0.281,75.0,45,73,18,5,12,81,0.247,0.309,0.493,0.802,5,9,2,1,1,11,0.222,0.364,0.556,0.919,10,15,5,2,5,17,0.333,0.412,0.8,1.212,15,20,8,3,8,24,0.4,0.5,0.9,1.4,8.6%,35.8%,0.24,0.247,0.325,0.345,118.0,91.4,11.2%,47.3%,0.268,0.362,256.0,65.0,-8.0,239.0,248.0,-8.0,51.0,215.0,7.0,0.0,91.0,5.0,63.5,12.9,36.4,,60.7,58.3,,-1.2,-0.1,-0.6,,1.9,-0.8,,0.293,0.276,0.232,,0.441,0.272,,0.415,0.225,0.238,,0.472,0.405,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,2,4,0,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,5.0,0
oneil cruz,OF,PIT,Hitter Fantasy Score,8.5,CHC,Wrigley Field,66.38,83,3.04,97,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Fri 2:20 PM,Cubs,cade horton,right,54,157,41,12,25,191,0.261,0.382,0.541,0.924,5,17,4,1,1,21,0.235,0.381,0.471,0.852,10,33,7,1,1,40,0.212,0.35,0.394,0.744,15,51,11,3,5,60,0.216,0.333,0.471,0.804,15.7%,31.4%,0.5,0.28,0.333,0.393,152.0,43,60,8,1,4,71,0.133,0.268,0.25,0.518,5,9,1,0,2,11,0.111,0.273,0.111,0.384,10,14,3,0,3,16,0.214,0.313,0.357,0.67,15,19,3,0,3,21,0.158,0.238,0.263,0.501,14.1%,39.4%,0.36,0.117,0.226,0.246,50.0,97.3,24.4%,61.1%,0.242,0.379,142.0,99.0,-4.0,220.0,270.0,-1.0,59.0,191.0,10.0,8.0,91.0,5.0,76.5,64.7,38.5,,52.4,45.0,,2.2,0.6,-2.6,,1.6,0.7,,0.46,0.322,0.115,,0.397,0.355,,0.523,0.383,0.136,,0.357,0.353,,Pirates,Cubs,102,103,105,96,94,97,102,102,102,102,96,100,1,5,0,0,1,0,0,1,0,1,0,0,0,5,0,0,0,1,0,10.0,1
