Player,Position,Team,Prop Type,Prop Value,Opposing Team,Stadium,Game-Time Temp (°F),Game-Time Humidity (%),Game-Time Wind Speed (mph),Game-Time Wind Dir (°),Game-Time Effect on Hitters,Odds Category,Start Time,Full Opposing Team,Opposing Pitcher,Pitcher Handedness,G_vs_rhp,AB_vs_rhp,H_vs_rhp,HR_vs_rhp,RBI_vs_rhp,PA_vs_rhp,AVG_vs_rhp,OBP_vs_rhp,SLG_vs_rhp,OPS_vs_rhp,G_vs_rhp_5,AB_vs_rhp_5,H_vs_rhp_5,HR_vs_rhp_5,RBI_vs_rhp_5,PA_vs_rhp_5,AVG_vs_rhp_5,OBP_vs_rhp_5,SLG_vs_rhp_5,OPS_vs_rhp_5,G_vs_rhp_10,AB_vs_rhp_10,H_vs_rhp_10,HR_vs_rhp_10,RBI_vs_rhp_10,PA_vs_rhp_10,AVG_vs_rhp_10,OBP_vs_rhp_10,SLG_vs_rhp_10,OPS_vs_rhp_10,G_vs_rhp_15,AB_vs_rhp_15,H_vs_rhp_15,HR_vs_rhp_15,RBI_vs_rhp_15,PA_vs_rhp_15,AVG_vs_rhp_15,OBP_vs_rhp_15,SLG_vs_rhp_15,OPS_vs_rhp_15,BB%_vs_rhp,K%_vs_rhp,BB/K_vs_rhp,ISO_vs_rhp,BABIP_vs_rhp,wOBA_vs_rhp,wRC+_vs_rhp,G_vs_lhp,AB_vs_lhp,H_vs_lhp,HR_vs_lhp,RBI_vs_lhp,PA_vs_lhp,AVG_vs_lhp,OBP_vs_lhp,SLG_vs_lhp,OPS_vs_lhp,G_vs_lhp_5,AB_vs_lhp_5,H_vs_lhp_5,HR_vs_lhp_5,RBI_vs_lhp_5,PA_vs_lhp_5,AVG_vs_lhp_5,OBP_vs_lhp_5,SLG_vs_lhp_5,OPS_vs_lhp_5,G_vs_lhp_10,AB_vs_lhp_10,H_vs_lhp_10,HR_vs_lhp_10,RBI_vs_lhp_10,PA_vs_lhp_10,AVG_vs_lhp_10,OBP_vs_lhp_10,SLG_vs_lhp_10,OPS_vs_lhp_10,G_vs_lhp_15,AB_vs_lhp_15,H_vs_lhp_15,HR_vs_lhp_15,RBI_vs_lhp_15,PA_vs_lhp_15,AVG_vs_lhp_15,OBP_vs_lhp_15,SLG_vs_lhp_15,OPS_vs_lhp_15,BB%_vs_lhp,K%_vs_lhp,BB/K_vs_lhp,ISO_vs_lhp,BABIP_vs_lhp,wOBA_vs_lhp,wRC+_vs_lhp,EV,Barrel%,Hard Hit %,xBA,xwOBA,Heart_Swing,Heart_Take,Heart_Run,Shadow_Swing,Shadow_Take,Shadow_Run,Chase_Swing,Chase_Take,Chase_Run,Waste_Swing,Waste_Take,Waste_Run,4seam_fastball_HardHit%,changeup_HardHit%,curveball_HardHit%,cutter_HardHit%,sinker_HardHit%,slider_HardHit%,sweeper_HardHit%,4seam_fastball_RV100,changeup_RV100,curveball_RV100,cutter_RV100,sinker_RV100,slider_RV100,sweeper_RV100,4seam_fastball_wOBA,changeup_wOBA,curveball_wOBA,cutter_wOBA,sinker_wOBA,slider_wOBA,sweeper_wOBA,4seam_fastball_xwOBA,changeup_xwOBA,curveball_xwOBA,cutter_xwOBA,sinker_xwOBA,slider_xwOBA,sweeper_xwOBA,Team Name,Weather Team Name,Park_Factor_Basic,Park_Factor_1B,Park_Factor_2B,Park_Factor_3B,Park_Factor_HR,Park_Factor_SO,Park_Factor_BB,Park_Factor_GB,Park_Factor_FB,Park_Factor_LD,Park_Factor_IFFB,Park_Factor_FIP
javier baez,IF,DET,Hits+Runs+RBIs,1.5,CIN,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Reds,brady singer,right,50,140,34,5,24,146,0.243,0.274,0.4,0.674,5,17,5,0,0,17,0.294,0.294,0.294,0.588,10,33,7,0,0,33,0.212,0.212,0.212,0.424,15,44,8,0,0,44,0.182,0.182,0.205,0.386,2.7%,22.7%,0.12,0.175,0.291,0.311,100.0,31,57,20,1,7,59,0.351,0.373,0.456,0.829,5,9,4,0,2,9,0.444,0.444,0.556,1.0,10,14,6,0,3,14,0.429,0.429,0.5,0.929,15,27,10,1,6,27,0.37,0.37,0.556,0.926,3.3%,23.3%,0.14,0.121,0.465,0.379,147.0,88.5,6.5%,41.2%,0.247,0.293,123.0,53.0,-3.0,187.0,125.0,2.0,60.0,111.0,2.0,21.0,56.0,3.0,62.2,,,,40.0,42.3,,0.3,,,,-0.8,-1.2,,0.273,,,,0.371,0.281,,0.359,,,,0.285,0.318,,Tigers,Tigers,99,100,100,123,93,98,102,100,101,101,108,99
tyler stephenson,C,CIN,Hits,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,30,85,19,3,12,94,0.224,0.287,0.376,0.664,5,15,5,0,1,18,0.333,0.444,0.4,0.844,10,33,9,2,6,37,0.273,0.324,0.485,0.809,15,45,13,3,10,51,0.289,0.353,0.533,0.886,8.1%,39.4%,0.21,0.156,0.388,0.309,90.0,18,27,8,2,4,33,0.296,0.424,0.593,1.017,5,9,4,1,1,9,0.444,0.444,0.778,1.222,10,17,4,1,1,19,0.235,0.316,0.412,0.728,15,22,6,1,1,26,0.273,0.385,0.455,0.839,18.2%,21.2%,0.86,0.296,0.333,0.428,172.0,91.9,15.3%,56.9%,0.24,0.336,89.0,47.0,2.0,128.0,133.0,-6.0,24.0,103.0,4.0,2.0,26.0,1.0,69.6,,,,66.7,61.5,,-0.5,,,,1.8,0.7,,0.336,,,,0.452,0.352,,0.405,,,,0.448,0.251,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
tyler stephenson,C,CIN,Total Bases,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,30,85,19,3,12,94,0.224,0.287,0.376,0.664,5,15,5,0,1,18,0.333,0.444,0.4,0.844,10,33,9,2,6,37,0.273,0.324,0.485,0.809,15,45,13,3,10,51,0.289,0.353,0.533,0.886,8.1%,39.4%,0.21,0.156,0.388,0.309,90.0,18,27,8,2,4,33,0.296,0.424,0.593,1.017,5,9,4,1,1,9,0.444,0.444,0.778,1.222,10,17,4,1,1,19,0.235,0.316,0.412,0.728,15,22,6,1,1,26,0.273,0.385,0.455,0.839,18.2%,21.2%,0.86,0.296,0.333,0.428,172.0,91.9,15.3%,56.9%,0.24,0.336,89.0,47.0,2.0,128.0,133.0,-6.0,24.0,103.0,4.0,2.0,26.0,1.0,69.6,,,,66.7,61.5,,-0.5,,,,1.8,0.7,,0.336,,,,0.452,0.352,,0.405,,,,0.448,0.251,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
will benson,OF,CIN,Hits+Runs+RBIs,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,28,77,21,6,16,86,0.273,0.326,0.558,0.884,5,14,3,0,1,17,0.214,0.353,0.286,0.639,10,29,6,1,2,32,0.207,0.281,0.345,0.626,15,42,9,1,4,46,0.214,0.261,0.31,0.57,7.0%,25.6%,0.27,0.286,0.294,0.374,135.0,10,9,0,0,0,11,0.0,0.182,0.0,0.182,5,5,0,0,0,6,0.0,0.167,0.0,0.167,10,9,0,0,0,11,0.0,0.182,0.0,0.182,15,15,1,0,1,17,0.067,0.176,0.067,0.243,18.2%,36.4%,0.5,0.0,0.0,0.126,-36.0,92.3,16.1%,53.2%,0.292,0.395,88.0,21.0,1.0,89.0,80.0,-3.0,10.0,60.0,2.0,0.0,11.0,1.0,66.7,,,,,,,-1.1,,,,,,,0.244,,,,,,,0.372,,,,,,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
spencer steer,IF,CIN,Hits+Runs+RBIs,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,57,165,37,3,16,182,0.224,0.297,0.327,0.624,5,14,3,0,3,16,0.214,0.313,0.214,0.527,10,30,6,0,4,32,0.2,0.25,0.233,0.483,15,40,8,0,6,44,0.2,0.273,0.225,0.498,8.6%,24.2%,0.36,0.101,0.289,0.281,70.0,33,61,14,1,5,65,0.23,0.277,0.311,0.588,5,7,2,0,0,7,0.286,0.286,0.286,0.571,10,14,4,0,1,15,0.286,0.333,0.286,0.619,15,23,8,0,2,24,0.348,0.375,0.391,0.766,6.1%,33.3%,0.18,0.081,0.333,0.26,56.0,86.9,4.9%,30.5%,0.224,0.274,243.0,77.0,-6.0,225.0,215.0,-11.0,27.0,158.0,6.0,4.0,62.0,2.0,36.7,,,,27.6,33.3,,-1.5,,,,-0.7,-2.5,,0.256,,,,0.33,0.183,,0.268,,,,0.305,0.21,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
matt mclain,IF,CIN,Hits+Runs+RBIs,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,57,160,29,5,15,183,0.181,0.275,0.306,0.581,5,13,3,1,3,15,0.231,0.333,0.462,0.795,10,25,4,1,4,28,0.16,0.25,0.32,0.57,15,42,9,1,4,45,0.214,0.267,0.333,0.6,10.2%,28.9%,0.35,0.122,0.236,0.264,59.0,28,47,9,2,7,55,0.191,0.309,0.319,0.628,5,8,2,0,0,10,0.25,0.4,0.25,0.65,10,16,3,0,1,18,0.188,0.278,0.188,0.465,15,21,3,0,1,23,0.143,0.217,0.143,0.36,12.7%,32.7%,0.39,0.128,0.259,0.29,77.0,89.2,8.5%,41.8%,0.213,0.305,166.0,102.0,-4.0,199.0,242.0,-13.0,38.0,166.0,6.0,5.0,66.0,3.0,58.8,,,,44.4,29.0,,-0.2,,,,-1.6,-0.4,,0.346,,,,0.348,0.229,,0.369,,,,0.371,0.257,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
elly de la cruz,IF,CIN,Hits,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,62,174,51,10,33,201,0.293,0.383,0.523,0.906,5,13,4,0,0,16,0.308,0.438,0.385,0.822,10,23,8,1,3,30,0.348,0.5,0.565,1.065,15,38,16,4,10,48,0.421,0.542,0.816,1.357,11.8%,25.5%,0.46,0.249,0.365,0.4,152.0,48,87,17,3,11,94,0.195,0.255,0.333,0.589,5,9,2,1,1,9,0.222,0.222,0.667,0.889,10,16,3,1,1,17,0.188,0.235,0.5,0.735,15,26,4,1,1,28,0.154,0.214,0.346,0.56,7.3%,29.2%,0.25,0.135,0.259,0.257,54.0,92.1,15.0%,48.1%,0.266,0.362,190.0,105.0,-2.0,240.0,235.0,-5.0,71.0,221.0,8.0,2.0,88.0,5.0,65.1,23.1,40.0,,,50.0,,1.4,-0.5,2.7,,,-0.3,,0.432,0.29,0.428,,,0.271,,0.42,0.301,0.396,,,0.273,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
elly de la cruz,IF,CIN,Total Bases,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,62,174,51,10,33,201,0.293,0.383,0.523,0.906,5,13,4,0,0,16,0.308,0.438,0.385,0.822,10,23,8,1,3,30,0.348,0.5,0.565,1.065,15,38,16,4,10,48,0.421,0.542,0.816,1.357,11.8%,25.5%,0.46,0.249,0.365,0.4,152.0,48,87,17,3,11,94,0.195,0.255,0.333,0.589,5,9,2,1,1,9,0.222,0.222,0.667,0.889,10,16,3,1,1,17,0.188,0.235,0.5,0.735,15,26,4,1,1,28,0.154,0.214,0.346,0.56,7.3%,29.2%,0.25,0.135,0.259,0.257,54.0,92.1,15.0%,48.1%,0.266,0.362,190.0,105.0,-2.0,240.0,235.0,-5.0,71.0,221.0,8.0,2.0,88.0,5.0,65.1,23.1,40.0,,,50.0,,1.4,-0.5,2.7,,,-0.3,,0.432,0.29,0.428,,,0.271,,0.42,0.301,0.396,,,0.273,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
dillon dingler,C,DET,Hits,0.5,CIN,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Reds,brady singer,right,50,145,40,5,19,153,0.276,0.314,0.421,0.734,5,13,1,1,1,13,0.077,0.077,0.308,0.385,10,27,4,2,5,29,0.148,0.207,0.407,0.614,15,42,10,3,9,45,0.238,0.289,0.476,0.765,3.3%,26.8%,0.12,0.145,0.354,0.323,108.0,20,42,13,2,10,42,0.31,0.31,0.571,0.881,5,8,3,0,2,8,0.375,0.375,0.375,0.75,10,22,8,1,6,22,0.364,0.364,0.591,0.955,15,34,13,2,10,34,0.382,0.382,0.706,1.088,0.0%,31.0%,0.0,0.262,0.407,0.376,145.0,89.5,9.0%,45.1%,0.278,0.336,151.0,60.0,4.0,180.0,135.0,-6.0,42.0,100.0,3.0,1.0,53.0,2.0,60.7,,,,46.4,31.3,,-0.5,,,,4.6,0.5,,0.288,,,,0.548,0.346,,0.329,,,,0.465,0.308,,Tigers,Tigers,99,100,100,123,93,98,102,100,101,101,108,99
gavin lux,IF,CIN,Hits+Runs+RBIs,0.5,DET,Comerica Park,70.88,66,8.48,86,Crosswind: pushes balls to foul lines. Neutral-ish for hitters.,base,Sat 1:10 PM,Tigers,jack flaherty,right,61,166,51,2,25,187,0.307,0.385,0.44,0.825,5,16,3,1,4,16,0.188,0.188,0.375,0.563,10,30,7,1,5,32,0.233,0.281,0.333,0.615,15,39,9,1,6,43,0.231,0.302,0.333,0.636,11.5%,20.9%,0.55,0.13,0.386,0.361,126.0,28,34,5,0,2,40,0.147,0.275,0.147,0.422,5,5,1,0,1,6,0.2,0.333,0.2,0.533,10,12,3,0,1,13,0.25,0.308,0.25,0.558,15,19,3,0,1,21,0.158,0.238,0.158,0.396,15.0%,40.0%,0.38,0.0,0.278,0.215,25.0,88.8,4.8%,38.1%,0.254,0.315,183.0,92.0,-9.0,209.0,193.0,-1.0,24.0,188.0,9.0,2.0,69.0,3.0,51.2,19.2,,,50.0,26.3,,2.6,1.2,,,-0.7,-2.2,,0.504,0.287,,,0.318,0.205,,0.353,0.28,,,0.339,0.208,,Reds,Tigers,106,101,101,84,118,102,102,99,101,101,110,106
