Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9,FG_ID,K%,BB%,K-BB%,AVG Against,WHIP,BABIP,LOB%,ERA-,FIP-,FIP,Four Seamer,Changeup,Slider,Sinker,Cutter,Curveball,Sweeper,Split Finger,Slurve,Knuckle Curve,Slow Curve,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct,15_day_fastball_velo,15_day_fastball_spin,15_day_hard_hit_pct,15_day_barrel_pct,15_day_gb_pct,15_day_fb_pct,15_day_ld_pct,30_day_fastball_velo,30_day_fastball_spin,30_day_hard_hit_pct,30_day_barrel_pct,30_day_gb_pct,30_day_fb_pct,30_day_ld_pct
sawyer gipson-long,P,DET,Pitcher Strikeouts,4.0,CIN,base,Sun 12:05 PM,2.0,0.0,0.0,4.32,8.0,8.64,1.08,8.0,0.0,8.64,26048.0,24.2%,3.0%,21.2%,0.258,1.08,0.348,60.0%,109.0,45.0,1.87,38.8%,26.4%,19.0%,9.9%,5.8%,,,,,,,45.0,0.372,50.0,0.413,19.0,0.157,7.0,0.058,93.29,2316.0,0.571,0.0,0.333,0.143,0.429,93.29,2316.0,0.571,0.0,0.333,0.143,0.429
wade miley,P,CIN,Earned Runs Allowed,2.5,DET,base,Sun 12:05 PM,2.0,1.0,0.0,9.0,2.0,2.57,5.14,0.5,1.29,14.14,8779.0,5.9%,11.8%,-5.9%,0.379,2.14,0.385,61.6%,209.0,153.0,6.5,13.8%,26.7%,0.9%,12.1%,45.7%,0.9%,,,,,,30.0,0.259,52.0,0.448,23.0,0.198,11.0,0.095,91.04,2324.0,0.375,0.0,0.333,0.208,0.375,91.04,2324.0,0.375,0.0,0.333,0.208,0.375
wade miley,P,CIN,Hits Allowed,5.5,DET,base,Sun 12:05 PM,2.0,1.0,0.0,9.0,2.0,2.57,5.14,0.5,1.29,14.14,8779.0,5.9%,11.8%,-5.9%,0.379,2.14,0.385,61.6%,209.0,153.0,6.5,13.8%,26.7%,0.9%,12.1%,45.7%,0.9%,,,,,,30.0,0.259,52.0,0.448,23.0,0.198,11.0,0.095,91.04,2324.0,0.375,0.0,0.333,0.208,0.375,91.04,2324.0,0.375,0.0,0.333,0.208,0.375
zack wheeler,P,PHI,Pitcher Strikeouts,6.5,TOR,base,Sun 1:35 PM,13.0,6.0,2.0,2.85,101.0,11.09,2.09,5.32,1.1,6.04,10310.0,32.0%,6.0%,25.9%,0.186,0.9,0.245,80.6%,70.0,73.0,2.96,41.5%,,,15.5%,9.5%,9.5%,13.7%,10.3%,,,,342.0,0.264,598.0,0.461,278.0,0.215,78.0,0.06,96.62,2518.0,0.538,0.0,0.154,0.385,0.385,96.7,2489.0,0.291,0.0,0.382,0.255,0.309
jose berrios,P,TOR,Pitcher Strikeouts,4.5,PHI,base,Sun 1:35 PM,14.0,2.0,2.0,3.38,71.0,7.73,3.48,2.22,1.2,7.73,14168.0,20.8%,9.4%,11.4%,0.232,1.25,0.268,82.8%,85.0,107.0,4.36,20.0%,16.3%,,31.1%,6.1%,,,,26.5%,,,299.0,0.242,518.0,0.419,299.0,0.242,120.0,0.097,93.3,2077.0,0.289,0.0,0.342,0.211,0.263,92.92,2088.0,0.345,0.0,0.333,0.25,0.31
jose berrios,P,TOR,Hits Allowed,5.5,PHI,base,Sun 1:35 PM,14.0,2.0,2.0,3.38,71.0,7.73,3.48,2.22,1.2,7.73,14168.0,20.8%,9.4%,11.4%,0.232,1.25,0.268,82.8%,85.0,107.0,4.36,20.0%,16.3%,,31.1%,6.1%,,,,26.5%,,,299.0,0.242,518.0,0.419,299.0,0.242,120.0,0.097,93.3,2077.0,0.289,0.0,0.342,0.211,0.263,92.92,2088.0,0.345,0.0,0.333,0.25,0.31
jose berrios,P,TOR,Earned Runs Allowed,2.5,PHI,base,Sun 1:35 PM,14.0,2.0,2.0,3.38,71.0,7.73,3.48,2.22,1.2,7.73,14168.0,20.8%,9.4%,11.4%,0.232,1.25,0.268,82.8%,85.0,107.0,4.36,20.0%,16.3%,,31.1%,6.1%,,,,26.5%,,,299.0,0.242,518.0,0.419,299.0,0.242,120.0,0.097,93.3,2077.0,0.289,0.0,0.342,0.211,0.263,92.92,2088.0,0.345,0.0,0.333,0.25,0.31
austin gomber,P,COL,Hits Allowed,5.5,ATL,base,Sun 1:35 PM,30.0,5.0,12.0,4.75,116.0,6.33,2.07,3.05,1.64,9.71,,,,,,,,,,,,40.4%,20.5%,16.7%,0.0%,,,,,,22.4%,,,,,,,,,,,,,,,,,,,,,,,
austin gomber,P,COL,Pitcher Strikeouts,3.5,ATL,base,Sun 1:35 PM,30.0,5.0,12.0,4.75,116.0,6.33,2.07,3.05,1.64,9.71,,,,,,,,,,,,40.4%,20.5%,16.7%,0.0%,,,,,,22.4%,,,,,,,,,,,,,,,,,,,,,,,
grant holmes,P,ATL,Hits Allowed,4.5,COL,base,Sun 1:35 PM,14.0,3.0,5.0,4.07,77.0,9.49,3.95,2.41,1.6,7.03,16944.0,25.4%,10.6%,14.9%,0.212,1.22,0.246,79.7%,100.0,120.0,4.68,36.9%,1.7%,33.3%,0.3%,12.3%,15.4%,,,,,,298.0,0.246,528.0,0.437,279.0,0.231,104.0,0.086,95.04,2322.0,0.632,0.0,0.474,0.263,0.263,94.69,2291.0,0.42,0.0,0.478,0.304,0.174
