Player,FG_ID,BB%BB% - Walk Percentage (BB/PA),K%K% - Strikeout Percentage (SO/PA),BB/KBB/K - Walk to Strikeout Ratio (BB/SO),ISOISO - Isolated Power (SLG-AVG),BABIPBABIP - Batting Average on Balls in Play,wOBAwOBA - Weighted On Base Average (Linear Weights),wRC+wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA
CJ Abrams,25768,1.3%,21.5%,0.06,.133,.286,.288,82
Ronald Acuna,18401,12.5%,43.8%,0.29,.286,.167,.296,86
Willy Adames,15986,7.1%,29.8%,0.24,.093,.157,.188,15
Jo Adell,20220,5.6%,30.6%,0.18,.235,.143,.249,54
Ozzie Albies,16556,4.0%,16.0%,0.25,.056,.300,.261,62
Nick Allen,22277,12.2%,14.3%,0.86,.049,.229,.251,55
Pete Alonso,19251,13.3%,22.7%,0.59,.238,.302,.375,145
Jose Altuve,5417,6.7%,20.0%,0.33,.250,.300,.375,145
Jonathan Aranda,21837,14.5%,25.5%,0.57,.044,.419,.351,131
Nolan Arenado,9777,8.9%,7.6%,1.17,.127,.313,.345,122
Randy Arozarena,19290,6.3%,25.0%,0.25,.178,.365,.348,131
Luis Arraez,18568,2.5%,1.2%,2.00,.110,.211,.264,69
Javier Baez,12979,3.3%,23.3%,0.14,.121,.465,.379,148
Brett Baty,26123,8.0%,12.0%,0.67,.000,.263,.262,68
Jordan Beck,31431,5.2%,36.2%,0.14,.236,.387,.353,113
Cody Bellinger,15998,8.0%,8.0%,1.00,.212,.311,.375,144
Andrew Benintendi,17901,0.0%,31.3%,0.00,.310,.167,.279,76
Will Benson,21853,18.2%,36.4%,0.50,.000,.000,.126,-36
Mookie Betts,13611,13.0%,9.1%,1.43,.172,.250,.347,124
Bo Bichette,19612,5.9%,16.2%,0.36,.081,.255,.257,62
Xander Bogaerts,12161,10.1%,13.9%,0.73,.043,.283,.259,66
Alec Bohm,21618,3.8%,17.9%,0.21,.133,.322,.316,100
Jonah Bride,24703,11.1%,29.6%,0.38,.021,.313,.240,48
Jake Burger,22275,5.7%,18.9%,0.30,.255,.250,.343,121
Alec Burleson,27615,6.7%,16.7%,0.40,.000,.304,.254,60
Michael Busch,26319,10.8%,27.0%,0.40,.031,.182,.201,25
Jac Caglianone,35041,0.0%,17.6%,0.00,.059,.214,.179,2
Junior Caminero,28163,3.8%,15.4%,0.25,.181,.207,.284,84
Kristian Campbell,33644,15.5%,21.1%,0.73,.107,.268,.321,100
Dominic Canzone,26438,0.0%,66.7%,0.00,.000,1.000,.296,95
