Player,FG_ID,BB%BB% - Walk Percentage (BB/PA),K%K% - Strikeout Percentage (SO/PA),BB/KBB/K - Walk to Strikeout Ratio (BB/SO),ISOISO - Isolated Power (SLG-AVG),BABIPBABIP - Batting Average on Balls in Play,wOBAwOBA - Weighted On Base Average (Linear Weights),wRC+wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA
CJ Abrams,25768,7.6%,18.0%,0.42,.232,.325,.384,148
Ronald Acuna,18401,14.1%,21.1%,0.67,.328,.525,.545,257
Willy Adames,15986,11.9%,25.7%,0.46,.160,.289,.314,102
Jo Adell,20220,5.7%,23.4%,0.24,.242,.267,.356,129
Ozzie Albies,16556,10.9%,16.7%,0.65,.118,.237,.292,83
Nick Allen,22277,6.7%,23.5%,0.29,.030,.323,.266,66
Pete Alonso,19251,10.5%,20.1%,0.52,.296,.340,.428,181
Jose Altuve,5417,6.7%,15.7%,0.43,.140,.295,.317,105
Jonathan Aranda,21837,9.8%,23.3%,0.42,.204,.397,.403,167
Nolan Arenado,9777,7.1%,11.7%,0.61,.156,.217,.286,82
Randy Arozarena,19290,13.6%,29.1%,0.47,.155,.283,.328,117
Luis Arraez,18568,5.7%,2.1%,2.75,.122,.292,.325,111
Javier Baez,12979,3.2%,22.1%,0.15,.171,.283,.308,98
Brett Baty,26123,5.5%,29.5%,0.19,.235,.256,.308,99
Jordan Beck,31431,7.9%,24.7%,0.32,.186,.327,.337,102
Cody Bellinger,15998,10.4%,18.2%,0.57,.178,.240,.311,99
Andrew Benintendi,17901,10.2%,16.3%,0.63,.147,.272,.317,103
Will Benson,21853,7.7%,24.2%,0.32,.272,.273,.361,126
Mookie Betts,13611,11.2%,9.2%,1.21,.142,.272,.338,118
Bo Bichette,19612,5.6%,16.5%,0.34,.163,.312,.333,116
Xander Bogaerts,12161,10.9%,19.7%,0.55,.095,.269,.286,85
Alec Bohm,21618,4.0%,14.0%,0.29,.102,.306,.307,94
Jonah Bride,24703,5.4%,33.9%,0.16,.019,.212,.168,-1
Jake Burger,22275,2.8%,27.1%,0.10,.176,.261,.280,77
Alec Burleson,27615,6.2%,13.5%,0.46,.145,.333,.348,125
Michael Busch,26319,11.0%,22.9%,0.48,.273,.331,.401,162
Jac Caglianone,35041,3.7%,22.2%,0.17,.038,.300,.237,43
Junior Caminero,28163,6.1%,19.2%,0.32,.270,.257,.352,131
Kristian Campbell,33644,9.3%,29.1%,0.32,.134,.311,.302,86
Dominic Canzone,26438,11.1%,22.2%,0.50,.250,.273,.362,140
Vinny Capra,25040,4.8%,23.8%,0.20,.053,.103,.117,-34
Victor Caratini,14968,7.0%,16.1%,0.43,.094,.279,.294,88
Corbin Carroll,25878,9.5%,24.9%,0.38,.378,.282,.416,168
Nick Castellanos,11737,5.2%,20.1%,0.26,.144,.309,.311,97
Willi Castro,17338,10.8%,25.2%,0.43,.142,.346,.346,124
Jackson Chourio,28806,3.5%,20.4%,0.17,.173,.241,.277,74
Jonatan Clase,26599,8.2%,31.1%,0.26,.109,.343,.289,85
Michael Conforto,16376,14.7%,24.7%,0.60,.120,.194,.270,71
Willson Contreras,11609,6.5%,23.9%,0.27,.156,.304,.327,110
William Contreras,20503,11.8%,19.7%,0.60,.146,.301,.332,111
Carlos Correa,14162,5.5%,19.9%,0.28,.076,.291,.262,65
JP Crawford,15491,14.6%,19.1%,0.76,.101,.414,.385,157
Pete Crow-Armstrong,27769,5.2%,21.7%,0.24,.305,.338,.406,165
Oneil Cruz,21711,15.4%,30.8%,0.50,.273,.330,.389,149
Henry Davis,29617,6.8%,20.3%,0.33,.138,.250,.284,76
Elly De La Cruz,26668,12.0%,25.5%,0.47,.261,.362,.405,156
Rafael Devers,17350,19.7%,23.0%,0.86,.244,.297,.389,148
Yandy Diaz,16578,4.9%,16.3%,0.30,.157,.312,.328,115
Yainer Diaz,23003,3.7%,18.7%,0.20,.143,.266,.285,82
Dillon Dingler,27464,3.2%,26.8%,0.12,.141,.343,.314,102
Brendan Donovan,24679,9.2%,8.7%,1.06,.123,.372,.387,151
Brenton Doyle,25479,4.9%,27.7%,0.18,.110,.200,.209,15
Mauricio Dubon,16530,4.5%,7.3%,0.63,.078,.232,.248,56
Jarren Duran,24617,7.8%,21.1%,0.37,.185,.342,.355,124
Tommy Edman,19470,5.0%,16.4%,0.30,.165,.279,.313,100
Xavier Edwards,22266,11.0%,13.4%,0.83,.040,.362,.334,111
Christian Encarnacion-Strand,30011,2.8%,21.1%,0.13,.277,.277,.365,128
Thairo Estrada,16426,0.0%,14.3%,0.00,.104,.333,.293,72
Freddy Fermin,21840,5.0%,13.8%,0.36,.081,.306,.299,86
Nick Fortes,21538,3.8%,17.3%,0.22,.163,.263,.297,85
Ty France,17982,5.2%,15.0%,0.34,.099,.314,.326,110
Sal Frelick,29622,9.2%,12.5%,0.74,.127,.319,.343,119
TJ Friedl,19522,12.7%,16.0%,0.79,.166,.357,.389,145
Adolis Garcia,19287,5.9%,22.8%,0.26,.187,.261,.302,93
Luis Garcia,20391,5.1%,13.8%,0.37,.158,.301,.328,109
Maikel Garcia,22715,9.3%,11.5%,0.81,.163,.341,.375,140
Paul Goldschmidt,9218,5.4%,19.7%,0.28,.095,.327,.300,91
Nick Gonzales,27490,9.4%,21.9%,0.43,.179,.381,.375,139
Romy Gonzalez,21562,0.0%,25.0%,0.00,.130,.371,.303,88
Hunter Goodman,29715,5.0%,25.6%,0.20,.215,.383,.374,128
