Team,Date,Home/Away
BAL,Wed 5/28,Home
BAL,Thu 5/29,OFF
BAL,Fri 5/30,Home
BAL,Sat 5/31,Home
BAL,Sun 6/1,Home
BAL,Mon 6/2,OFF
BAL,Tue 6/3,Away at SEA
BAL,Wed 6/4,Away at SEA
BAL,Thu 6/5,Away at SEA
BAL,Fri 6/6,Away at ATH
BAL,Sat 6/7,Away at ATH
BAL,Sun 6/8,Away at ATH
BAL,Mon 6/9,OFF
BAL,Tue 6/10,Home
BAL,Wed 6/11,Home
BAL,Thu 6/12,Home
BAL,Fri 6/13,Home
BAL,Sat 6/14,Home
BAL,Sun 6/15,Home
BAL,Mon 6/16,Away at TBR
BAL,Tue 6/17,Away at TBR
BAL,Wed 6/18,Away at TBR
BAL,Thu 6/19,Away at TBR
BAL,Fri 6/20,Away at NYY
BAL,Sat 6/21,Away at NYY
BAL,Sun 6/22,Away at NYY
BAL,Mon 6/23,Home
BAL,Tue 6/24,Home
BAL,Wed 6/25,Home
BAL,Thu 6/26,OFF
BAL,Fri 6/27,Home
BAL,Sat 6/28,Home
BAL,Sun 6/29,Home
BAL,Mon 6/30,Away at TEX
BAL,Tue 7/1,Away at TEX
BAL,Wed 7/2,Away at TEX
BAL,Thu 7/3,OFF
BAL,Fri 7/4,Away at ATL
BAL,Sat 7/5,Away at ATL
BAL,Sun 7/6,Away at ATL
BAL,Mon 7/7,OFF
BAL,Tue 7/8,Home
BAL,Wed 7/9,Home
BAL,Thu 7/10,Home
BAL,Fri 7/11,Home
BAL,Sat 7/12,Home
BAL,Sun 7/13,Home
BAL,Mon 7/14,OFF
BAL,Tue 7/15,OFF
BAL,Wed 7/16,OFF
BAL,Thu 7/17,OFF
BAL,Fri 7/18,Away at TBR
BAL,Sat 7/19,Away at TBR
BAL,Sun 7/20,Away at TBR
BAL,Mon 7/21,Away at CLE
BAL,Tue 7/22,Away at CLE
BAL,Wed 7/23,Away at CLE
BAL,Thu 7/24,Away at CLE
BAL,Fri 7/25,Home
BAL,Sat 7/26,Home
BAL,Sun 7/27,Home
BAL,Mon 7/28,Home
BAL,Tue 7/29,Home
BAL,Wed 7/30,Home
BAL,Thu 7/31,OFF
BAL,Fri 8/1,Away at CHC
BAL,Sat 8/2,Away at CHC
BAL,Sun 8/3,Away at CHC
BAL,Mon 8/4,Away at PHI
BAL,Tue 8/5,Away at PHI
BAL,Wed 8/6,Away at PHI
BAL,Thu 8/7,OFF
BAL,Fri 8/8,Home
BAL,Sat 8/9,Home
BAL,Sun 8/10,Home
BAL,Mon 8/11,OFF
BAL,Tue 8/12,Home
BAL,Wed 8/13,Home
BAL,Thu 8/14,Home
BAL,Fri 8/15,Away at HOU
BAL,Sat 8/16,Away at HOU
BAL,Sun 8/17,Away at HOU
BAL,Mon 8/18,Away at BOS
BAL,Tue 8/19,Away at BOS
BAL,Wed 8/20,OFF
BAL,Thu 8/21,Home
