Player,Heart_Swing,Heart_Take,Heart_Run,Shadow_Swing,Shadow_Take,Shadow_Run,Chase_Swing,Chase_Take,Chase_Run,Waste_Swing,Waste_Take,Waste_Run
Andrew McCutchen,215,46,-3,193,228,-7,44,167,6,2,90,5
Justin Turner,103,33,-8,105,102,0,23,77,1,0,42,2
Paul Goldschmidt,224,96,1,211,192,-3,61,172,9,2,76,4
Jose Altuve,146,67,-3,235,192,-8,73,149,6,13,74,3
DJ LeMahieu,59,25,2,51,68,-1,14,44,0,0,18,1
Salvador Perez,181,58,-4,278,104,-8,90,132,0,15,97,3
Wilmer Flores,190,87,-2,255,234,-7,64,177,6,4,98,5
Kyle Higashioka,86,31,-6,77,93,-3,20,73,2,0,35,3
Nolan Arenado,160,73,-12,222,177,-1,68,157,7,5,86,4
Christian Walker,231,53,-2,266,206,-12,47,179,5,4,86,5
Mike Yastrzemski,178,93,-8,184,198,-4,35,174,8,0,66,4
Willson Contreras,177,77,-3,270,198,-6,55,170,6,12,80,5
Aaron Judge,225,65,30,232,230,-1,50,212,8,1,96,7
Javier Baez,115,53,-5,179,122,2,58,111,2,20,51,1
Austin Slater,44,11,1,44,37,0,5,28,0,0,15,1
Victor Caratini,131,43,-6,115,101,-1,15,106,6,0,37,3
Orlando Arcia,52,20,-4,58,33,-3,7,31,2,0,15,1
Carson Kelly,142,50,1,152,145,-4,10,127,7,0,69,4
Corey Seager,135,19,3,148,109,-11,21,101,3,2,43,2
Dansby Swanson,260,69,-5,250,225,-9,47,210,6,1,93,5
Byron Buxton,174,52,7,199,148,-5,50,145,4,5,86,4
Adam Frazier,176,66,-8,211,158,-7,36,142,7,1,58,4
Jake Bauers,85,33,0,84,102,-5,10,86,4,1,34,2
Cody Bellinger,190,86,-6,235,217,-2,64,179,7,4,82,5
Ryan Mcmahon,221,80,-9,237,269,-3,38,207,9,7,76,3
Willy Adames,224,81,-4,246,256,-10,64,198,5,2,94,6
Thairo Estrada,37,9,-2,41,27,-2,9,17,0,0,12,1
Andrew Benintendi,121,28,-2,168,118,-7,27,125,7,3,48,3
