Player,FG_ID,EVEV - Exit Velocity (mph) - Speed of the baseball as it comes off the bat,Barrel%Barrel% - Percentage of batted balls that are classified as barrels,HardHit%HardHit% -  Percentage of batted balls with exit velocity of 95 mph or higher,xBAxBA - Expected batting average,xwOBAxwOBA - Expected weighted on-base average
CJ Abrams,25768,89.6,8.3%,41.7%,.285,.352
Ronald Acuna,18401,95.0,20.8%,60.4%,.291,.431
Willy Adames,15986,88.5,11.2%,42.6%,.212,.304
Jo Adell,20220,90.5,13.7%,46.8%,.274,.379
Ozzie Albies,16556,86.5,3.2%,27.1%,.232,.291
Nick Allen,22277,85.6,0.0%,24.8%,.223,.258
Pete Alonso,19251,94.8,21.1%,54.9%,.311,.439
Jose Altuve,5417,85.2,5.0%,30.5%,.248,.295
Jonathan Aranda,21837,92.3,10.3%,52.3%,.304,.399
Nolan Arenado,9777,87.5,4.5%,34.4%,.245,.297
Randy Arozarena,19290,91.3,10.8%,49.4%,.236,.346
Luis Arraez,18568,85.3,0.4%,15.2%,.270,.281
Javier Baez,12979,88.0,6.4%,41.0%,.247,.294
Brett Baty,26123,90.6,14.0%,46.5%,.255,.336
Jordan Beck,31431,87.9,13.2%,39.5%,.245,.330
Cody Bellinger,15998,89.7,9.5%,41.7%,.260,.342
Andrew Benintendi,17901,89.5,14.8%,40.6%,.249,.356
Will Benson,21853,92.8,16.7%,56.1%,.299,.408
Mookie Betts,13611,88.8,6.3%,36.3%,.284,.357
Bo Bichette,19612,91.5,9.4%,50.6%,.307,.367
Xander Bogaerts,12161,89.9,4.7%,38.3%,.264,.322
Alec Bohm,21618,90.7,6.8%,48.6%,.280,.325
Jonah Bride,24703,87.4,3.1%,27.7%,.180,.228
Jake Burger,22275,91.4,14.3%,51.6%,.252,.330
Alec Burleson,27615,91.0,5.4%,42.2%,.273,.323
Michael Busch,26319,91.0,15.3%,46.5%,.261,.384
Jac Caglianone,35041,91.3,11.8%,55.9%,.331,.373
Junior Caminero,28163,91.8,11.4%,50.0%,.268,.345
Kristian Campbell,33644,89.0,5.2%,42.5%,.227,.302
Dominic Canzone,26438,93.8,7.7%,46.2%,.266,.346
Vinny Capra,25040,84.6,3.2%,29.0%,.177,.211
Victor Caratini,14968,88.9,6.1%,40.0%,.250,.321
Corbin Carroll,25878,92.7,15.3%,50.0%,.271,.389
Nick Castellanos,11737,89.0,8.5%,39.6%,.265,.325
Willi Castro,17338,88.0,8.1%,41.1%,.265,.331
Jackson Chourio,28806,87.2,7.5%,37.9%,.256,.301
Jonatan Clase,26599,88.1,7.7%,42.3%,.237,.298
Michael Conforto,16376,90.6,9.4%,44.9%,.236,.344
Willson Contreras,11609,90.3,13.5%,46.5%,.282,.380
William Contreras,20503,89.0,5.4%,40.2%,.231,.315
Carlos Correa,14162,89.5,6.5%,42.4%,.272,.317
JP Crawford,15491,86.6,6.4%,34.6%,.293,.371
Pete Crow-Armstrong,27769,90.0,13.9%,42.8%,.264,.346
Oneil Cruz,21711,96.4,23.0%,59.0%,.242,.374
Henry Davis,29617,86.0,11.1%,30.6%,.256,.338
Elly De La Cruz,26668,92.1,15.3%,47.9%,.266,.365
Rafael Devers,17350,93.9,15.9%,55.4%,.273,.397
Yandy Diaz,16578,93.4,9.3%,54.4%,.296,.359
Yainer Diaz,23003,91.3,8.9%,43.7%,.280,.345
Dillon Dingler,27464,89.3,8.8%,44.1%,.273,.330
Brendan Donovan,24679,89.3,7.5%,41.3%,.304,.368
Brenton Doyle,25479,90.7,12.7%,45.2%,.248,.315
Mauricio Dubon,16530,84.2,0.9%,27.0%,.250,.265
Jarren Duran,24617,92.1,8.3%,46.5%,.257,.320
Tommy Edman,19470,88.6,5.7%,41.4%,.284,.340
Xavier Edwards,22266,86.6,0.0%,28.1%,.256,.292
Christian Encarnacion-Strand,30011,89.3,9.1%,47.0%,.229,.299
Thairo Estrada,16426,88.2,2.1%,29.2%,.231,.240
Freddy Fermin,21840,88.5,3.2%,30.5%,.232,.268
Nick Fortes,21538,88.2,5.9%,42.6%,.232,.292
Ty France,17982,89.7,9.1%,43.5%,.283,.359
Sal Frelick,29622,85.4,2.8%,27.6%,.273,.310
TJ Friedl,19522,86.8,3.3%,29.7%,.251,.314
Adolis Garcia,19287,93.3,13.7%,49.7%,.245,.324
Luis Garcia,20391,90.1,9.9%,45.8%,.309,.371
Maikel Garcia,22715,91.2,6.0%,44.7%,.289,.345
Paul Goldschmidt,9218,89.8,7.7%,40.7%,.286,.352
Nick Gonzales,27490,89.1,9.4%,37.5%,.287,.338
Romy Gonzalez,21562,94.4,13.8%,58.5%,.283,.366
Hunter Goodman,29715,92.1,11.8%,51.3%,.264,.333
Lourdes Gurriel,19238,88.6,7.9%,39.4%,.271,.326
Riley Greene,25976,90.6,18.1%,47.5%,.256,.349
Trent Grisham,18564,90.4,13.8%,41.4%,.259,.374
Vladimir Guerrero,19611,93.5,14.6%,53.9%,.324,.410
Ian Happ,17919,88.7,8.4%,38.2%,.262,.344
Michael Harris,25931,89.6,6.1%,40.7%,.269,.306
Ke'Bryan Hayes,18577,90.1,5.7%,44.3%,.243,.288
Jonah Heim,16930,88.7,6.0%,32.8%,.226,.275
Gunnar Henderson,26289,92.9,8.0%,52.6%,.271,.323
Teoscar Hernandez,13066,88.8,12.6%,41.3%,.290,.366
Ivan Herrera,20599,89.7,11.0%,42.2%,.278,.364
Sam Hilliard,17954,95.2,21.1%,68.4%,.246,.388
Keston Hiura,20003,81.1,0.0%,18.2%,.162,.241
Nico Hoerner,21479,87.1,1.7%,27.3%,.285,.307
Jackson Holliday,31781,89.8,9.5%,44.1%,.264,.332
Spencer Horwitz,26477,87.7,10.0%,45.0%,.238,.303
Rhys Hoskins,16472,90.5,11.4%,44.3%,.237,.328
Jose Iglesias,10231,82.7,1.0%,22.9%,.235,.266
Jonathan India,21523,88.8,5.9%,37.6%,.278,.342
Danny Jansen,16535,86.6,6.9%,35.6%,.200,.302
Ryan Jeffers,24618,90.0,8.3%,42.8%,.265,.354
Jahmai Jones,18872,92.0,11.1%,77.8%,.344,.388
Aaron Judge,15640,95.4,24.5%,56.0%,.322,.466
Josh Jung,26299,87.7,8.8%,41.2%,.261,.328
Isiah Kiner-Falefa,16512,85.6,1.8%,26.9%,.279,.302
Alejandro Kirk,22581,92.5,8.5%,55.9%,.308,.364
Steven Kwan,24610,86.5,2.1%,22.7%,.284,.328
Wyatt Langford,33333,91.6,13.3%,49.4%,.247,.353
Ramon Laureano,17128,87.4,13.8%,40.2%,.250,.342
Jung Hoo Lee,33824,87.8,4.3%,30.2%,.287,.335
DJ LeMahieu,9874,91.8,6.8%,49.2%,.271,.332
Francisco Lindor,12916,90.4,9.3%,43.6%,.268,.352
Otto Lopez,19608,87.6,7.9%,32.9%,.285,.357
Brandon Lowe,18882,91.8,12.6%,45.9%,.273,.353
Josh Lowe,19953,90.2,5.2%,48.1%,.285,.337
Manny Machado,11493,92.9,13.0%,52.3%,.319,.402
Jake Mangum,26202,87.8,2.9%,39.8%,.261,.300
Kyle Manzardo,29794,89.8,11.6%,41.8%,.209,.313
Ketel Marte,13613,91.2,14.6%,46.9%,.325,.440
Miles Mastrobuoni,20017,89.1,2.2%,41.8%,.292,.340
Andrew McCutchen,9847,89.3,10.6%,44.1%,.274,.353
Matt McLain,29695,88.9,9.0%,41.7%,.214,.305
Parker Meadows,23800,92.3,10.7%,39.3%,.262,.364
Chase Meidroth,31580,88.3,0.7%,38.1%,.271,.318
Jake Meyers,20308,88.4,6.2%,37.9%,.283,.340
Kameron Misner,26374,87.4,5.7%,30.3%,.199,.256
Sean Murphy,19352,90.4,12.2%,44.4%,.225,.335
Bo Naylor,21865,90.2,12.3%,35.1%,.199,.312
Josh Naylor,18839,90.2,6.2%,43.6%,.290,.346
Zach Neto,31347,92.0,14.4%,47.3%,.282,.366
Brandon Nimmo,12927,92.1,11.0%,50.5%,.266,.343
Lars Nootbaar,21454,91.7,9.0%,51.0%,.241,.329
Shohei Ohtani,19755,95.5,21.1%,62.3%,.302,.445
Matt Olson,14344,94.1,18.5%,55.6%,.270,.398
Marcell Ozuna,10324,91.6,12.4%,50.6%,.266,.386
Andy Pages,24816,88.7,7.8%,37.4%,.283,.341
Vinnie Pasquantino,27676,91.0,7.6%,44.4%,.266,.329
Jeremy Pena,21636,88.2,7.0%,41.0%,.284,.337
Geraldo Perdomo,22799,88.3,4.9%,33.0%,.251,.328
Salvador Perez,7304,90.1,12.7%,45.4%,.278,.342
Wenceel Perez,22857,90.9,12.2%,36.6%,.323,.376
Ceddanne Rafaela,24262,90.1,11.5%,43.7%,.263,.332
Cal Raleigh,21534,92.0,21.0%,48.3%,.252,.398
Agustin Ramirez,26546,91.2,9.5%,46.6%,.275,.351
Jose Ramirez,13510,89.0,8.5%,40.6%,.311,.368
Heliot Ramos,22515,91.0,12.1%,44.7%,.259,.348
Luis Rengifo,19858,86.9,3.9%,30.4%,.273,.301
Bryan Reynolds,19326,91.2,10.8%,46.4%,.266,.357
Ben Rice,29576,93.3,15.8%,55.1%,.293,.403
Austin Riley,18360,92.5,14.8%,51.0%,.265,.342
Alan Roden,31564,84.4,1.5%,27.9%,.180,.229
Julio Rodriguez,23697,90.4,7.7%,42.5%,.272,.343
Adley Rutschman,26288,90.0,9.1%,40.3%,.267,.360
Carlos Santana,2396,88.9,6.5%,44.0%,.232,.314
Nolan Schanuel,33189,88.3,5.4%,29.4%,.284,.350
Kyle Schwarber,16478,93.7,16.1%,58.0%,.268,.415
Victor Scott,31349,86.6,3.4%,27.2%,.228,.284
Corey Seager,13624,92.8,14.8%,51.3%,.293,.387
Marcus Semien,12533,88.5,7.6%,37.6%,.257,.334
Matt Shaw,33322,82.6,4.5%,23.6%,.249,.304
