Player,Pitch,RV/100,wOBA,xwOBA,Hard Hit %
Aaron Judge,Sinker,8.9,0.651,0.6,62.2
Aaron Judge,Changeup,5.0,0.471,0.411,38.1
Aaron Judge,4-Seam Fastball,4.4,0.583,0.531,67.3
Aaron Judge,Sweeper,3.6,0.519,0.434,27.3
Aaron Judge,Slider,1.6,0.424,0.375,53.1
Adam Frazier,Sinker,-0.2,0.337,0.295,35.0
Adam Frazier,4-Seam Fastball,-0.3,0.363,0.316,22.9
Adam Frazier,Cutter,-1.1,0.3,0.206,16.7
Adam Frazier,Slider,-1.6,0.255,0.283,18.5
Adley Rutschman,Sinker,2.1,0.383,0.365,47.8
Adley Rutschman,Slider,0.3,0.341,0.349,26.3
Adley Rutschman,4-Seam Fastball,-0.4,0.314,0.395,48.4
Adley Rutschman,Curveball,-0.4,0.227,0.323,54.5
Adley Rutschman,Changeup,-0.5,0.252,0.338,47.1
Alec Burleson,4-Seam Fastball,0.2,0.339,0.35,46.5
Alex Call,4-Seam Fastball,0.1,0.397,0.372,27.8
Alex Call,Sinker,-0.5,0.336,0.351,28.6
Andrew Benintendi,Changeup,0.7,0.312,0.344,28.0
Andrew Benintendi,4-Seam Fastball,-0.4,0.333,0.403,55.6
Andrew McCutchen,Sinker,0.9,0.395,0.467,64.9
Andrew McCutchen,Slider,-0.6,0.289,0.34,33.3
Andrew McCutchen,4-Seam Fastball,-1.3,0.291,0.353,50.0
Anthony Volpe,4-Seam Fastball,2.3,0.43,0.4,61.8
Anthony Volpe,Sinker,0.5,0.431,0.424,57.7
Anthony Volpe,Slider,-2.3,0.224,0.237,36.4
Austin Wells,4-Seam Fastball,3.1,0.42,0.406,68.9
Austin Wells,Changeup,1.1,0.355,0.273,47.6
Austin Wells,Sinker,-0.4,0.309,0.298,59.1
Austin Wells,Slider,-1.2,0.245,0.216,31.3
Ben Rice,Sinker,6.5,0.497,0.542,64.0
Ben Rice,Changeup,0.9,0.273,0.384,50.0
Ben Rice,4-Seam Fastball,-0.4,0.336,0.461,66.7
Ben Rice,Slider,-1.3,0.248,0.263,50.0
Bobby Witt,Changeup,2.4,0.358,0.372,32.0
Bobby Witt,4-Seam Fastball,0.5,0.358,0.4,60.0
Bobby Witt,Slider,0.4,0.288,0.332,37.8
Bobby Witt,Cutter,0.0,0.344,0.381,41.7
Bobby Witt,Sinker,-0.3,0.368,0.415,66.7
Brendan Donovan,4-Seam Fastball,1.8,0.455,0.405,39.1
Brendan Donovan,Slider,0.1,0.31,0.304,48.5
Brendan Donovan,Curveball,-1.0,0.263,0.342,29.4
Brendan Donovan,Sinker,-2.0,0.232,0.303,35.1
Brenton Doyle,Sinker,0.2,0.353,0.37,46.4
Brenton Doyle,4-Seam Fastball,-1.8,0.25,0.28,53.3
Brenton Doyle,Slider,-1.8,0.231,0.232,48.3
Brice Turang,Changeup,0.9,0.271,0.333,30.8
Brice Turang,Curveball,0.7,0.225,0.131,25.0
Brice Turang,Sinker,0.6,0.391,0.368,37.1
