Player,MLB_ID,fastball_velo,fastball_spin,hard_hit_pct,barrel_pct,gb_pct,fb_pct,ld_pct
Antonio Senzatela,622608,94.74,2224.0,0.444,0.0,0.407,0.222,0.321
Hayden Birdsong,806185,95.76,2436.0,0.45,0.0,0.4,0.267,0.283
Tarik Skubal,669373,97.99,2352.0,0.338,0.0,0.375,0.338,0.225
Seth Lugo,607625,91.9,2328.0,0.583,0.0,0.333,0.375,0.25
Will Warren,701542,93.72,2584.0,0.489,0.0,0.319,0.277,0.277
Sonny Gray,543243,91.82,2473.0,0.42,0.0,0.432,0.247,0.259
Jameson Taillon,592791,92.18,2339.0,0.326,0.0,0.337,0.337,0.202
Andrew Heaney,571760,90.19,2384.0,0.455,0.0,0.312,0.286,0.351
Framber Valdez,664285,92.32,2274.0,0.506,0.0,0.682,0.165,0.141
Davis Martin,663436,93.88,2404.0,0.474,0.0,0.484,0.253,0.189
