Player,FG_ID,K%K% - Strikeout Percentage (SO/TBF),BB%BB% - Walk Percentage (BB/TBF),K-BB%K-BB% - The difference between strikeout percentage and walk percentage,AVGAVG - Batting Average Against,WHIPWHIP - Walks + Hits divided by Innings Pitched,BABIPBABIP - Batting Average on Balls in Play,LOB%LOB% - Left on Base Percentage,ERA-ERA- - ERA adjusted for park and league where 100 is average and lower is better,FIP-FIP- - FIP adjusted for park and league where 100 is average and lower is better,FIPFIP - Fielder Independent Pitching on an ERA scale
Max Fried,13743,24.1%,5.6%,18.5%,0.195,0.94,0.247,80.8%,44.0,66.0,2.79
Cade Povich,30055,23.6%,8.5%,15.0%,0.277,1.47,0.338,68.6%,131.0,106.0,4.26
Andrew Abbott,29911,27.6%,8.9%,18.7%,0.196,1.06,0.248,88.7%,51.0,82.0,3.44
Slade Cecconi,27500,22.5%,7.9%,14.6%,0.272,1.43,0.291,88.0%,123.0,153.0,6.12
Sandy Alcantara,18684,16.9%,11.5%,5.4%,0.262,1.58,0.294,50.7%,192.0,127.0,5.04
Mitch Keller,17594,18.8%,6.2%,12.7%,0.257,1.27,0.308,67.0%,100.0,83.0,3.27
Colin Rea,12317,17.8%,7.0%,10.7%,0.272,1.35,0.306,81.1%,92.0,111.0,4.32
Mick Abel,27756,26.8%,0.0%,26.8%,0.195,0.71,0.267,87.5%,20.0,29.0,1.13
Lucas Giolito,15474,18.0%,7.3%,10.7%,0.317,1.63,0.358,66.5%,152.0,117.0,4.76
Ryan Pepiot,26221,21.1%,7.3%,13.9%,0.229,1.13,0.255,84.0%,83.0,110.0,4.35
Mackenzie Gore,22201,35.4%,7.2%,28.2%,0.229,1.14,0.341,83.5%,72.0,65.0,2.58
Luis Garcia,6984,19.8%,12.9%,6.9%,0.287,1.69,0.364,70.4%,114.0,88.0,3.53
Griffin Canning,19867,22.7%,10.4%,12.4%,0.231,1.32,0.284,81.9%,75.0,96.0,3.78
Tyler Mahle,16358,18.8%,9.2%,9.6%,0.195,1.07,0.235,83.6%,50.0,78.0,3.22
Noah Cameron,30184,16.0%,8.4%,7.6%,0.138,0.79,0.148,99.1%,20.0,89.0,3.64
Grant Holmes,16944,24.3%,10.4%,13.9%,0.209,1.2,0.241,78.4%,98.0,117.0,4.55
Quinn Priester,25977,15.4%,11.1%,4.3%,0.226,1.31,0.247,72.8%,96.0,115.0,4.58
Miles Mikolas,9803,13.8%,6.5%,7.3%,0.253,1.27,0.284,69.9%,100.0,95.0,3.67
Chris Bassitt,12304,23.7%,5.4%,18.3%,0.269,1.32,0.333,80.1%,90.0,84.0,3.44
Lance Mccullers,14120,28.9%,10.5%,18.4%,0.224,1.4,0.306,71.0%,113.0,98.0,3.93
Shane Smith,31687,22.9%,9.5%,13.4%,0.2,1.14,0.253,74.6%,61.0,83.0,3.52
Kyle Harrison,27758,24.1%,8.9%,15.2%,0.236,1.29,0.294,70.8%,110.0,94.0,3.55
Jose Soriano,22100,16.4%,11.7%,4.7%,0.281,1.59,0.336,71.8%,101.0,91.0,3.79
Dylan Cease,18525,29.1%,8.2%,20.9%,0.247,1.31,0.333,66.4%,122.0,82.0,3.2
Brandon Pfaadt,27782,17.8%,5.9%,11.9%,0.274,1.36,0.3,66.5%,135.0,129.0,4.95
Logan Evans,33699,17.4%,6.9%,10.4%,0.254,1.26,0.272,78.7%,75.0,121.0,4.73
