Player,Heart_Count,Heart_Pct,Shadow_Count,Shadow_Pct,Chase_Count,Chase_Pct,Waste_Count,Waste_Pct
Kyle Hendricks,269,0.257,482,0.461,247,0.236,48,0.046
Robbie Ray,341,0.279,556,0.455,239,0.196,85,0.07
Eduardo Rodriguez,200,0.236,399,0.47,203,0.239,47,0.055
Kyle Freeland,291,0.273,471,0.442,229,0.215,74,0.069
Cal Quantrill,242,0.256,405,0.429,215,0.228,83,0.088
Zach Eflin,181,0.265,308,0.45,150,0.219,45,0.066
Walker Buehler,212,0.253,348,0.415,196,0.234,82,0.098
Zack Littell,337,0.298,524,0.463,208,0.184,62,0.055
David Peterson,291,0.257,524,0.463,230,0.203,86,0.076
Clarke Schmidt,249,0.313,313,0.394,166,0.209,67,0.084
Kris Bubic,328,0.297,487,0.442,221,0.2,67,0.061
Casey Mize,251,0.296,367,0.432,174,0.205,57,0.067
Bailey Falter,307,0.293,474,0.453,210,0.201,55,0.053
Jake Irvin,389,0.327,537,0.452,194,0.163,68,0.057
Nick Lodolo,331,0.28,504,0.426,251,0.212,98,0.083
Jesus Luzardo,331,0.272,525,0.432,265,0.218,94,0.077
Matthew Liberatore,292,0.291,422,0.42,217,0.216,74,0.074
Logan Allen,239,0.24,424,0.426,233,0.234,99,0.099
Ben Brown,326,0.305,434,0.406,221,0.207,88,0.082
Sean Burke,299,0.269,462,0.415,277,0.249,75,0.067
Spencer Schwellenbach,380,0.319,507,0.425,219,0.184,86,0.072
Randy Vasquez,298,0.283,442,0.42,245,0.233,67,0.064
Jack Leiter,238,0.279,358,0.42,173,0.203,84,0.098
Ryan Gusto,245,0.31,339,0.429,157,0.198,50,0.063
Bryan Woo,348,0.322,464,0.429,209,0.193,61,0.056
Chad Patrick,291,0.253,524,0.455,255,0.222,81,0.07
David Festa,92,0.303,129,0.424,58,0.191,25,0.082
