Player,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9
Bailey Falter,,40,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Soroka,,43,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick Corbin,,42,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Warren,,39,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Walker Buehler,,39,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Logan Allen,30.0,2,6,6.2,55,6.69,3.28,2.04,1.7,11.19
Colton Gordon,,36,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tarik Skubal,,43,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Brown,,40,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nick Lodolo,,40,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eduardo Rodriguez,30.0,4,1,4.79,28,3.27,3.97,0.82,1.17,9.47
Davis Martin,,43,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seth Lugo,,43,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Randy Vásquez,,39,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad Patrick,,40,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bailey Ober,,43,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paxton Schultz,,39,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sonny Gray,,40,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Senzatela,,39,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kodai Senga,,42,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bryce Miller,,36,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Hendricks,,40,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dean Kremer,,39,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spencer Schwellenbach,,42,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hayden Birdsong,,39,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A
