Player,G,W,L,ERA,SO,K/9,BB/9,K/BB,HR/9,H/9
Max Fried,13,8,1,1.78,77,8.56,2.0,4.28,0.56,6.44
Cade Povich,11,1,4,5.11,58,9.27,3.36,2.76,1.44,9.91
Andrew Abbott,10,5,1,2.18,59,9.89,3.19,3.11,1.01,6.37
Slade Cecconi,4,1,2,4.87,20,8.85,3.1,2.86,2.66,9.74
Sandy Alcantara,12,2,7,7.89,44,6.95,4.74,1.47,1.26,9.47
Mitch Keller,13,1,8,4.13,61,7.19,2.36,3.05,0.59,9.08
Colin Rea,13,4,2,3.59,43,6.71,2.65,2.53,1.25,9.52
Mick Abel,2,1,0,0.79,11,8.74,0.0,,0.0,6.35
Lucas Giolito,7,1,1,6.42,27,7.22,2.94,2.45,1.6,11.76
Ryan Pepiot,13,3,5,3.2,64,7.58,2.61,2.91,1.42,7.58
Mackenzie Gore,13,3,5,2.87,108,12.9,2.63,4.91,0.96,7.65
Griffin Canning,12,6,2,2.9,57,8.69,3.97,2.19,0.92,7.93
Simeon Woods Richardson,8,2,2,5.02,35,8.36,3.35,2.5,1.91,10.51
Tyler Mahle,13,5,3,2.02,53,6.69,3.28,2.04,0.38,6.31
Noah Cameron,5,2,1,0.85,19,5.4,2.84,1.9,0.57,4.26
Grant Holmes,13,3,4,3.99,68,9.04,3.86,2.34,1.46,6.92
Quinn Priester,11,3,2,3.88,36,5.82,4.2,1.38,0.97,7.6
Miles Mikolas,12,4,2,3.96,36,5.28,2.49,2.12,0.59,8.95
Chris Bassitt,13,6,3,3.56,75,9.2,2.09,4.41,1.1,9.82
Lance Mccullers,6,1,1,4.44,33,12.21,4.44,2.75,1.11,8.14
Shane Smith,12,2,3,2.45,60,8.66,3.61,2.4,0.58,6.64
Kyle Harrison,7,1,1,4.34,19,9.16,3.38,2.71,0.96,8.2
Carson Palmquist,4,0,4,8.5,14,7.0,5.0,1.4,2.0,11.5
Jose Soriano,13,4,5,4.11,52,6.47,4.6,1.41,0.37,9.71
Dylan Cease,13,1,5,4.72,85,11.14,3.15,3.54,1.05,8.65
Brandon Pfaadt,13,7,4,5.51,51,7.03,2.34,3.0,1.65,9.92
Logan Evans,6,3,1,2.83,25,6.43,2.57,2.5,1.54,8.74
