Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time
Max Fried,P,NYY,Pitcher Strikeouts,5.0,KC,base,Tue 3:30 PM
Javier Baez,IF,DET,Hits+Runs+RBIs,1.5,BAL,base,Tue 6:35 PM
Riley Greene,OF,DET,Hits+Runs+RBIs,1.5,BAL,base,Tue 6:35 PM
Spencer Torkelson,IF,DET,Hits+Runs+RBIs,1.5,BAL,base,Tue 6:35 PM
Adley Rutschman,C,BAL,Hitter Strikeouts,0.5,DET,base,Tue 6:35 PM
Jackson Holliday,IF,BAL,Runs,0.5,DET,base,Tue 6:35 PM
Cade Povich,P,BAL,Pitches Thrown,93.5,DET,base,Tue 6:35 PM
Cade Povich,P,BAL,Pitching Outs,15.5,DET,base,Tue 6:35 PM
Cade Povich,P,BAL,Pitcher Strikeouts,5.5,DET,base,Tue 6:35 PM
Cade Povich,P,BAL,Walks Allowed,1.5,DET,base,Tue 6:35 PM
Riley Greene,OF,DET,Hitter Fantasy Score,5.5,BAL,base,Tue 6:35 PM
Spencer Torkelson,IF,DET,Hitter Fantasy Score,5.5,BAL,base,Tue 6:35 PM
Adley Rutschman,C,BAL,Hitter Fantasy Score,6.5,DET,base,Tue 6:35 PM
Gunnar Henderson,IF,BAL,Hitter Fantasy Score,8.5,DET,base,Tue 6:35 PM
Jackson Holliday,IF,BAL,Hitter Fantasy Score,6.5,DET,base,Tue 6:35 PM
Gleyber Torres,IF,DET,Hitter Fantasy Score,6.5,BAL,base,Tue 6:35 PM
Jose Ramirez,IF,CLE,Total Bases,1.5,CIN,base,Tue 6:40 PM
Steven Kwan,OF,CLE,Hits+Runs+RBIs,1.5,CIN,base,Tue 6:40 PM
Nolan Jones,OF,CLE,Hits,0.5,CIN,base,Tue 6:40 PM
Nolan Jones,OF,CLE,Total Bases,0.5,CIN,base,Tue 6:40 PM
Tyler Stephenson,C,CIN,Hits+Runs+RBIs,1.5,CLE,base,Tue 6:40 PM
TJ Friedl,OF,CIN,Hits+Runs+RBIs,1.5,CLE,base,Tue 6:40 PM
Bo Naylor,C,CLE,Total Bases,0.5,CIN,base,Tue 6:40 PM
Bo Naylor,C,CLE,Hits,0.5,CIN,base,Tue 6:40 PM
Andrew Abbott,P,CIN,Pitcher Fantasy Score,27.5,CLE,base,Tue 6:40 PM
Andrew Abbott,P,CIN,Pitches Thrown,93.5,CLE,base,Tue 6:40 PM
Andrew Abbott,P,CIN,Pitcher Strikeouts,5.0,CLE,base,Tue 6:40 PM
Andrew Abbott,P,CIN,Pitching Outs,17.0,CLE,base,Tue 6:40 PM
Elly De La Cruz,IF,CIN,Hits+Runs+RBIs,1.5,CLE,base,Tue 6:40 PM
Johnathan Rodriguez,OF,CLE,Total Bases,0.5,CIN,base,Tue 6:40 PM
Johnathan Rodriguez,OF,CLE,Hits,0.5,CIN,base,Tue 6:40 PM
Lane Thomas,OF,CLE,Hits+Runs+RBIs,1.5,CIN,base,Tue 6:40 PM
Carlos Santana,IF,CLE,Hits+Runs+RBIs,1.5,CIN,base,Tue 6:40 PM
Gavin Lux,IF,CIN,Hits+Runs+RBIs,1.5,CLE,base,Tue 6:40 PM
Slade Cecconi,P,CLE,Pitcher Strikeouts,5.0,CIN,base,Tue 6:40 PM
Slade Cecconi,P,CLE,Pitcher Fantasy Score,24.5,CIN,base,Tue 6:40 PM
Slade Cecconi,P,CLE,Pitching Outs,15.5,CIN,base,Tue 6:40 PM
Ke'Bryan Hayes,IF,PIT,Hitter Strikeouts,0.5,MIA,base,Tue 6:40 PM
Ke'Bryan Hayes,IF,PIT,Hits+Runs+RBIs,1.5,MIA,base,Tue 6:40 PM
Bryan Reynolds,OF,PIT,Runs,0.5,MIA,base,Tue 6:40 PM
Sandy Alcantara,P,MIA,Earned Runs Allowed,2.5,PIT,base,Tue 6:40 PM
Sandy Alcantara,P,MIA,Pitching Outs,17.5,PIT,base,Tue 6:40 PM
Sandy Alcantara,P,MIA,Pitcher Strikeouts,4.5,PIT,base,Tue 6:40 PM
Mitch Keller,P,PIT,Pitches Thrown,93.5,MIA,base,Tue 6:40 PM
Mitch Keller,P,PIT,Earned Runs Allowed,2.5,MIA,base,Tue 6:40 PM
Mitch Keller,P,PIT,Pitcher Fantasy Score,30.5,MIA,base,Tue 6:40 PM
