Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Alex Call,27,48,16,2,8,57,0.333,0.382,0.5,0.882
James Wood,50,87,23,5,17,97,0.264,0.34,0.483,0.823
Jose Tena,9,10,5,0,3,12,0.5,0.583,0.8,1.383
Robert Hassell,8,13,3,0,2,13,0.231,0.231,0.231,0.462
Byron Buxton,20,31,10,2,5,36,0.323,0.389,0.613,1.002
Corey Seager,25,42,7,3,4,43,0.167,0.186,0.405,0.591
Kyle Higashioka,18,38,9,0,2,38,0.237,0.237,0.316,0.553
Mike Yastrzemski,32,51,9,1,5,54,0.176,0.222,0.275,0.497
Sam Hilliard,27,40,12,5,16,43,0.3,0.286,0.725,1.011
Heliot Ramos,29,64,18,2,8,74,0.281,0.365,0.484,0.849
Casey Schmitt,15,32,9,0,3,36,0.281,0.361,0.344,0.705
Jung Hoo Lee,36,67,21,3,11,71,0.313,0.352,0.582,0.934
Jordan Beck,24,54,15,3,6,57,0.278,0.316,0.519,0.834
Willy Adames,39,70,10,2,7,79,0.143,0.203,0.243,0.445
Orlando Arcia,9,10,3,0,0,11,0.3,0.364,0.4,0.764
Thairo Estrada,3,6,0,0,1,7,0.0,0.143,0.0,0.143
Dominic Smith,4,5,0,0,0,5,0.0,0.0,0.0,0.0
Wilmer Flores,28,59,14,3,11,64,0.237,0.297,0.407,0.704
Ryan Mcmahon,32,64,13,2,5,71,0.203,0.282,0.344,0.625
Brenton Doyle,24,47,17,1,5,56,0.362,0.464,0.532,0.996
Tyler Fitzgerald,24,42,12,1,3,51,0.286,0.4,0.429,0.829
Spencer Torkelson,45,65,17,7,18,81,0.262,0.383,0.646,1.029
Colton Cowser,8,11,1,0,0,12,0.091,0.167,0.091,0.258
Parker Meadows,3,4,1,0,0,4,0.25,0.25,0.25,0.5
Colt Keith,22,32,5,0,1,35,0.156,0.229,0.188,0.416
Coby Mayo,4,6,1,0,0,7,0.167,0.286,0.167,0.452
Gleyber Torres,35,52,17,3,11,61,0.327,0.426,0.615,1.042
Dylan Carlson,9,15,3,1,3,16,0.2,0.25,0.4,0.65
Javier Baez,31,57,20,1,7,59,0.351,0.373,0.456,0.829
Riley Greene,46,74,16,1,9,84,0.216,0.31,0.311,0.62
Adley Rutschman,39,66,17,1,4,76,0.258,0.355,0.364,0.719
Gunnar Henderson,47,79,13,1,4,83,0.165,0.205,0.228,0.433
Kerry Carpenter,25,35,7,2,3,36,0.2,0.194,0.4,0.594
Ryan O'Hearn,30,39,10,0,1,44,0.256,0.341,0.308,0.649
Dillon Dingler,20,42,13,2,10,42,0.31,0.31,0.571,0.881
Jackson Holliday,36,50,12,1,7,54,0.24,0.296,0.34,0.636
Bobby Witt,26,50,16,0,5,56,0.32,0.375,0.48,0.855
Aaron Judge,27,51,20,8,17,66,0.392,0.53,0.941,1.471
DJ LeMahieu,14,28,8,0,3,33,0.286,0.394,0.286,0.68
Vinnie Pasquantino,34,58,12,1,11,62,0.207,0.242,0.276,0.518
Kyle Isbel,18,22,4,0,1,25,0.182,0.182,0.182,0.364
Salvador Perez,32,55,14,0,3,57,0.255,0.281,0.309,0.59
Maikel Garcia,27,48,13,2,5,52,0.271,0.327,0.458,0.785
Anthony Volpe,42,71,22,2,16,82,0.31,0.378,0.493,0.871
Austin Wells,35,66,17,5,21,73,0.258,0.315,0.576,0.891
Ben Rice,29,50,9,4,10,56,0.18,0.236,0.46,0.696
Jonathan India,23,44,14,1,5,52,0.318,0.404,0.455,0.858
Cody Bellinger,34,61,21,2,14,70,0.344,0.386,0.574,0.959
John Rave,3,2,1,0,0,3,0.5,0.667,0.5,1.167
Nolan Arenado,32,66,20,2,10,73,0.303,0.356,0.439,0.796
Nolan Gorman,15,17,2,0,1,21,0.118,0.238,0.118,0.356
Ivan Herrera,20,39,12,4,10,50,0.308,0.44,0.692,1.132
Alec Burleson,17,22,5,0,3,24,0.227,0.292,0.227,0.519
Sal Frelick,41,78,24,0,6,88,0.308,0.365,0.359,0.724
Masyn Winn,35,78,18,1,6,87,0.231,0.299,0.321,0.619
Joey Ortiz,39,69,13,0,0,76,0.188,0.243,0.246,0.49
Rhys Hoskins,38,71,18,4,14,85,0.254,0.353,0.479,0.832
Jake Bauers,9,10,3,0,3,11,0.3,0.364,0.4,0.764
Jackson Chourio,37,84,31,4,16,86,0.369,0.384,0.631,1.015
Isaac Collins,26,46,10,2,6,52,0.217,0.308,0.413,0.721
Caleb Durbin,21,38,9,1,6,42,0.237,0.31,0.368,0.678
Drew Waters,23,33,6,0,1,36,0.182,0.25,0.182,0.432
Paul Goldschmidt,33,63,28,4,10,76,0.444,0.539,0.746,1.286
