Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Ke'Bryan Hayes,5,11,2,0,0,11,0.182,0.182,0.182,0.364
Bryan Reynolds,5,9,2,1,1,11,0.222,0.364,0.556,0.919
Oneil Cruz,5,9,1,0,2,11,0.111,0.273,0.111,0.384
Nick Fortes,5,9,0,0,0,11,0.0,0.182,0.0,0.182
Andrew McCutchen,5,11,2,0,1,11,0.182,0.182,0.182,0.364
Nick Gonzales,5,11,1,0,0,11,0.091,0.091,0.273,0.364
Xavier Edwards,5,6,1,0,0,6,0.167,0.167,0.167,0.333
Otto Lopez,5,12,2,0,0,12,0.167,0.167,0.167,0.333
Isiah Kiner-Falefa,5,10,2,0,0,10,0.2,0.2,0.2,0.4
Connor Norby,5,9,2,0,0,9,0.222,0.222,0.222,0.444
Javier Sanoja,5,10,3,0,1,12,0.3,0.364,0.5,0.864
Eric Wagaman,5,10,3,0,0,10,0.3,0.3,0.5,0.8
Agustin Ramirez,5,10,2,0,0,11,0.2,0.273,0.2,0.473
Spencer Horwitz,5,8,1,0,1,8,0.125,0.125,0.125,0.25
Heriberto Hernandez,5,9,3,0,2,9,0.333,0.333,0.333,0.667
Kyle Schwarber,5,9,1,1,1,11,0.111,0.273,0.444,0.717
Nick Castellanos,5,10,3,0,1,11,0.3,0.364,0.4,0.764
Ian Happ,5,9,3,1,1,10,0.333,0.4,0.667,1.067
Jt Realmuto,5,9,1,0,1,10,0.111,0.2,0.222,0.422
Alec Bohm,5,13,4,0,1,14,0.308,0.357,0.385,0.742
Seiya Suzuki,5,8,2,1,1,9,0.25,0.333,0.625,0.958
Nico Hoerner,5,9,3,0,0,10,0.333,0.4,0.333,0.733
Trea Turner,5,12,3,0,0,12,0.25,0.25,0.333,0.583
Dansby Swanson,5,10,2,0,0,10,0.2,0.2,0.3,0.5
Kyle Tucker,5,8,3,0,1,10,0.375,0.5,0.5,1.0
Justin Turner,5,12,2,0,0,12,0.167,0.167,0.167,0.333
Carson Kelly,5,11,2,0,0,11,0.182,0.182,0.182,0.364
Max Kepler,5,7,1,0,1,7,0.143,0.143,0.143,0.286
Jose Ramirez,5,13,4,0,1,14,0.308,0.357,0.308,0.665
Nolan Jones,5,10,4,0,2,11,0.4,0.455,0.4,0.855
TJ Friedl,5,7,1,1,2,10,0.143,0.333,0.571,0.905
Spencer Steer,5,6,2,0,0,6,0.333,0.333,0.333,0.667
Lane Thomas,5,7,1,0,0,9,0.143,0.333,0.143,0.476
Carlos Santana,5,12,2,0,1,13,0.167,0.231,0.167,0.397
Jose Trevino,5,10,4,0,1,10,0.4,0.4,0.6,1.0
Garrett Hampson,5,8,1,0,0,10,0.125,0.222,0.25,0.472
Gabriel Arias,5,13,4,0,0,13,0.308,0.308,0.538,0.846
David Fry,5,12,1,0,0,13,0.083,0.154,0.083,0.237
Elly De La Cruz,5,6,1,0,0,7,0.167,0.286,0.333,0.619
Christian Encarnacion-Strand,5,8,1,0,0,8,0.125,0.125,0.125,0.25
Santiago Espinal,5,8,0,0,0,8,0.0,0.0,0.0,0.0
Connor Joe,5,5,2,0,2,6,0.4,0.333,0.6,0.933
Christian Yelich,5,12,3,0,0,12,0.25,0.25,0.25,0.5
Ronald Acuna,5,9,2,1,1,9,0.222,0.222,0.667,0.889
Austin Riley,5,12,4,1,1,12,0.333,0.333,0.583,0.917
Matt Olson,5,13,3,1,2,13,0.231,0.231,0.538,0.769
Marcell Ozuna,5,12,4,1,1,13,0.333,0.385,0.583,0.968
Michael Harris,5,9,1,0,0,10,0.111,0.2,0.111,0.311
Ozzie Albies,5,9,3,0,0,10,0.333,0.4,0.333,0.733
Joey Ortiz,5,12,4,0,0,13,0.333,0.385,0.5,0.885
Rhys Hoskins,5,16,4,2,6,17,0.25,0.294,0.625,0.919
Jake Bauers,5,6,2,0,1,6,0.333,0.333,0.333,0.667
Jackson Chourio,5,14,9,1,5,14,0.643,0.643,0.929,1.571
Eric Haase,5,13,2,1,2,13,0.154,0.154,0.385,0.538
Drake Baldwin,5,5,2,1,1,7,0.4,0.571,1.0,1.571
Nick Allen,5,5,0,0,0,8,0.0,0.286,0.0,0.286
Alex Verdugo,5,10,3,0,1,11,0.3,0.364,0.3,0.664
Caleb Durbin,5,12,2,0,0,13,0.167,0.231,0.25,0.481
Brice Turang,5,7,3,0,0,10,0.429,0.6,0.571,1.171
William Contreras,5,9,4,0,2,12,0.444,0.583,0.444,1.028
Sal Frelick,5,10,0,0,0,10,0.0,0.0,0.0,0.0
Vladimir Guerrero,5,10,3,0,2,10,0.3,0.3,0.5,0.8
George Springer,5,8,1,0,2,12,0.125,0.333,0.125,0.458
Bo Bichette,5,11,5,1,2,12,0.455,0.5,0.727,1.227
Nolan Arenado,5,12,4,1,3,13,0.333,0.308,0.583,0.891
Ivan Herrera,5,11,2,0,0,12,0.182,0.25,0.273,0.523
Lars Nootbaar,5,13,1,0,0,17,0.077,0.294,0.077,0.371
Alec Burleson,5,9,4,0,0,9,0.444,0.444,0.444,0.889
Willson Contreras,5,10,2,0,3,11,0.2,0.273,0.3,0.573
Addison Barger,5,7,3,0,0,9,0.429,0.556,0.429,0.984
Victor Scott,5,7,0,0,0,10,0.0,0.222,0.0,0.222
Alejandro Kirk,5,10,2,0,1,12,0.2,0.333,0.3,0.633
Masyn Winn,5,16,4,0,1,17,0.25,0.294,0.313,0.607
Julio Rodriguez,5,16,6,1,2,16,0.375,0.375,0.563,0.938
Dylan Moore,5,7,0,0,0,7,0.0,0.0,0.0,0.0
JP Crawford,5,9,0,0,0,12,0.0,0.25,0.0,0.25
Cal Raleigh,5,12,5,2,3,13,0.417,0.462,1.0,1.462
Lourdes Gurriel,5,10,3,0,3,11,0.3,0.364,0.4,0.764
Corbin Carroll,5,6,0,0,0,8,0.0,0.25,0.0,0.25
Eugenio Suarez,5,10,1,1,2,10,0.1,0.1,0.4,0.5
Geraldo Perdomo,5,9,2,1,1,11,0.222,0.364,0.556,0.919
Alek Thomas,5,6,0,0,0,6,0.0,0.0,0.0,0.0
Jose Herrera,5,5,2,0,1,5,0.4,0.4,0.4,0.8
Randy Arozarena,5,6,5,0,2,8,0.833,0.75,1.333,2.083
Donovan Solano,5,9,1,0,1,10,0.111,0.2,0.111,0.311
Ketel Marte,5,9,1,1,2,10,0.111,0.2,0.444,0.644
Jorge Polanco,5,9,2,0,1,9,0.222,0.222,0.222,0.444
Josh Naylor,5,9,2,0,1,10,0.222,0.3,0.222,0.522
Mike Trout,5,7,1,0,1,7,0.143,0.143,0.143,0.286
Taylor Ward,5,9,0,0,0,10,0.0,0.1,0.0,0.1
Jo Adell,5,9,3,1,1,10,0.333,0.4,0.778,1.178
Luis Rengifo,5,11,0,0,0,11,0.0,0.0,0.0,0.0
Logan O'Hoppe,5,8,3,2,4,8,0.375,0.375,1.125,1.5
Zach Neto,5,8,2,0,1,9,0.25,0.333,0.25,0.583
Nolan Schanuel,5,7,4,0,2,7,0.571,0.571,0.571,1.143
Jorge Soler,5,9,3,0,2,9,0.333,0.333,0.444,0.778
Freddie Freeman,5,4,1,0,0,5,0.25,0.4,0.5,0.9
Max Muncy,5,6,2,0,0,6,0.333,0.333,0.333,0.667
Will Smith,5,13,6,1,3,13,0.462,0.462,0.769,1.231
Mookie Betts,5,6,5,1,2,8,0.833,0.875,1.5,2.375
Xander Bogaerts,5,9,2,0,0,9,0.222,0.222,0.222,0.444
Andy Pages,5,8,4,0,2,8,0.5,0.5,0.75,1.25
Shohei Ohtani,5,10,2,0,0,10,0.2,0.2,0.2,0.4
Jackson Merrill,5,12,3,0,1,12,0.25,0.25,0.333,0.583
Tommy Edman,5,8,2,0,1,8,0.25,0.25,0.25,0.5
