Player,G,AB,H,HR,RBI,PA,AVG,OBP,SLG,OPS
Javier Baez,10,31,5,0,0,31,0.161,0.161,0.161,0.323
Riley Greene,10,33,8,1,4,33,0.242,0.242,0.364,0.606
Spencer Torkelson,10,32,7,2,5,33,0.219,0.242,0.438,0.68
Adley Rutschman,10,28,8,2,3,31,0.286,0.355,0.536,0.891
Jackson Holliday,10,32,7,1,3,35,0.219,0.286,0.406,0.692
Gunnar Henderson,10,29,10,1,2,30,0.345,0.367,0.483,0.849
Gleyber Torres,10,32,8,0,3,38,0.25,0.368,0.25,0.618
Jose Ramirez,10,21,9,3,4,27,0.429,0.556,0.952,1.508
Steven Kwan,10,28,9,1,3,34,0.321,0.412,0.464,0.876
Nolan Jones,10,22,6,0,4,23,0.273,0.304,0.364,0.668
Tyler Stephenson,10,30,8,2,6,34,0.267,0.324,0.5,0.824
TJ Friedl,10,26,8,2,3,31,0.308,0.419,0.577,0.996
Bo Naylor,10,20,2,1,1,27,0.1,0.333,0.25,0.583
Elly De La Cruz,10,25,9,3,5,32,0.36,0.5,0.84,1.34
Johnathan Rodriguez,10,14,1,0,3,17,0.071,0.235,0.071,0.307
Lane Thomas,10,25,2,0,1,29,0.08,0.172,0.08,0.252
Carlos Santana,10,22,8,1,2,24,0.364,0.417,0.545,0.962
Gavin Lux,10,27,6,1,5,29,0.222,0.276,0.333,0.609
Ke'Bryan Hayes,10,27,6,0,3,32,0.222,0.344,0.222,0.566
Bryan Reynolds,10,23,8,0,6,27,0.348,0.444,0.435,0.879
Andrew McCutchen,10,27,8,2,7,30,0.296,0.333,0.593,0.926
Xavier Edwards,10,34,14,0,3,38,0.412,0.459,0.5,0.959
Otto Lopez,10,27,8,3,9,33,0.296,0.424,0.667,1.091
Isiah Kiner-Falefa,10,29,11,0,6,31,0.379,0.419,0.517,0.937
Kyle Stowers,10,29,5,0,2,29,0.172,0.172,0.207,0.379
Javier Sanoja,10,18,4,0,2,23,0.222,0.304,0.333,0.638
Adam Frazier,10,33,12,1,3,36,0.364,0.417,0.545,0.962
Spencer Horwitz,10,27,7,0,2,31,0.259,0.355,0.333,0.688
Jake Fraley,10,24,6,2,5,28,0.25,0.357,0.5,0.857
Will Benson,10,29,7,1,2,32,0.241,0.313,0.345,0.657
Spencer Steer,10,27,6,0,4,30,0.222,0.3,0.259,0.559
Matt McLain,10,27,5,1,4,29,0.185,0.241,0.333,0.575
David Fry,10,16,6,3,9,18,0.375,0.412,1.0,1.412
Christian Encarnacion-Strand,10,33,10,3,9,35,0.303,0.314,0.636,0.951
Angel Martinez,10,28,2,1,2,28,0.071,0.071,0.179,0.25
Oneil Cruz,10,35,7,1,3,41,0.2,0.317,0.4,0.717
Jesus Sanchez,10,15,2,0,0,17,0.133,0.133,0.133,0.267
Kyle Schwarber,10,26,7,1,4,28,0.269,0.321,0.5,0.821
Ian Happ,10,28,5,1,4,31,0.179,0.258,0.321,0.579
Jt Realmuto,10,18,4,0,3,19,0.222,0.263,0.222,0.485
Seiya Suzuki,10,25,6,1,3,28,0.24,0.286,0.44,0.726
Nico Hoerner,10,27,6,0,4,27,0.222,0.222,0.259,0.481
Bryson Stott,10,25,3,0,2,26,0.12,0.154,0.12,0.274
Trea Turner,10,25,8,2,5,26,0.32,0.346,0.64,0.986
Dansby Swanson,10,29,6,0,4,31,0.207,0.194,0.276,0.469
Michael Busch,10,29,11,3,8,33,0.379,0.455,0.828,1.282
Kyle Tucker,10,22,6,1,1,30,0.273,0.467,0.5,0.967
Max Kepler,10,21,1,0,1,23,0.048,0.13,0.048,0.178
Nick Castellanos,10,24,7,2,2,25,0.292,0.32,0.625,0.945
Alec Bohm,10,28,7,1,1,29,0.25,0.276,0.357,0.633
Brandon Marsh,10,17,5,0,1,20,0.294,0.4,0.294,0.694
Pete Crow-Armstrong,10,26,10,2,5,28,0.385,0.429,0.731,1.159
Yandy Diaz,10,29,9,1,4,34,0.31,0.382,0.483,0.865
Rafael Devers,10,21,3,0,2,29,0.143,0.379,0.19,0.57
Josh Lowe,10,25,3,0,0,31,0.12,0.29,0.16,0.45
Jarren Duran,10,27,6,0,0,30,0.222,0.3,0.333,0.633
Trevor Story,10,28,10,2,9,31,0.357,0.4,0.607,1.007
Brandon Lowe,10,29,8,2,6,32,0.276,0.313,0.586,0.899
Junior Caminero,10,31,9,3,9,34,0.29,0.353,0.742,1.095
Ceddanne Rafaela,10,26,7,1,1,28,0.269,0.321,0.385,0.706
Jake Mangum,10,28,10,1,9,30,0.357,0.4,0.5,0.9
Carlos Narvaez,10,23,7,0,1,27,0.304,0.407,0.348,0.755
Abraham Toro,10,27,12,1,4,29,0.444,0.483,0.704,1.186
Roman Anthony,1,3,0,0,1,4,0.0,0.25,0.0,0.25
Pete Alonso,10,30,11,5,13,34,0.367,0.441,0.9,1.341
Francisco Lindor,10,29,8,2,4,31,0.276,0.323,0.517,0.84
Starling Marte,10,18,7,1,2,23,0.389,0.5,0.611,1.111
CJ Abrams,10,33,5,0,1,39,0.152,0.282,0.212,0.494
Luis Garcia,10,36,14,1,8,37,0.389,0.405,0.583,0.989
James Wood,10,32,8,3,8,38,0.25,0.342,0.625,0.967
Juan Soto,10,20,8,2,3,30,0.4,0.6,0.75,1.35
Jonathan Aranda,10,21,7,0,4,28,0.333,0.464,0.333,0.798
Marcelo Mayer,10,25,6,1,2,29,0.24,0.345,0.44,0.785
Brandon Nimmo,10,31,11,2,6,36,0.355,0.444,0.613,1.057
Tyrone Taylor,10,21,3,0,3,25,0.143,0.24,0.19,0.43
Nathaniel Lowe,10,34,8,0,5,37,0.235,0.297,0.265,0.562
Byron Buxton,10,33,9,1,11,39,0.273,0.385,0.394,0.779
Carlos Correa,10,32,10,1,3,35,0.313,0.371,0.5,0.871
Corey Seager,10,26,2,1,1,30,0.077,0.2,0.192,0.392
Marcus Semien,10,26,11,3,8,30,0.423,0.5,0.885,1.385
Ryan Jeffers,10,29,6,1,1,32,0.207,0.281,0.379,0.661
Josh Smith,10,31,10,1,4,32,0.323,0.344,0.516,0.86
Josh Jung,10,28,2,0,3,30,0.071,0.133,0.071,0.205
Matt Wallner,10,27,8,3,4,32,0.296,0.406,0.704,1.11
Trevor Larnach,10,34,12,2,8,36,0.353,0.361,0.559,0.92
Wyatt Langford,10,30,4,0,3,35,0.133,0.229,0.167,0.395
Jake Burger,10,29,8,2,2,30,0.276,0.3,0.517,0.817
Ty France,10,29,10,0,4,32,0.345,0.406,0.414,0.82
Bobby Witt,10,36,10,3,9,41,0.278,0.341,0.583,0.925
Aaron Judge,10,27,11,5,7,32,0.407,0.5,1.037,1.537
DJ LeMahieu,10,28,7,1,5,30,0.25,0.3,0.393,0.693
Vinnie Pasquantino,10,28,14,2,4,34,0.5,0.588,0.714,1.303
Salvador Perez,10,36,8,1,2,37,0.222,0.243,0.361,0.604
Maikel Garcia,10,36,12,1,4,39,0.333,0.385,0.528,0.912
Jasson Dominguez,10,27,5,0,2,31,0.185,0.258,0.222,0.48
Ben Rice,10,34,8,1,2,37,0.235,0.297,0.353,0.65
Jonathan India,10,38,13,1,5,41,0.342,0.366,0.447,0.813
Paul Goldschmidt,10,30,4,2,2,31,0.133,0.161,0.333,0.495
Cody Bellinger,10,28,6,1,4,34,0.214,0.353,0.393,0.746
Christian Yelich,10,21,6,2,3,26,0.286,0.423,0.571,0.995
Ronald Acuna,10,30,11,2,4,37,0.367,0.486,0.567,1.053
Austin Riley,10,36,11,1,2,37,0.306,0.324,0.472,0.797
Matt Olson,10,25,6,1,8,34,0.24,0.441,0.48,0.921
Marcell Ozuna,10,32,5,0,5,36,0.156,0.25,0.188,0.438
Michael Harris,10,31,10,1,4,32,0.323,0.323,0.419,0.742
Brice Turang,10,28,5,0,3,36,0.179,0.333,0.25,0.583
William Contreras,10,29,6,0,1,30,0.207,0.233,0.241,0.475
Ozzie Albies,10,26,4,0,2,34,0.154,0.353,0.192,0.545
Sal Frelick,10,26,13,1,3,29,0.5,0.536,0.615,1.151
Joey Ortiz,10,24,3,0,2,30,0.125,0.276,0.125,0.401
Jackson Chourio,10,30,5,1,3,31,0.167,0.194,0.3,0.494
Nick Allen,10,21,3,0,0,23,0.143,0.217,0.19,0.408
Alex Verdugo,10,27,4,0,1,28,0.148,0.179,0.222,0.401
Caleb Durbin,10,25,6,1,4,32,0.24,0.375,0.48,0.855
Jac Caglianone,6,15,4,0,1,15,0.267,0.267,0.333,0.6
Vladimir Guerrero,10,33,8,0,4,35,0.242,0.257,0.273,0.53
Bo Bichette,10,34,5,1,6,35,0.147,0.171,0.294,0.466
Nolan Gorman,10,22,8,1,2,22,0.364,0.364,0.636,1.0
Ivan Herrera,10,26,7,2,5,28,0.269,0.321,0.5,0.821
Brendan Donovan,10,22,5,0,0,25,0.227,0.32,0.273,0.593
Alec Burleson,10,28,10,1,4,31,0.357,0.387,0.536,0.923
Willson Contreras,10,25,9,1,6,28,0.36,0.429,0.6,1.029
Addison Barger,10,32,8,5,10,33,0.25,0.273,0.75,1.023
