Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,RBI,HBP,HR,GIDP,TB,SO,SB,R,H,PA,3B,IBB,BB,SF,XBH,CS,SH,AB,2B,SHO,ER,IP,ERA,WP,SV,GF,DEC,TBF,GS,CG,Pitches Thrown,Pitching Outs,Actual Stat,Hit
matthew boyd,P,CHC,Earned Runs Allowed,1.5,PIT,base,Sat 2:20 PM,,0,1,,,3,,1,1,,,0,1,,,,,,,0,1,6.0,1.50,0,0,0,W,19,1,0,93,18,1.0,0
matthew boyd,P,CHC,Pitches Thrown,92.5,PIT,base,Sat 2:20 PM,,0,1,,,3,,1,1,,,0,1,,,,,,,0,1,6.0,1.50,0,0,0,W,19,1,0,93,18,93.0,1
matthew boyd,P,CHC,Pitcher Strikeouts,6.0,PIT,base,Sat 2:20 PM,,0,1,,,3,,1,1,,,0,1,,,,,,,0,1,6.0,1.50,0,0,0,W,19,1,0,93,18,3.0,0
matthew boyd,P,CHC,Pitcher Fantasy Score,37.5,PIT,base,Sat 2:20 PM,,0,1,,,3,,1,1,,,0,1,,,,,,,0,1,6.0,1.50,0,0,0,W,19,1,0,93,18,34.0,0
mike burrows,P,PIT,Pitcher Strikeouts,4.0,CHC,base,Sat 2:20 PM,,0,0,,,8,,1,5,,,0,0,,,,,,,0,1,5.1,1.69,1,0,0,,21,1,0,81,16,8.0,1
jacob degrom,P,TEX,Pitcher Fantasy Score,40.5,CWS,base,Sat 4:05 PM,,0,0,,,6,,2,5,,,0,0,,,,,,,0,2,6.0,3.00,0,0,0,,22,1,0,82,18,34.0,0
jacob degrom,P,TEX,Pitcher Strikeouts,7.0,CWS,base,Sat 4:05 PM,,0,0,,,6,,2,5,,,0,0,,,,,,,0,2,6.0,3.00,0,0,0,,22,1,0,82,18,6.0,0
tyler anderson,P,LAA,Pitcher Strikeouts,4.5,BAL,base,Sat 4:05 PM,,0,2,,,4,,6,9,,,0,2,,,,,,,0,6,5.0,10.80,1,0,0,L,25,1,0,91,15,4.0,0
tomoyuki sugano,P,BAL,Pitcher Strikeouts,4.0,LAA,base,Sat 4:05 PM,,2,1,,,4,,3,6,,,0,2,,,,,,,0,3,4.2,5.79,0,0,0,,24,1,0,80,14,4.0,1
cristopher sanchez,P,PHI,Pitcher Strikeouts,5.0,TOR,base,Sat 4:05 PM,,1,0,,,5,,2,5,,,0,0,,,,,,,0,2,7.0,2.57,0,0,0,,27,1,0,98,21,5.0,1
