Player,Prop Type,Prop Value,Start Time,RF_Prediction,RF_Confidence,Model_Type,LLM_Prediction,LLM_Justification,Actual_Stat,Actual_Result,Reflection
shohei ohtani,Hitter Fantasy Score,9.0,Tue 9:40 PM,1.0,0.905,hitter,,,3.0,Under,
kyle schwarber,Hitter Fantasy Score,7.5,Tue 6:45 PM,1.0,0.9047237484737488,hitter,,,0.0,Under,
jonathan aranda,Hitter Fantasy Score,5.5,Tue 7:10 PM,1.0,0.8989999999999999,hitter,,,0.0,Under,
shohei ohtani,Total Bases,1.5,Tue 9:40 PM,1.0,0.8984999999999999,hitter,,,1.0,Under,
freddie freeman,Hitter Fantasy Score,6.5,Tue 9:40 PM,1.0,0.8841309523809524,hitter,,,5.0,Under,
freddie freeman,Hits+Runs+RBIs,1.5,Tue 9:40 PM,1.0,0.8699642857142855,hitter,,,1.0,Under,
oneil cruz,Hitter Fantasy Score,7.5,Tue 6:40 PM,1.0,0.8699166666666668,hitter,,,14.0,Over,
james wood,Hitter Fantasy Score,6.5,Tue 7:10 PM,1.0,0.8666666666666663,hitter,,,5.0,Under,
pete alonso,Hitter Fantasy Score,7.0,Tue 7:10 PM,1.0,0.8661666666666664,hitter,,,5.0,Under,
gleyber torres,Hitter Fantasy Score,6.5,Tue 6:35 PM,1.0,0.8607509018759018,hitter,,,6.0,Under,
