Player,PTS,REB,AST,STL,BLK,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TOV
Aaron Nesmith,10,12,1,0,1,3,9,3,7,1,2,0,12,5
Alex Caruso,11,6,2,3,2,3,8,1,4,4,5,2,4,1
Andrew Nembhard,14,4,6,0,0,4,11,2,6,4,5,1,3,2
Ben Sheppard,3,2,0,0,0,1,2,1,2,0,0,0,2,0
Bennedict Mathurin,5,3,2,0,1,1,5,0,0,3,4,3,0,1
Cason Wallace,6,2,1,1,1,3,9,0,3,0,0,0,2,0
Chet Holmgren,6,6,0,0,1,2,9,0,1,2,2,0,6,1
Isaiah Hartenstein,9,9,0,1,0,3,5,0,0,3,3,2,7,0
Isaiah Joe,5,0,0,0,0,2,3,1,1,0,0,0,0,0
Jalen Williams,17,4,6,1,0,6,19,1,4,4,4,1,3,0
Kenrich Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luguentz Dort,15,4,1,4,2,5,10,5,9,0,0,2,2,0
Myles Turner,15,9,0,0,3,5,10,2,5,3,4,5,4,6
Obi Toppin,17,5,2,0,0,6,9,5,8,0,0,0,5,3
Pascal Siakam,19,10,3,0,1,7,15,1,2,4,6,4,6,1
Shai Gilgeous-Alexander,38,5,3,3,0,14,30,3,6,7,8,0,5,2
Thomas Bryant,5,0,0,0,0,2,2,1,1,0,0,0,0,0
Tj Mcconnell,9,1,4,1,0,4,6,1,1,0,0,0,1,3
Tyrese Haliburton,14,10,6,0,1,6,13,2,7,0,0,0,10,3
