Player,Opponent,GP,PPG,RPG,APG,SPG,BPG,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TPG
Aaron Nesmith,Oklahoma-City,1,7,4,0,1,1,3,8,1,3,0,0,2,2,0
Alex Caruso,Indiana,1,6,5,2,0,0,3,5,0,2,0,0,1,4,2
Andrew Nembhard,Oklahoma-City,2,19.5,7.0,7.0,0.0,0.5,7.5,15.0,1.0,4.5,3.5,4.0,1.0,6.0,1.5
Ben Sheppard,Oklahoma-City,2,7.5,2.5,2.0,0.5,0.5,2.5,5.5,1.5,4.0,1.0,1.0,0.0,2.5,1.0
Bennedict Mathurin,Oklahoma-City,1,18,6,3,0,1,5,13,2,5,6,8,2,4,1
Cason Wallace,Indiana,2,8.0,2.0,2.0,2.0,1.0,3.0,7.5,1.0,3.0,1.0,1.0,0.5,1.5,0.5
Chet Holmgren,Indiana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Isaiah Hartenstein,Indiana,2,7.5,9.0,1.0,0.0,0.5,2.5,5.5,0.0,0.5,2.5,4.0,1.0,8.0,0.5
Isaiah Joe,Indiana,2,12.0,3.5,1.0,0.0,0.0,4.5,8.5,3.0,7.0,0.0,0.0,1.0,2.5,0.5
Jalen Williams,Indiana,2,19.0,3.0,5.5,0.0,0.0,7.5,18.0,1.0,4.0,3.0,3.5,0.0,3.0,2.0
Kenrich Williams,Indiana,2,9.5,7.0,2.5,0.5,0.0,4.0,7.0,1.0,2.0,0.5,1.0,1.0,6.0,0.0
Luguentz Dort,Indiana,2,17.5,6.0,0.0,1.0,0.5,6.5,12.0,4.5,7.5,0.0,0.0,1.5,4.5,0.5
Myles Turner,Oklahoma-City,2,11.5,8.0,1.5,0.0,2.5,3.0,9.5,0.5,3.5,5.0,8.0,3.0,5.0,2.5
Obi Toppin,Oklahoma-City,2,8.5,3.0,2.5,0.0,1.0,3.5,5.5,1.5,3.5,0.0,0.0,0.5,2.5,1.0
Pascal Siakam,Oklahoma-City,2,16.5,9.5,2.0,0.0,0.5,5.5,12.5,3.0,6.0,2.5,4.0,1.5,8.0,1.5
Shai Gilgeous-Alexander,Indiana,2,39.0,7.0,8.0,1.0,1.0,12.5,22.5,3.5,5.5,10.5,11.5,1.5,5.5,0.5
Thomas Bryant,Oklahoma-City,2,2.5,1.0,0.0,0.5,0.0,1.0,2.5,0.5,2.0,0.0,0.0,0.0,1.0,0.0
Tj Mcconnell,Oklahoma-City,2,10.5,2.0,3.0,0.0,0.0,5.0,7.5,0.5,1.0,0.0,0.0,0.0,2.0,1.5
Tyrese Haliburton,Oklahoma-City,2,11.0,3.0,5.5,1.0,0.0,4.0,9.0,2.0,5.5,1.0,1.0,1.0,2.0,0.5
