Player,Prop,Last 10 Hit Percentage
Aaron Nesmith,Fg attempted 9.0,33.3%
Aaron Nesmith,3-pt attempted 5.0,33.3%
Aaron Nesmith,Pts+rebs 16.5,22.2%
Aaron Nesmith,Pts+rebs+asts 17.5,22.2%
Aaron Nesmith,Points 11.5,22.2%
Aaron Nesmith,Offensive rebounds 0.5,44.4%
Aaron Nesmith,Rebounds 4.5,11.1%
Aaron Nesmith,Personal fouls 3.5,0%
Aaron Nesmith,Pts+asts 12.5,22.2%
Aaron Nesmith,Free throws attempted 2.0,0%
Aaron Nesmith,Rebs+asts 5.5,11.1%
Aaron Nesmith,Two pointers attempted 4.0,0%
Aaron Nesmith,Fantasy score 20.5,0%
Alex Caruso,Rebs+asts 6.0,63.6%
Alex Caruso,Personal fouls 3.0,0%
Alex Caruso,Pts+rebs 11.5,54.5%
Alex Caruso,Rebounds 3.0,63.6%
Alex Caruso,Fg attempted 6.5,27.3%
Alex Caruso,Assists 2.5,54.5%
Alex Caruso,Free throws made 0.5,0%
Alex Caruso,3-pt attempted 3.5,27.3%
Alex Caruso,Pts+asts 11.0,54.5%
Alex Caruso,Fantasy score 20.0,0%
Alex Caruso,Points 8.0,63.6%
Alex Caruso,Two pointers attempted 3.0,0%
Alex Caruso,Pts+rebs+asts 14.5,45.5%
Alex Caruso,Offensive rebounds 0.5,81.8%
Andrew Nembhard,Free throws made 1.5,0%
Andrew Nembhard,Pts+rebs 14.5,85.7%
Andrew Nembhard,Personal fouls 3.0,0%
Andrew Nembhard,Points 11.5,85.7%
Andrew Nembhard,Fg made 4.0,85.7%
Andrew Nembhard,Pts+asts 16.0,85.7%
Andrew Nembhard,Rebs+asts 8.0,85.7%
Andrew Nembhard,Assists 4.5,85.7%
Andrew Nembhard,Fg attempted 10.0,71.4%
Andrew Nembhard,3-pt attempted 3.5,100.0%
Andrew Nembhard,Two pointers made 3.0,0%
Andrew Nembhard,Fantasy score 23.5,0%
Andrew Nembhard,Two pointers attempted 6.5,0%
Andrew Nembhard,Pts+rebs+asts 19.5,85.7%
Ben Sheppard,Pts+rebs+asts 6.5,80.0%
Ben Sheppard,Points 3.0,100.0%
Ben Sheppard,Pts+asts 4.5,80.0%
Ben Sheppard,Pts+rebs 5.5,100.0%
Ben Sheppard,Fg attempted 3.0,100.0%
Bennedict Mathurin,Personal fouls 1.5,0%
Bennedict Mathurin,Pts+rebs+asts 11.0,100.0%
Bennedict Mathurin,Pts+asts 8.5,100.0%
Bennedict Mathurin,Free throws attempted 2.5,0%
Bennedict Mathurin,Fg made 2.5,100.0%
Bennedict Mathurin,Points 7.5,100.0%
Bennedict Mathurin,Fg attempted 6.0,100.0%
Bennedict Mathurin,Pts+rebs 9.5,100.0%
Bennedict Mathurin,Two pointers attempted 4.0,0%
Cason Wallace,Pts+asts 9.0,40.0%
Cason Wallace,Pts+rebs+asts 12.5,40.0%
Cason Wallace,Pts+rebs 10.5,40.0%
Cason Wallace,3-pt attempted 3.0,40.0%
Cason Wallace,Fg made 2.5,60.0%
Cason Wallace,Fg attempted 6.0,60.0%
Cason Wallace,Two pointers attempted 3.0,0%
Cason Wallace,Points 6.5,60.0%
Cason Wallace,Fantasy score 18.0,0%
Chet Holmgren,Offensive rebounds 2.0,33.3%
Chet Holmgren,Pts+asts 18.5,0.0%
Chet Holmgren,Defensive rebounds 7.0,100.0%
Chet Holmgren,Pts+rebs+asts 27.5,33.3%
Chet Holmgren,Two pointers attempted 8.5,0%
Chet Holmgren,Personal fouls 2.5,0%
Chet Holmgren,Free throws made 3.0,0%
Chet Holmgren,Fg attempted 12.5,66.7%
Chet Holmgren,Rebs+asts 11.0,66.7%
Chet Holmgren,Assists 1.5,66.7%
Chet Holmgren,Points 16.5,0.0%
