Player,GP,PPG,RPG,APG,SPG,BPG,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TPG
Aaron Nesmith,5,9.8,4.4,0.6,1.2,0.6,3.2,8.0,1.6,4.2,1.8,2.0,0.4,4.0,1.2
Alex Caruso,5,7.8,2.0,1.2,1.6,0.0,2.6,5.6,1.4,3.4,1.2,1.2,0.4,1.6,0.6
Andrew Nembhard,5,8.8,2.8,3.4,2.4,0.2,3.4,9.2,1.0,2.6,1.0,1.2,0.2,2.6,1.0
Ben Sheppard,5,3.8,2.2,1.0,0.4,0.0,1.2,2.0,1.0,1.6,0.4,0.4,0.2,2.0,0.6
Bennedict Mathurin,5,9.8,2.8,1.0,0.0,0.0,2.4,4.6,0.4,1.2,4.6,4.8,0.4,2.4,1.2
Cason Wallace,5,5.0,2.4,3.6,0.8,0.8,1.8,5.0,1.0,3.4,0.4,0.4,1.8,0.6,0.8
Chet Holmgren,5,18.0,6.0,1.6,0.6,1.6,6.8,12.0,1.4,3.8,3.0,4.2,1.8,4.2,1.0
Isaiah Hartenstein,5,6.8,6.0,0.8,0.8,0.8,3.4,5.0,0.0,0.0,0.0,0.2,1.6,4.4,1.2
Isaiah Joe,5,5.0,2.6,0.4,0.2,0.4,1.6,3.6,1.0,2.6,0.8,1.0,0.2,2.4,0.2
Jalen Williams,5,22.2,6.6,4.4,2.0,0.2,8.4,17.0,2.4,5.2,3.0,3.6,0.8,5.8,2.0
Kenrich Williams,5,4.2,2.0,0.2,0.6,0.0,1.8,2.6,0.6,1.2,0.0,0.0,0.2,1.8,0.6
Luguentz Dort,5,7.2,3.6,1.0,1.8,0.4,2.4,6.2,2.0,5.4,0.4,0.8,0.8,2.8,1.4
Myles Turner,5,12.8,2.8,1.4,0.4,2.0,4.4,7.8,1.2,3.6,2.8,3.8,0.8,2.0,2.2
Obi Toppin,5,9.2,3.6,0.8,0.4,0.6,3.6,7.2,0.6,2.4,1.4,1.4,0.4,3.2,1.0
Pascal Siakam,5,26.4,5.0,3.0,1.2,0.8,9.6,17.8,2.0,3.6,5.2,7.6,1.4,3.6,1.2
Shai Gilgeous-Alexander,5,31.4,5.2,8.2,1.8,0.2,10.6,23.2,1.4,4.4,8.8,10.2,1.2,4.0,2.8
Thomas Bryant,5,4.8,1.8,0.0,0.2,0.2,1.6,3.2,0.8,1.4,0.8,0.8,0.4,1.4,0.2
Tj Mcconnell,5,7.6,2.8,3.4,0.2,0.2,3.4,6.0,0.4,1.4,0.4,0.4,0.6,2.2,2.0
Tyrese Haliburton,5,19.0,6.4,10.4,2.8,0.4,6.8,15.6,2.4,7.4,3.0,3.6,0.4,6.0,1.6
