Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time
Tyrese Haliburton,G,IND,Points,17.5,OKC,base,Thu 8:30 PM
Myles Turner,C-F,IND,FG Attempted,10.0,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Free Throws Made,2.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Two Pointers Attempted,5.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,3-PT Attempted,4.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Fantasy Score,26.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Points,13.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Personal Fouls,3.0,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Dunks,0.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Pts+Rebs+Asts,20.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Rebounds,5.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Pts+Rebs,19.0,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Pts+Asts,15.0,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,Free Throws Attempted,3.5,OKC,base,Thu 8:40 PM
Myles Turner,C-F,IND,FG Made,4.5,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,FG Attempted,5.5,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,Pts+Asts,10.5,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,Two Pointers Attempted,5.0,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,Assists,3.5,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,Points,7.0,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,Pts+Rebs+Asts,13.5,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,Pts+Rebs,9.5,OKC,base,Thu 8:40 PM
T.J. McConnell,G,IND,Rebs+Asts,6.0,OKC,base,Thu 8:40 PM
Luguentz Dort,G,OKC,3-PT Attempted,5.5,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,FG Attempted,7.5,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Pts+Rebs+Asts,14.5,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Rebs+Asts,4.5,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Fantasy Score,18.0,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Pts+Rebs,12.5,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Pts+Asts,10.5,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Personal Fouls,3.0,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Points,9.5,IND,base,Thu 8:40 PM
Luguentz Dort,G,OKC,Two Pointers Attempted,2.0,IND,base,Thu 8:40 PM
Kenrich Williams,G-F,OKC,Pts+Asts,3.5,IND,base,Thu 8:40 PM
Kenrich Williams,G-F,OKC,Pts+Rebs+Asts,5.5,IND,base,Thu 8:40 PM
Kenrich Williams,G-F,OKC,Rebs+Asts,2.5,IND,base,Thu 8:40 PM
Kenrich Williams,G-F,OKC,Points,2.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Fantasy Score,41.0,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Free Throws Attempted,4.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,3-PT Attempted,5.0,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Points In First 5 Minutes,2.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,FG Attempted,17.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,PRA In First 5 Minutes,4.0,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Two Pointers Made,6.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Pts+Rebs+Asts,33.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,Points,22.5,IND,base,Thu 8:40 PM
Jalen Williams,G-F,OKC,FG Made,8.5,IND,base,Thu 8:40 PM
