Player,Prop,Hit Percentage
Aaron Nesmith,Fg attempted 9.0,28.9%
Aaron Nesmith,3-pt attempted 5.0,31.1%
Aaron Nesmith,Pts+rebs 16.5,42.2%
Aaron Nesmith,Pts+rebs+asts 17.5,42.2%
Aaron Nesmith,Points 11.5,53.3%
Aaron Nesmith,Offensive rebounds 0.5,57.8%
Aaron Nesmith,Rebounds 4.5,42.2%
Aaron Nesmith,Personal fouls 3.5,20.0%
Aaron Nesmith,Pts+asts 12.5,48.9%
Aaron Nesmith,Free throws attempted 2.0,28.9%
Aaron Nesmith,Rebs+asts 5.5,44.4%
Aaron Nesmith,Two pointers attempted 4.0,86.7%
Aaron Nesmith,Fantasy score 20.5,91.1%
Alex Caruso,Rebs+asts 6.0,N/A%
Alex Caruso,Personal fouls 3.0,N/A%
Alex Caruso,Pts+rebs 11.5,N/A%
Alex Caruso,Rebounds 3.0,N/A%
Alex Caruso,Fg attempted 6.5,N/A%
Alex Caruso,Assists 2.5,N/A%
Alex Caruso,Free throws made 0.5,N/A%
Alex Caruso,3-pt attempted 3.5,N/A%
Alex Caruso,Pts+asts 11.0,N/A%
Alex Caruso,Fantasy score 20.0,N/A%
Alex Caruso,Points 8.0,N/A%
Alex Caruso,Two pointers attempted 3.0,N/A%
Alex Caruso,Pts+rebs+asts 14.5,N/A%
Alex Caruso,Offensive rebounds 0.5,N/A%
Andrew Nembhard,Free throws made 1.5,49.2%
Andrew Nembhard,Pts+rebs 14.5,32.3%
Andrew Nembhard,Personal fouls 3.0,23.1%
Andrew Nembhard,Points 11.5,33.8%
Andrew Nembhard,Fg made 4.0,33.8%
Andrew Nembhard,Pts+asts 16.0,35.4%
Andrew Nembhard,Rebs+asts 8.0,47.7%
Andrew Nembhard,Assists 4.5,47.7%
Andrew Nembhard,Fg attempted 10.0,30.8%
Andrew Nembhard,3-pt attempted 3.5,27.7%
Andrew Nembhard,Two pointers made 3.0,52.3%
Andrew Nembhard,Fantasy score 23.5,92.3%
Andrew Nembhard,Two pointers attempted 6.5,69.2%
Andrew Nembhard,Pts+rebs+asts 19.5,38.5%
Ben Sheppard,Pts+rebs+asts 6.5,66.7%
Ben Sheppard,Points 3.0,60.3%
Ben Sheppard,Pts+asts 4.5,66.7%
