Player,GP,PPG,RPG,APG,SPG,BPG,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,TPG
Aaron Nesmith,45,12.0,4.0,1.2,0.8,0.4,4.3,8.4,1.9,4.3,1.6,1.8,0.8,3.1,0.8
Alex Caruso,54,7.1,2.9,2.5,1.6,0.6,2.6,5.8,1.1,3.1,0.8,0.9,0.7,2.2,0.7
Andrew Nembhard,65,10.0,3.3,5.0,1.2,0.2,3.8,8.3,0.8,2.7,1.7,2.1,0.5,2.8,1.7
Ben Sheppard,63,5.3,2.8,1.3,0.6,0.2,1.9,4.6,1.1,3.2,0.4,0.4,0.7,2.1,0.3
Bennedict Mathurin,72,16.1,5.3,1.9,0.7,0.3,5.4,11.8,1.4,4.0,3.8,4.6,1.2,4.1,1.9
Cason Wallace,68,8.4,3.4,2.5,1.8,0.5,3.4,7.2,1.1,3.1,0.4,0.5,1.0,2.3,0.9
Chet Holmgren,32,15.0,8.0,2.0,0.7,2.2,5.2,10.7,1.4,3.6,3.2,4.2,1.5,6.5,1.8
Isaiah Hartenstein,57,11.2,10.7,3.8,0.8,1.1,4.9,8.4,0.0,0.3,1.4,2.1,2.9,7.9,1.7
Isaiah Joe,74,10.2,2.6,1.6,0.6,0.1,3.5,7.9,2.6,6.3,0.6,0.8,0.6,2.1,0.5
Jalen Williams,69,21.6,5.3,5.1,1.6,0.7,8.2,16.9,1.8,4.9,3.4,4.3,0.9,4.5,2.2
Kenrich Williams,69,6.3,3.5,1.4,0.6,0.1,2.5,5.1,1.0,2.5,0.4,0.6,0.9,2.6,0.6
Luguentz Dort,71,10.1,4.1,1.6,1.1,0.5,3.6,8.4,2.4,5.8,0.5,0.6,1.3,2.9,0.7
Myles Turner,72,15.6,6.5,1.5,0.8,2.0,5.4,11.3,2.2,5.5,2.6,3.3,1.3,5.3,1.7
Obi Toppin,79,10.5,4.0,1.6,0.6,0.4,4.0,7.6,1.4,3.8,1.1,1.4,0.7,3.3,0.9
Pascal Siakam,78,20.2,6.9,3.4,0.9,0.5,7.9,15.2,1.6,4.2,2.9,3.9,1.7,5.2,1.4
Shai Gilgeous-Alexander,76,32.7,5.0,6.4,1.7,1.0,11.3,21.8,2.1,5.7,7.9,8.8,0.9,4.1,2.4
Thomas Bryant,66,6.5,3.8,0.8,0.4,0.6,2.5,4.9,0.7,2.2,0.8,1.0,1.3,2.5,0.5
Tj Mcconnell,79,9.1,2.4,4.4,1.1,0.3,4.1,7.9,0.2,0.6,0.7,1.0,0.6,1.9,1.4
Tyrese Haliburton,73,18.6,3.5,9.2,1.4,0.7,6.5,13.8,3.0,7.7,2.6,3.0,0.6,3.0,1.6
