player_name,projected_minutes
Shai Gilgeous-Alexander,37
Naji Marshall,36
Desmond Bane,36
Tyler Herro,35
Coby White,35
Spencer Dinwiddie,35
Paolo Banchero,35
Zach LaVine,35
DeMar DeRozan,35
Jaren Jackson Jr,35
Franz Wagner,34
Jalen Williams,34
Chet Holmgren,34
Luka Doncic,34
Walker Kessler,34
Josh Giddey,34
Domantas Sabonis,34
Malik Monk,34
Keegan Murray,34
Max Christie,34
Donovan Mitchell,34
Bam Adebayo,34
Fred VanVleet,34
Darius Garland,33
LeBron James,33
Pascal Siakam,33
Isaiah Collier,33
Amen Thompson,33
Jalen Green,33
Keyonte George,33
Alperen Sengun,33
Trae Young,33
Austin Reaves,33
Deni Avdija,32
Anthony Davis,32
Klay Thompson,32
Dyson Daniels,32
Andrew Wiggins,32
Davion Mitchell,32
Toumani Camara,32
Stephon Castle,32
Collin Sexton,32
Anfernee Simons,32
Kevin Huerter,32
Santi Aldama,32
Devin Vassell,31
Nikola Vucevic,31
Onyeka Okongwu,31
Tyrese Haliburton,31
Dillon Brooks,30
Aaron Nesmith,30
K Caldwell-Pope,30
Myles Turner,30
Jarrett Allen,30
Rui Hachimura,29
AJ Johnson,29
Luguentz Dort,29
De'Andre Hunter,28
Max Strus,28
Donovan Clingan,28
Shaedon Sharpe,28
Kel'el Ware,28
Luke Kennard,28
Andrew Nembhard,28
Harrison Barnes,27
Wendell Carter Jr,27
Isaiah Hartenstein,27
Dorian Finney-Smith,27
Jaylen Wells,27
Kai Jones,26
Jerami Grant,26
Bub Carrington,26
Scoot Henderson,26
Kyshawn George,26
Tari Eason,26
Duncan Robinson,25
Johnny Juzang,24
Colby Jones,24
Zaccharie Risacher,24
Jabari Smith Jr,24
Julian Phillips,24
Chris Paul,24
Scotty Pippen Jr,24
Keldon Johnson,24
Jeremy Sochan,24
Cole Anthony,24
Caris LeVert,24
Cody Williams,24
Zach Edey,23
Jaxson Hayes,23
Julian Champagnie,23
Georges Niang,23
Tristan Vukcevic,23
Bennedict Mathurin,22
Cason Wallace,22
Matas Buzelis,22
Alexandre Sarr,22
Ty Jerome,22
Haywood Highsmith,22
Brandon Williams,22
Justin Champagnie,22
Kyle Filipowski,21
Patrick Williams,21
Terance Mann,21
Dean Wade,20
Alex Caruso,20
Obi Toppin,19
Vince Williams Jr,19
Brice Sensabaugh,19
Blake Wesley,19
Sam Merrill,18
Cory Joseph,18
Steven Adams,18
Isaac Okoro,18
Keon Ellis,17
Dalen Terry,17
Jordan Poole,17
Jake LaRavia,17
Anthony Black,17
Gabe Vincent,15
Jaylen Martin,15
Sandro Mamukelashvili,15
Dominick Barlow,15
JT Thor,15
Isaiah Joe,15
Jalen Smith,14
TJ McConnell,14
Vit Krejci,14
Jaden Hardy,14
Matisse Thybulle,13
Mouhamed Gueye,13
Gary Harris,13
Jaime Jaquez Jr,13
Jordan Goodwin,13
Jarred Vanderbilt,13
Jaylin Williams,12
Jonathan Isaac,12
Ben Sheppard,12
Anthony Gill,12
Svi Mykhailiuk,11
Jonas Valanciunas,11
Jabari Walker,11
Bismack Biyombo,11
Thomas Bryant,11
Dalton Knecht,10
Tristan da Silva,10
Alec Burks,10
Trey Lyles,9
Jay Huff,7
Goga Bitadze,7
Terry Taylor,2
Mac McClung,1
RayJ Dennis,0
Larry Nance Jr,0
Garrison Mathews,0
Jalen Johnson,0
Keaton Wallace,0
Daeqwon Plowden,0
Kobe Bufkin,0
Jacob Toppin,0
Jordan Clarkson,0
Lauri Markkanen,0
John Collins,0
Kenyon Martin Jr,0
Jaden Springer,0
Micah Potter,0
Taylor Hendricks,0
Oscar Tshiebwe,0
Elijah Harkless,0
Kevin Love,0
Kyle Anderson,0
Terry Rozier,0
Josh Christopher,0
Dru Smith,0
Nikola Jovic,0
Pelle Larsson,0
Keshad Johnson,0
Isaiah Stevens,0
Deandre Ayton,0
Robert Williams III,0
Duop Reath,0
Dalano Banton,0
Bryce McGowens,0
Justin Minaya,0
Rayan Rupert,0
Kris Murray,0
Sidy Cissoko,0
Doug McDermott,0
Jae Crowder,0
Markelle Fultz,0
Mason Jones,0
Devin Carter,0
Isaiah Crawford,0
Isaac Jones,0
Lonzo Ball,0
Zach Collins,0
Jevon Carter,0
Talen Horton-Tucker,0
Tre Jones,0
Ayo Dosunmu,0
