Date,Total Predictions,Correct Predictions,Accuracy (%),Total Predictions NN,Correct Predictions NN,Accuracy(%) NN
2025-3-10,588,359,61.05,,,
2025-3-11,274,139,50.73,,,
2025-3-12,576,246,42.71,,,
2025-3-13,361,175,48.48,,,
2025-3-14,805,411,51.06,,,
2025-3-25,564,290,51.42,,,
2025-3-26,352,157,44.6,,,
2025-3-31,721,354,49.1,,,
2025-4-1,656,348,53.05,,,
2025-4-2,458,220,48.03,,,
2025-4-8,637,337,52.9,,,
2025-4-9,579,287,49.57,,,
2025-4-15,831,411,49.46,,,
2025-4-22,757,355,46.9,,,
2025-4-23,795,538,67.67,,,
2025-4-24,765,555,72.55,,,
2025-4-26,707,359,50.78,,,
2025-4-27,542,337,62.18,,,
2025-4-28,676,423,62.57,,,
2025-4-29,589,333,56.54,,,
2025-4-30,443,281,63.43,,,
2025-5-1,401,289,72.07,,,
2025-5-2,372,265,71.24,,,
2025-5-3,397,291,73.3,,,
2025-5-4,460,284,61.74,,,
2025-5-5,,,,488,239,48.98
2025-5-6,488,393,80.53,488,259,53.07
2025-5-7,450,280,62.22,450,195,43.33
,,,,,,
2025-5-8,138,87,63.04,119,54,45.38
,,,,,,
2025-5-9,239,111,46.44,244,121,49.59
,,,,,,
2025-5-10,189,108,57.14,0,0,0
,,,,,,
2025-5-11,232,115,49.57,83,39,46.99
,,,,,,
2025-5-12,229,103,44.98,,,
,,,,,,
2025-5-13,245,105,42.86,,,
,,,,,,
2025-5-14,241,100,41.49,,,
,,,,,,
2025-5-15,89,40,44.94,,,
,,,,,,
2025-5-16,117,60,51.28,,,
,,,,,,
2025-5-19,117,68,58.12,,,
,,,,,,
2025-5-20,110,56,50.91,,,
2025-5-21,122,57,46.72

2025-5-22,131,69,52.67

2025-5-25,0,0,0

2025-5-26,137,75,54.74

2025-5-27,120,50,41.67

2025-5-28,138,72,52.17

2025-5-29,125,77,61.6

2025-6-6,145,55,37.93
