Team,PG,SG,SF,PF,C
Celtics,Jrue Holiday,Jaylen Brown,Jayson Tatum,Derrick White,Kristaps Porzingis
Nets,D'Angelo Russell,Cam Thomas,Cam Johnson,Noah Clowney,Nic Claxton
Knicks,Jalen Brunson,Mikal Bridges,Josh Hart,OG Anunoby,Karl-Anthony Towns
76ers,Tyrese Maxey,Kelly Oubre Jr.,Eric Gordon,Paul George,Joel Embiid
Raptors,Immanuel Quickley,Grady Dick,RJ Barrett,Scottie Barnes,Jakob Poeltl
Bulls,Josh Giddey,Coby White,Zach LaVine,Patrick Williams,Nikola Vucevic
Cavaliers,Darius Garland,Donovan Mitchell,Dean Wade,Evan Mobley,Jarrett Allen
Pistons,Cade Cunningham,Jaden Ivey,Tim Hardaway Jr.,Tobias Harris,Jalen Duren
Pacers,Tyrese Haliburton,Andrew Nembhard,Benedict Marthurin,Pascal Siakam,Myles Turner
Bucks,Damian Lillard,Andre Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez
Hawks,Trae Young,Dyson Daniels,Zaccharie Risacher,Jalen Johnson,Clint Capela
Hornets,LaMelo Ball,Brandon Miller,Josh Green,Miles Bridges,Mark Williams
Heat,Tyler Herro,Duncan Robinson,Jimmy Butler,Kel'el Ware,Bam Adebayo
Magic,Jalen Suggs,Kentavious Caldwell-Pope,Franz Wagner,Paolo Banchero,Wendell Carter Jr.
Wizards,Jordan Poole,Bub Carrington,Bilal Coulibaly,Alexandre Sarr,Jonas Valanciunas
Nuggets,Jamal Murray,Russell Westbrook,Christian Braun,Michael Porter Jr.,Nikola Jokic
Timberwolves,Anthony Edwards,Donte Divencenzo,Jaden McDaniels,Julius Randle,Rudy Gobert
Thunder,Shai Gilgeous-Alexander,Cason Wallace,Lu Dort,Jalen Williams,Isaiah Hartenstein
Trail Blazers,Anfernee Simons,Deni Avdija,Toumani Camara,Jerami Grant,Deandre Ayton
Jazz,Keyonte George,Collin Sexton,Lauri Markkanen,John Collins,Walker Kessler
Warriors,Stephen Curry,Dennis Schroder,Andrew Wiggins,Draymond Green,Trayce Jackson-Davis
Clippers,James Harden,Norman Powell,Kawhi Leonard,Derrick Jones Jr.,Ivica Zubac
Lakers,Austin Reaves,Max Christie,LeBron James,Rui Hachimura,Anthony Davis
Suns,Tyus Jones,Devin Booker,Bradley Beal,Kevin Durant,Jusuf Nurkic
Kings,De'Aaron Fox,Malik Monk,DeMar DeRozan,Keegan Murray,Domantas Sabonis
Mavericks,Kyrie Irving,Klay Thompson,Luka Doncic,PJ Washington,Derick Lively Jr.
Rockets,Fred VanVleet,Jalen Green,Dillon Brooks,Amen Thompson,Alperen Sengun
Grizzlies,Ja Morant,Desmond Bane,Jaylen Wells,Jaren Jackson Jr.,Zach Edey
Pelicans,Dejounte Murray,CJ McCollum,Trey Murphy III,Zion WIlliamson,Yves Missi
Spurs,Chris Paul,Stephon Castle,Devin Vassell,Jeremy Sochan,Victor Wembanyama
