Player,Position,Team,Prop Type,Prop Value,Opposing Team,Odds Category,Start Time,HBP,RBI,SO,SF,H,GIDP,3B,PA,HR,XBH,SH,R,BB,AB,SB,CS,IBB,TB,2B,SHO,ER,ERA,DEC,WP,GS,CG,SV,IP,TBF,GF,Pitches Thrown,Pitching Outs,Actual Stat,Hit
Jose Ramirez,IF,CLE,Hits+Runs+RBIs,2.5,CIN,base,Mon 6:40 PM,0,1,0,0,1,0,0,4,0,0,0,1,1,3,1,0,0,1,0,,,,,,,,,,,,0,0,3.0,1
TJ Friedl,OF,CIN,Hits+Runs+RBIs,1.5,CLE,base,Mon 6:40 PM,0,1,0,0,2,0,0,6,1,1,0,2,1,5,0,0,0,5,0,,,,,,,,,,,,0,0,5.0,1
Gabriel Arias,IF,CLE,Hits+Runs+RBIs,1.5,CIN,base,Mon 6:40 PM,0,0,1,0,1,0,0,4,0,0,0,0,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,1.0,0
Will Benson,OF,CIN,Total Bases,0.5,CLE,base,Mon 6:40 PM,0,1,0,0,2,0,0,4,0,0,0,1,1,3,0,0,0,2,0,,,,,,,,,,,,0,0,2.0,1
David Fry,IF,CLE,Hits+Runs+RBIs,1.5,CIN,base,Mon 6:40 PM,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0.0,0
Elly De La Cruz,IF,CIN,Hits+Runs+RBIs,1.5,CLE,base,Mon 6:40 PM,0,0,2,0,2,0,0,5,0,1,0,0,0,5,0,0,0,3,1,,,,,,,,,,,,0,0,2.0,1
Christian Encarnacion-Strand,IF,CIN,Hits+Runs+RBIs,1.5,CLE,base,Mon 6:40 PM,0,1,2,1,1,0,0,5,0,0,0,1,0,4,0,0,0,1,0,,,,,,,,,,,,0,0,3.0,1
Lane Thomas,OF,CLE,Runs,0.5,CIN,base,Mon 6:40 PM,0,0,2,0,1,0,0,5,0,0,0,0,2,3,1,0,0,1,0,,,,,,,,,,,,0,0,0.0,0
Lane Thomas,OF,CLE,Total Bases,1.5,CIN,base,Mon 6:40 PM,0,0,2,0,1,0,0,5,0,0,0,0,2,3,1,0,0,1,0,,,,,,,,,,,,0,0,1.0,0
Carlos Santana,IF,CLE,Hits+Runs+RBIs,1.5,CIN,base,Mon 6:40 PM,0,1,0,0,1,0,0,4,0,0,0,0,1,3,0,0,0,1,0,,,,,,,,,,,,0,0,2.0,1
Bryan Reynolds,OF,PIT,Hits+Runs+RBIs,1.5,MIA,base,Mon 6:40 PM,0,3,0,0,2,1,1,5,0,1,0,0,0,5,0,0,0,4,0,,,,,,,,,,,,0,0,5.0,1
Oneil Cruz,OF,PIT,Walks,0.5,MIA,base,Mon 6:40 PM,0,0,1,0,1,0,0,5,0,1,0,1,1,4,0,0,0,2,1,,,,,,,,,,,,0,0,1.0,1
