Player,Position,Team,Opponent,Prop Type,Prop Value
AJ Johnson,Shooting Guard,WAS,IND,Pts + Rebs + Asts,19.5
AJ Johnson,Shooting Guard,WAS,IND,Rebounds,4.5
AJ Johnson,Shooting Guard,WAS,IND,Assists,4.5
AJ Johnson,Shooting Guard,WAS,IND,1Q Points,2.5
AJ Johnson,Shooting Guard,WAS,IND,3-Pointers Made,1.5
AJ Johnson,Shooting Guard,WAS,IND,Rebounds + Assists,8.5
AJ Johnson,Shooting Guard,WAS,IND,Double Doubles,0.5
AJ Johnson,Shooting Guard,WAS,IND,1Q Assists,0.5
AJ Johnson,Shooting Guard,WAS,IND,1Q Rebounds,1.5
AJ Johnson,Shooting Guard,WAS,IND,Points + Assists,14.5
AJ Johnson,Shooting Guard,WAS,IND,Points + Rebounds,15.5
AJ Johnson,Shooting Guard,WAS,IND,Points,10.5
Aaron Nesmith,Small Forward,IND,WAS,Pts + Rebs + Asts,18.5
Aaron Nesmith,Small Forward,IND,WAS,Rebounds,4.5
Aaron Nesmith,Small Forward,IND,WAS,1Q Points,2.5
Aaron Nesmith,Small Forward,IND,WAS,Assists,1.5
Aaron Nesmith,Small Forward,IND,WAS,Points + Assists,14.5
Aaron Nesmith,Small Forward,IND,WAS,Points + Rebounds,17.5
Aaron Nesmith,Small Forward,IND,WAS,1Q Rebounds,1.5
Aaron Nesmith,Small Forward,IND,WAS,Points,12.5
Aaron Nesmith,Small Forward,IND,WAS,3-Pointers Made,2.5
Aaron Nesmith,Small Forward,IND,WAS,1Q Assists,0.5
Aaron Nesmith,Small Forward,IND,WAS,Rebounds + Assists,5.5
Alex Sarr,Center,WAS,IND,Rebounds + Assists,9.5
Alex Sarr,Center,WAS,IND,Turnovers  ,2.5
Alex Sarr,Center,WAS,IND,3-Pointers Made,1.5
Alex Sarr,Center,WAS,IND,Assists,2.5
Alex Sarr,Center,WAS,IND,Rebounds,7.5
Alex Sarr,Center,WAS,IND,1Q Assists,0.5
Alex Sarr,Center,WAS,IND,1Q Rebounds,1.5
Alex Sarr,Center,WAS,IND,First 3-Point Attempt,0.5
Alex Sarr,Center,WAS,IND,First FG Attempt,0.5
Alex Sarr,Center,WAS,IND,Pts + Rebs + Asts,26.5
Alex Sarr,Center,WAS,IND,Points + Rebounds,24.5
Alex Sarr,Center,WAS,IND,Points + Assists,19.5
Alex Sarr,Center,WAS,IND,Blocks,1.5
Alex Sarr,Center,WAS,IND,Double Doubles,0.5
Alex Sarr,Center,WAS,IND,1Q Points,4.5
Alex Sarr,Center,WAS,IND,Points,17.5
Alperen Sengun,Center,HOU,UTA,Rebounds,10.5
Alperen Sengun,Center,HOU,UTA,Pts + Rebs + Asts,36.5
Alperen Sengun,Center,HOU,UTA,Triple Doubles,0.5
Alperen Sengun,Center,HOU,UTA,Points,19.5
Alperen Sengun,Center,HOU,UTA,Assists,5.5
Alperen Sengun,Center,HOU,UTA,1Q Points,5.5
Alperen Sengun,Center,HOU,UTA,3-Pointers Made,0.5
Alperen Sengun,Center,HOU,UTA,Rebounds + Assists,15.5
Alperen Sengun,Center,HOU,UTA,First FG Attempt,0.5
Alperen Sengun,Center,HOU,UTA,Double Doubles,0.5
Alperen Sengun,Center,HOU,UTA,Turnovers  ,2.5
Alperen Sengun,Center,HOU,UTA,Steals,1.5
Alperen Sengun,Center,HOU,UTA,Points + Assists,25.5
Alperen Sengun,Center,HOU,UTA,Points + Rebounds,31.5
Alperen Sengun,Center,HOU,UTA,Blocks + Steals,2.5
Alperen Sengun,Center,HOU,UTA,1Q Assists,1.5
Alperen Sengun,Center,HOU,UTA,1Q Rebounds,2.5
Amen Thompson,Small Forward,HOU,UTA,Points + Assists,18.5
Amen Thompson,Small Forward,HOU,UTA,Blocks,1.5
Amen Thompson,Small Forward,HOU,UTA,Points + Rebounds,23.5
Amen Thompson,Small Forward,HOU,UTA,Steals,1.5
Amen Thompson,Small Forward,HOU,UTA,Blocks + Steals,3.5
Amen Thompson,Small Forward,HOU,UTA,Points,14.5
Amen Thompson,Small Forward,HOU,UTA,Pts + Rebs + Asts,27.5
Amen Thompson,Small Forward,HOU,UTA,1Q Assists,0.5
Amen Thompson,Small Forward,HOU,UTA,Double Doubles,0.5
Amen Thompson,Small Forward,HOU,UTA,Rebounds,8.5
Amen Thompson,Small Forward,HOU,UTA,1Q Points,3.5
Amen Thompson,Small Forward,HOU,UTA,Rebounds + Assists,12.5
Amen Thompson,Small Forward,HOU,UTA,3-Pointers Made,0.5
Amen Thompson,Small Forward,HOU,UTA,Assists,3.5
Amen Thompson,Small Forward,HOU,UTA,1Q Rebounds,2.5
Amen Thompson,Small Forward,HOU,UTA,First FG Attempt,0.5
Andrew Nembhard,Shooting Guard,IND,WAS,Rebounds + Assists,8.5
Andrew Nembhard,Shooting Guard,IND,WAS,Points,10.5
Andrew Nembhard,Shooting Guard,IND,WAS,Pts + Rebs + Asts,18.5
Andrew Nembhard,Shooting Guard,IND,WAS,Rebounds,3.5
Andrew Nembhard,Shooting Guard,IND,WAS,1Q Points,2.5
Andrew Nembhard,Shooting Guard,IND,WAS,1Q Rebounds,0.5
Andrew Nembhard,Shooting Guard,IND,WAS,3-Pointers Made,0.5
Andrew Nembhard,Shooting Guard,IND,WAS,Steals,1.5
Andrew Nembhard,Shooting Guard,IND,WAS,Assists,4.5
Andrew Nembhard,Shooting Guard,IND,WAS,Points + Assists,15.5
Andrew Nembhard,Shooting Guard,IND,WAS,Points + Rebounds,13.5
Andrew Nembhard,Shooting Guard,IND,WAS,1Q Assists,1.5
Andrew Wiggins,Small Forward,MIA,ATL,Points + Rebounds,24.5
Andrew Wiggins,Small Forward,MIA,ATL,Points + Assists,24.5
Andrew Wiggins,Small Forward,MIA,ATL,Turnovers  ,2.5
Andrew Wiggins,Small Forward,MIA,ATL,First 3-Point Attempt,0.5
Andrew Wiggins,Small Forward,MIA,ATL,First FG Attempt,0.5
Andrew Wiggins,Small Forward,MIA,ATL,1Q Assists,0.5
Andrew Wiggins,Small Forward,MIA,ATL,Steals,1.5
Andrew Wiggins,Small Forward,MIA,ATL,Points,20.5
Andrew Wiggins,Small Forward,MIA,ATL,Assists,3.5
Andrew Wiggins,Small Forward,MIA,ATL,Rebounds,3.5
Andrew Wiggins,Small Forward,MIA,ATL,1Q Points,5.5
Andrew Wiggins,Small Forward,MIA,ATL,3-Pointers Made,2.5
Andrew Wiggins,Small Forward,MIA,ATL,Rebounds + Assists,7.5
Andrew Wiggins,Small Forward,MIA,ATL,1Q Rebounds,0.5
Andrew Wiggins,Small Forward,MIA,ATL,Pts + Rebs + Asts,28.5
Andrew Wiggins,Small Forward,MIA,ATL,Blocks + Steals,2.5
Anfernee Simons,Shooting Guard,POR,SAC,1Q Points,3.5
Anfernee Simons,Shooting Guard,POR,SAC,Points + Assists,24.5
Anfernee Simons,Shooting Guard,POR,SAC,Rebounds,2.5
Anfernee Simons,Shooting Guard,POR,SAC,Pts + Rebs + Asts,26.5
Anfernee Simons,Shooting Guard,POR,SAC,1Q Rebounds,0.5
Anfernee Simons,Shooting Guard,POR,SAC,1Q Assists,1.5
Anfernee Simons,Shooting Guard,POR,SAC,3-Pointers Made,3.5
Anfernee Simons,Shooting Guard,POR,SAC,Assists,4.5
Anfernee Simons,Shooting Guard,POR,SAC,Points,19.5
Anfernee Simons,Shooting Guard,POR,SAC,Rebounds + Assists,6.5
Anfernee Simons,Shooting Guard,POR,SAC,Turnovers  ,2.5
Anfernee Simons,Shooting Guard,POR,SAC,First FG Attempt,0.5
Anfernee Simons,Shooting Guard,POR,SAC,Points + Rebounds,22.5
Anfernee Simons,Shooting Guard,POR,SAC,First 3-Point Attempt,0.5
Anthony Black,Point Guard,ORL,DAL,3-Pointers Made,1.5
